bigAccountId,bigDealerId,dtmStampCreation,dtmFunded,intTerm,intOpenBKType,strTier,AmtFinanced,OriginalInterestRate,MaxFico
7891978,6465,32:18.4,00:00.0,72,NULL,C,18393,24.1,504
7864526,791,38:29.6,00:00.0,72,NULL,C,31608.2,26.73,481
7879903,5966,23:41.1,00:00.0,72,NULL,C,33377.93,26.12,448
7897024,5987,59:57.3,00:00.0,72,NULL,B,25833.05,24.24,582
7871921,6776,11:19.1,00:00.0,72,NULL,B,25072.01,26.26,574
7873356,4505,39:03.2,00:00.0,72,13,B,13314.41,25.24,482
7837157,2823,27:42.4,00:00.0,72,NULL,B,21221.37,26.43,554
7821466,1398,58:31.1,00:00.0,72,NULL,C,17516.39,26.74,556
7887218,3392,21:29.1,00:00.0,72,NULL,B,16325.08,26.34,537
7866124,5830,36:51.8,00:00.0,72,7,B,20988,23.7,601
7888041,5235,59:09.1,00:00.0,69,NULL,D,15900,29.24,602
7866843,8296,20:28.5,00:00.0,72,NULL,C,19554.28,26.94,578
7882097,7486,58:50.6,00:00.0,72,13,A1,24820.31,17.28,566
7893262,6234,26:41.4,00:00.0,72,NULL,B,16126.8,24.1,575
7844415,4874,56:13.3,00:00.0,72,NULL,B,26849.41,26.33,595
7878173,6605,21:08.8,00:00.0,60,7,C,27073.76,25,485
7885245,6213,02:30.3,00:00.0,69,NULL,B,19823.2,26.13,420
7898715,7207,35:10.4,00:00.0,66,NULL,B,12156.8,25.24,602
7889853,4187,22:20.4,00:00.0,72,NULL,B,18544.61,25.24,524
7878979,1195,24:09.9,00:00.0,71,NULL,C,19628,26.74,581
7888660,3838,51:20.5,00:00.0,66,7,B,21883.91,24,585
7835155,6303,10:30.8,00:00.0,72,NULL,B,23373.45,23.24,508
7887120,1451,00:25.7,00:00.0,72,NULL,B,15781,23.84,600
7884089,5025,11:05.6,00:00.0,72,7,B,21550.03,24.96,558
7888158,7771,19:07.7,00:00.0,72,NULL,C,31032.89,26.74,525
7883809,5356,57:32.4,00:00.0,72,NULL,B,17143.91,27.29,646
7886903,6303,52:55.4,00:00.0,66,NULL,B,14509,24,601
7864394,7086,00:16.0,00:00.0,72,7,C,20243,25,518
7897157,6806,36:21.4,00:00.0,72,NULL,C,21513.43,26.74,NULL
7895285,6810,18:59.2,00:00.0,72,NULL,B,16473.5,24.99,571
7880921,5892,44:42.2,00:00.0,72,NULL,B,22239.7,24.24,561
