,bigAccountId,bigDealerId,week_of_month,application_date,dtmFunded,dtmNonAccrual,intterm,open_bk_type,first_pmt_date,paymentsmade,Tier,DebtorState,AmtFinanced,OriginalInterestRate,fltAPRCurrent,MaxFico,intBeaconScore,mnyReserve,mnyDiscount,Early_Pay_Delinquency_15_120,Early_Pay_Delinquency_30_120,Early_Pay_Default_15_120,Early_Pay_Default_30_120,LoanStatus,ChargeOff_Severity,GEN11_ExpectedNetLoss,GEN11_ECNL,GEN12_ExpectedNetLoss,GEN12_ECNL,GEN12_ECNL_mod,DL_ExpectedNetLoss,DL_ECNL,origination_model,GEN11_Theo_Rev,Actual_Rev,Rev_Diff
7,7918165,2072,4,34:16.3,00:00.0,,72,,00:00.0,,A,HI,34784.47,0.2088,0.2088,647.0,647.0,136.58,1069.1,0,0,0,0,A,,7904.457747,0.227241,3243.269198,0.093239,0.064516,,,gen12,0.36349329955000004,0.22045587626492139,-0.14303742328507865
38,7944740,5479,4,57:02.9,00:00.0,,72,7.0,00:00.0,,D,MO,27896.0,0.2855,0.2855,635.0,565.0,900.65,2418.0,0,0,0,0,A,,7382.39744,0.26464,5399.019736,0.193541,0.124727,,,gen12,0.398556732,0.3091491751973167,-0.08940755680268331
59,7955460,5944,4,16:16.5,00:00.0,,72,7.0,00:00.0,,B,MO,22354.24,0.2552,0.2552,542.0,542.0,1411.7,928.0,0,0,0,0,A,,4137.903949,0.185106,2402.767841,0.107486,0.074375,,,gen12,0.32398963030000005,0.2457921942402834,-0.07819743605971666
19,7928670,8140,4,22:43.1,00:00.0,,66,,00:00.0,,A,AZ,32291.91,0.2125,0.2125,575.0,575.0,1744.97,778.0,0,0,0,0,A,,4130.748835,0.127919,2354.564618,0.072915,0.04699,,,gen12,0.27037395845,0.19948058618612416,-0.07089337226387585
65,7959584,6079,4,44:43.3,00:00.0,,72,,00:00.0,,C,GA,30364.28,0.2324,0.2324,,,0.0,2532.0,0,0,0,0,A,,4646.190304,0.153015,9887.854503,0.325641,0.137983,,,gen11,0.29390271325,0.26865541475764915,-0.025247298492350856
2,7884487,3373,4,32:12.1,00:00.0,,72,13.0,00:00.0,,A,MO,22985.95,0.2024,0.2024,613.0,613.0,1358.78,329.0,0,0,0,0,A,,1278.179722,0.055607,2193.066504,0.095409,0.066018,,,gen11,0.20257784285000002,0.18292156057145303,-0.019656282278546988
25,7932752,6816,4,53:54.1,00:00.0,,72,,00:00.0,,C,IL,23613.43,0.25,0.25,636.0,636.0,767.09,2617.0,0,0,0,0,A,,3740.013111,0.158385,12055.26996,0.510526,0.216324,,,gen11,0.29893735675,0.2840614936352819,-0.014875863114718113
48,7951692,5620,4,16:21.5,00:00.0,,72,,00:00.0,,D,NC,23821.72,0.2924,0.2924,526.0,526.0,811.94,1514.0,0,0,0,0,A,,4277.690082,0.179571,18211.25233,0.764481,0.323933,,,gen11,0.31880029104999996,0.30521366241652026,-0.013586628633479703
37,7944252,3355,4,55:22.1,00:00.0,,72,,00:00.0,,C,LA,20347.09,0.2574,0.2574,505.0,505.0,666.79,1907.0,0,0,0,0,A,,3183.973684,0.156483,6960.129076,0.34207,0.144945,,,gen11,0.29715413665,0.2839011723607865,-0.01325296428921352
44,7948506,6007,4,42:26.9,00:00.0,,72,7.0,00:00.0,,B,WA,29472.73,0.2424,0.2424,607.0,607.0,1162.73,928.0,0,0,0,0,A,,3198.410132,0.108521,2347.827145,0.079661,0.055121,,,gen11,0.25218736355,0.23893725590608234,-0.013250107643917652
10,7919966,1411,4,54:16.1,00:00.0,,72,,00:00.0,,B,UT,25195.05,0.2324,0.2324,468.0,468.0,780.19,149.0,0,0,0,0,A,,2231.097263,0.088553,1981.590683,0.07865,0.054422,,,gen11,0.23346636515000005,0.221507763835253,-0.011958601314747047
57,7955277,4529,4,37:57.1,00:00.0,,72,7.0,00:00.0,,D,UT,20416.14,0.2924,0.2924,468.0,468.0,696.02,1052.0,0,0,0,0,A,,3498.468918,0.171358,11419.01251,0.559313,0.236997,,,gen11,0.3111001929,0.2999809586456342,-0.01111923425436584
56,7955172,5486,4,14:38.4,00:00.0,,72,,00:00.0,,B,MD,20573.64,0.24,0.24,628.0,628.0,331.13,928.0,0,0,0,0,A,,2478.033217,0.120447,11495.64479,0.558756,0.236761,,,gen11,0.26336858485000003,0.2526136500712647,-0.010754934778735348
21,7930231,5620,4,28:07.8,00:00.0,,72,7.0,00:00.0,,C,VA,22558.92,0.2674,0.2674,539.0,539.0,725.76,1697.0,0,0,0,0,A,,3506.784114,0.15545,7544.717999,0.334445,0.141714,,,gen11,0.29618564750000004,0.2861189041350191,-0.010066743364980923
4,7894935,1207,4,02:28.0,00:00.0,,72,,00:00.0,,D,MO,19757.0,0.2924,0.2924,600.0,521.0,653.69,1523.0,0,0,0,0,A,,3595.615944,0.181992,13857.93518,0.701419,0.297212,,,gen11,0.3210700996,0.31153047879562773,-0.009539620804372262
12,7921749,1627,4,33:28.1,00:00.0,,72,7.0,00:00.0,,C,WA,18778.25,0.2674,0.2674,630.0,630.0,604.3,1512.0,0,0,0,0,A,,2954.119177,0.157316,3312.689861,0.176411,0.113688,,,gen11,0.2979351158,0.2884164511556212,-0.009518664644378783
31,7941238,2034,4,11:38.3,00:00.0,,72,,00:00.0,,B,MS,28458.43,0.2365,0.2365,620.0,620.0,0.0,928.0,0,0,0,0,A,,3306.215022,0.116177,5545.381211,0.194859,0.125576,,,gen11,0.25936524635,0.25067781166668596,-0.008687434683314066
60,7956637,5567,4,32:46.2,00:00.0,,72,,00:00.0,,D,FL,23499.13,0.2383,0.2383,530.0,503.0,0.0,4208.0,0,0,0,0,A,,4369.075745,0.185925,9577.681409,0.407576,0.172702,,,gen11,0.32475748375,0.3161567213931454,-0.008600762356854641
5,7908554,2836,4,39:32.5,00:00.0,,66,13.0,00:00.0,,A1,TX,23496.25,0.18,0.18,576.0,576.0,704.55,598.0,0,0,0,0,A,,905.169535,0.038524,2409.164498,0.102534,0.070948,,,gen11,0.1865616762,0.17802836252778542,-0.008533313672214576
18,7927544,7389,4,05:07.6,00:00.0,,66,,00:00.0,,C,IL,20526.03,0.2674,0.2674,571.0,571.0,592.75,1713.0,0,0,0,0,A,,3265.917159,0.159111,6529.001727,0.318084,0.134781,,,gen11,0.29961801805000005,0.2911291486659283,-0.008488869384071729
23,7931116,6205,4,43:30.2,00:00.0,,72,,00:00.0,,D,MD,19933.88,0.24,0.24,489.0,489.0,0.0,3436.0,0,0,0,0,A,,3649.554552,0.183083,9946.986186,0.498999,0.21144,,,gen11,0.32209296665000003,0.31494341510424767,-0.007149551545752364
24,7932156,4462,4,12:25.8,00:00.0,,72,13.0,00:00.0,,A1,TN,23596.74,0.1885,0.1885,602.0,602.0,1374.41,898.0,0,0,0,0,A,,908.47449,0.0385,930.1598941,0.039419,0.025404,,,gen11,0.186539175,0.17972188986238372,-0.006817285137616286
15,7924837,2555,4,39:23.9,00:00.0,,72,13.0,00:00.0,,A1,NC,22360.14,0.1681,0.1681,519.0,510.0,0.0,598.0,0,0,0,0,A,,860.86539,0.0385,7728.894192,0.345655,0.146464,,,gen11,0.186539175,0.17972783417277352,-0.006811340827226481
28,7935788,6465,4,52:39.0,00:00.0,,72,,00:00.0,,B,TX,29542.17,0.241,0.241,712.0,687.0,1756.44,149.0,0,0,0,0,A,,2305.943622,0.078056,14835.33922,0.502175,0.212786,,,gen11,0.22362490280000002,0.21734273458849707,-0.006282168211502959
6,7913648,7167,4,13:19.3,00:00.0,,72,,00:00.0,,C,MD,12101.0,0.24,0.24,556.0,556.0,0.0,1609.0,0,0,0,0,A,,1981.708164,0.163764,8293.577663,0.685363,0.290408,,,gen11,0.30398043820000004,0.2978105294927117,-0.006169908707288341
39,7945644,2066,4,25:56.8,00:00.0,,60,,00:00.0,,C,WA,16498.81,0.2674,0.2674,,,424.2,1239.0,0,0,0,0,A,,2541.757172,0.154057,9227.173977,0.559263,0.236976,,,gen11,0.29487964035,0.2888719043109908,-0.006007736039009226
42,7947537,5251,4,18:03.6,00:00.0,,72,,00:00.0,,C,IN,20960.05,0.25,0.25,468.0,468.0,0.0,2070.0,0,0,0,0,A,,3315.104388,0.158163,897.7189415,0.04283,0.027602,,,gen11,0.29872922065,0.29293882886729755,-0.005790391782702464
41,7946157,1375,4,17:33.1,00:00.0,,72,,00:00.0,,C,IL,21456.99,0.2674,0.2674,548.0,548.0,691.99,2354.0,0,0,0,0,A,,3541.840968,0.165067,8436.58807,0.393186,0.166604,,,gen11,0.30520206585,0.30107727922128225,-0.004124786628717736
33,7943166,4972,4,35:31.6,00:00.0,,72,,00:00.0,,B,IN,13439.6,0.25,0.25,566.0,566.0,743.4,906.0,0,0,0,0,A,,1549.411165,0.115287,5920.882978,0.440555,0.186676,,,gen11,0.25853082685,0.25526024972275313,-0.0032705771272468764
43,7948141,2408,4,40:11.0,00:00.0,,72,,00:00.0,,C,VA,18878.79,0.2674,0.2674,460.0,460.0,608.33,2221.0,0,0,0,0,A,,3168.653871,0.167842,7925.3538,0.419802,0.177882,,,gen11,0.3078037671,0.30454013819557385,-0.0032636289044261635
53,7953303,1273,4,23:21.9,00:00.0,,72,,00:00.0,,D,IL,26033.59,0.2824,0.2824,600.0,541.0,0.0,1772.0,0,0,0,0,A,,4552.337682,0.174864,3615.857382,0.138892,0.096106,,,gen11,0.3143872432,0.3119938740146363,-0.002393369185363703
46,7950499,2083,4,11:57.8,00:00.0,,72,,00:00.0,,B,IN,24775.0,0.25,0.25,610.0,610.0,705.6,928.0,0,0,0,0,A,,2780.00275,0.11221,8128.9748,0.328112,0.139031,,,gen11,0.2556459855,0.2539029526609047,-0.0017430328390953265
49,7951754,7929,4,29:39.8,00:00.0,,60,,00:00.0,,B,MD,19162.43,0.2601,0.2601,475.0,473.0,1001.7,928.0,0,0,0,0,A,,2213.586426,0.115517,6638.038214,0.346409,0.146784,,,gen11,0.25874646335,0.25842779672197785,-0.0003186666280221573
61,7958033,7223,4,28:53.4,00:00.0,,72,,00:00.0,,B,VA,19823.59,0.2803,0.2803,555.0,555.0,1290.24,1228.0,0,0,0,0,A,,2707.168921,0.136563,10543.85034,0.531884,0.225375,,,gen11,0.27847814065,0.27893491579652235,0.00045677514652237017
