iter	Logloss
0	0.3567371257
1	0.2821652307
2	0.26429484
3	0.2587248766
4	0.2564296998
5	0.2544007008
6	0.2535497546
7	0.2523364249
8	0.2515370366
9	0.2504445435
10	0.2498670059
11	0.2493580742
12	0.2489411762
13	0.248529161
14	0.2480246208
15	0.2475709587
16	0.2471736959
17	0.2468257166
18	0.2466013693
19	0.2461537752
20	0.2458952095
21	0.24556569
22	0.2451800866
23	0.2448796108
24	0.2444004483
25	0.2440196066
26	0.2434398929
27	0.2428731371
28	0.242338975
29	0.2420420157
30	0.2416384712
31	0.2412281986
32	0.2407562937
33	0.2403345297
34	0.2400506674
35	0.2398826599
36	0.2396343613
37	0.2393908624
38	0.2389624179
39	0.2386731935
40	0.2384686009
41	0.2380792501
42	0.2376584825
43	0.2372285557
44	0.2369558044
45	0.2366645589
46	0.2365060021
47	0.2362893943
48	0.2358622369
49	0.2355887458
50	0.2353177575
51	0.2351283262
52	0.2349384724
53	0.2346511146
54	0.2342355857
55	0.2338292371
56	0.2335492536
57	0.2331442252
58	0.2328906815
59	0.23252343
60	0.2322216704
61	0.2318706979
62	0.2316218344
63	0.2313311136
64	0.2311133524
65	0.2307518655
66	0.2304517606
67	0.2301623647
68	0.2299659828
69	0.229758498
70	0.2293955237
71	0.2291501876
72	0.2288136292
73	0.228589228
74	0.2283097591
75	0.2280587824
76	0.2278880422
77	0.2277343422
78	0.227428229
79	0.2272061952
80	0.2270727447
81	0.2267849549
82	0.2266057863
83	0.2262833391
84	0.2260592854
85	0.2257529601
86	0.2253419344
87	0.2250721478
88	0.2248736905
89	0.2247000652
90	0.2244428347
91	0.2240514407
92	0.2238313684
93	0.2234112397
94	0.2233046782
95	0.2230399366
96	0.2227506298
97	0.2225014332
98	0.222188596
99	0.2219939071
