iter	Passed	Remaining
0	18	1829
1	37	1839
2	57	1849
3	74	1793
4	92	1756
5	110	1729
6	125	1670
7	142	1639
8	164	1659
9	186	1682
10	208	1685
11	224	1647
12	241	1615
13	259	1594
14	278	1576
15	301	1582
16	317	1548
17	334	1522
18	350	1492
19	368	1473
20	386	1452
21	408	1446
22	422	1415
23	434	1376
24	448	1345
25	462	1315
26	479	1296
27	492	1266
28	505	1236
29	519	1212
30	535	1191
31	548	1164
32	561	1140
33	573	1113
34	586	1088
35	597	1061
36	608	1036
37	619	1011
38	632	988
39	643	965
40	655	943
41	668	923
42	681	902
43	693	882
44	706	862
45	719	844
46	734	828
47	746	808
48	760	791
49	772	772
50	785	754
51	796	735
52	808	717
53	821	699
54	835	683
55	847	665
56	858	647
57	873	632
58	884	614
59	901	600
60	913	584
61	926	567
62	938	551
63	952	535
64	967	521
65	985	507
66	998	491
67	1011	475
68	1024	460
69	1037	444
70	1050	429
71	1063	413
72	1076	398
73	1088	382
74	1102	367
75	1115	352
76	1127	336
77	1139	321
78	1153	306
79	1166	291
80	1177	276
81	1190	261
82	1202	246
83	1218	232
84	1237	218
85	1256	204
86	1271	190
87	1287	175
88	1301	160
89	1315	146
90	1328	131
91	1342	116
92	1356	102
93	1369	87
94	1381	72
95	1393	58
96	1406	43
97	1423	29
98	1437	14
99	1451	0
