iter	Passed	Remaining
0	11	11430
1	19	9620
2	29	9863
3	39	9800
4	49	9906
5	60	10000
6	71	10072
7	81	10132
8	92	10210
9	105	10462
10	118	10695
11	130	10714
12	142	10831
13	153	10838
14	164	10774
15	174	10738
16	185	10734
17	196	10737
18	208	10755
19	219	10768
20	228	10633
21	239	10630
22	249	10613
23	260	10583
24	270	10530
25	280	10508
26	290	10464
27	300	10419
28	309	10359
29	319	10344
30	329	10309
31	341	10323
32	353	10359
33	365	10377
34	376	10388
35	387	10378
36	399	10401
37	410	10396
38	419	10348
39	431	10360
40	442	10344
41	453	10341
42	464	10338
43	475	10335
44	488	10370
45	499	10360
46	510	10358
47	519	10311
48	529	10283
49	539	10255
50	549	10227
51	558	10185
52	567	10143
53	578	10134
54	587	10099
55	597	10077
56	608	10063
57	618	10052
58	630	10054
59	642	10063
60	653	10055
61	664	10057
62	676	10058
63	688	10062
64	699	10059
65	710	10053
66	722	10063
67	735	10074
68	746	10076
69	758	10073
70	770	10079
71	784	10110
72	796	10116
73	808	10114
74	819	10107
75	831	10105
76	842	10100
77	853	10089
78	864	10082
79	876	10083
80	886	10052
81	897	10042
82	905	10007
83	916	9988
84	926	9973
85	937	9961
86	948	9949
87	958	9934
88	969	9920
89	979	9907
90	989	9887
91	1000	9876
92	1010	9850
93	1022	9852
94	1035	9862
95	1046	9855
96	1060	9875
97	1075	9896
98	1089	9912
99	1101	9915
100	1111	9895
101	1124	9901
102	1137	9905
103	1148	9896
104	1160	9893
105	1173	9896
106	1184	9885
107	1195	9877
108	1205	9854
109	1215	9835
110	1226	9821
111	1236	9804
112	1247	9789
113	1258	9779
114	1269	9772
115	1280	9758
116	1292	9757
117	1303	9742
118	1312	9716
119	1321	9690
120	1332	9678
121	1342	9664
122	1352	9644
123	1363	9630
124	1373	9613
125	1383	9595
126	1393	9575
127	1403	9561
128	1414	9551
129	1424	9534
130	1435	9519
131	1443	9494
132	1454	9478
133	1464	9463
134	1475	9452
135	1485	9435
136	1496	9426
137	1508	9420
138	1517	9398
139	1528	9387
140	1538	9370
141	1549	9359
142	1561	9355
143	1573	9355
144	1584	9341
145	1594	9327
146	1605	9314
147	1615	9300
148	1626	9289
149	1636	9272
150	1647	9265
151	1658	9254
152	1668	9239
153	1679	9224
154	1689	9209
155	1698	9191
156	1708	9175
157	1719	9164
158	1730	9151
159	1742	9150
160	1753	9135
161	1763	9120
162	1773	9108
163	1783	9094
164	1794	9079
165	1805	9068
166	1814	9052
167	1825	9039
168	1836	9032
169	1847	9018
170	1858	9011
171	1868	8996
