iter	Passed	Remaining
0	152	380872
1	300	374847
2	456	380047
3	605	377543
4	748	373493
5	880	366170
6	1010	359876
7	1150	358405
8	1285	355906
9	1464	364781
10	1631	369111
11	1774	367947
12	1929	369071
13	2074	368395
14	2206	365498
15	2351	365106
16	2476	361673
17	2586	356608
18	2745	358551
19	2895	359050
20	3043	359296
21	3186	358900
22	3346	360427
23	3472	358292
24	3593	355800
25	3712	353214
26	3888	356139
27	4081	360368
28	4266	363516
29	4446	366060
30	4611	367244
31	4762	367336
32	4923	368103
33	5037	365343
34	5183	365037
35	5395	369310
36	5574	371099
37	5722	370739
38	5894	371977
39	6053	372280
40	6208	372344
41	6407	374988
42	6559	374806
43	6695	373739
44	6831	372696
45	6965	371581
46	7118	371518
47	7280	371927
48	7432	371796
49	7570	370940
50	7603	365135
51	7735	364157
52	7783	359349
53	7916	358599
54	8033	357113
55	8082	352731
56	8202	351566
57	8324	350503
58	8470	350452
59	8608	350070
60	8761	350300
61	8928	351072
62	8982	347458
63	9123	347265
64	9271	347317
65	9396	346530
66	9537	346343
67	9708	347205
68	9862	347473
69	10007	347419
70	10061	344228
71	10113	341040
72	10271	341501
73	10404	341093
74	10510	339824
75	10635	339217
76	10800	339878
77	10967	340560
78	11115	340644
79	11238	339979
80	11389	340142
81	11531	340050
82	11675	339998
83	11812	339749
84	11955	339662
85	12102	339704
86	12250	339766
87	12379	339320
88	12500	338625
89	12621	337986
90	12746	337423
91	12868	336824
92	12930	334675
93	13079	334772
94	13234	335034
95	13355	334441
96	13486	334113
97	13634	334183
98	13790	334461
99	13936	334479
100	14093	334743
101	14245	334907
102	14384	334746
103	14527	334689
104	14665	334522
105	14815	334602
106	14964	334669
107	15023	332753
108	15191	333236
109	15290	332225
110	15443	332384
111	15582	332244
112	15738	332453
113	15886	332502
114	16042	332702
115	16179	332524
116	16342	332851
117	16482	332713
118	16616	332472
119	16797	333144
120	16942	333115
121	17074	332814
122	17227	332922
123	17367	332784
124	17410	330793
125	17534	330365
126	17615	329145
127	17765	329211
128	17919	329357
129	18086	329733
130	18244	329925
131	18387	329865
132	18546	330078
133	18709	330351
134	18862	330450
135	18956	329514
136	18989	327528
137	19116	327201
138	19266	327257
139	19421	327391
140	19552	327125
141	19691	326982
142	19823	326740
143	19949	326388
144	20105	326541
145	20238	326315
146	20378	326194
147	20514	326011
148	20672	326176
149	20840	326502
150	21005	326771
151	21174	327089
152	21329	327193
153	21481	327247
154	21617	327053
155	21752	326848
156	21874	326445
157	22020	326399
158	22151	326149
159	22292	326033
160	22426	325809
161	22571	325760
162	22713	325647
163	22846	325429
164	23018	325747
165	23163	325683
166	23309	325631
167	23453	325558
168	23603	325563
169	23743	325426
170	23873	325154
171	23900	323493
172	24041	323376
173	24166	323051
174	24290	322710
175	24408	322307
176	24505	321613
177	24641	321441
178	24782	321339
179	24910	321068
180	25047	320912
181	25175	320642
182	25317	320547
183	25438	320194
184	25585	320166
185	25717	319951
186	25852	319772
187	26026	320074
188	26159	319866
189	26273	319429
190	26388	319014
191	26518	318770
192	26649	318548
193	26766	318166
194	26830	317151
195	26969	317028
196	27094	316748
197	27219	316458
198	27348	316221
199	27496	316214
200	27633	316063
201	27763	315842
202	27931	316048
203	27980	314917
204	28123	314843
205	28257	314678
206	28411	314726
207	28567	314794
208	28694	314546
209	28830	314389
210	28974	314326
211	29092	313982
212	29216	313695
213	29343	313456
214	29481	313323
215	29613	313138
216	29741	312903
217	29837	312337
218	29966	312116
219	30105	311999
220	30237	311814
221	30391	311855
222	30546	311907
223	30699	311928
224	30845	311877
225	30999	311913
226	31146	311880
227	31270	311609
228	31404	311443
229	31541	311297
230	31679	311172
231	31805	310923
232	31963	310991
233	32095	310805
234	32232	310665
235	32348	310327
236	32485	310185
237	32627	310093
238	32767	309993
239	32916	309960
240	33068	309962
241	33222	309987
