bigAccountId,bigDealerId,week_of_month,application_date,dtmFunded,dtmNonAccrual,intterm,open_bk_type,first_pmt_date,paymentsmade,Tier,DebtorState,AmtFinanced,OriginalInterestRate,fltAPRCurrent,MaxFico,intBeaconScore,mnyReserve,mnyDiscount,Early_Pay_Delinquency_15_120,Early_Pay_Delinquency_30_120,Early_Pay_Default_15_120,Early_Pay_Default_30_120,LoanStatus,ChargeOff_Severity,GEN11_ExpectedNetLoss,GEN11_ECNL,GEN12_ExpectedNetLoss,GEN12_ECNL,GEN12_ECNL_mod,DL_ExpectedNetLoss,DL_ECNL,origination_model
7622142,2836,4,44:51.2,00:00.0,NULL,72,13,00:00.0,2,B,KS,25682.66,0.25,0.25,587,585,941.47,3278,1,0,0,0,A,NULL,2462.24798,0.095872,1898.025622,0.073903,0.051137,NULL,NULL,gen11
7794020,939,4,54:06.9,00:00.0,NULL,72,7,00:00.0,NULL,B,WA,13830,0.2524,0.2524,558,532,872.42,505,0,0,0,0,A,NULL,1203.25149,0.087003,1190.12682,0.086054,0.059545,NULL,NULL,gen11
7844199,2947,4,01:16.3,00:00.0,NULL,72,13,00:00.0,NULL,B,GA,22205.86,0.2524,0.2524,669,669,1397.59,539,0,0,0,0,A,NULL,1621.960426,0.073042,2405.094491,0.108309,0.074945,NULL,NULL,gen11
7893285,7480,4,32:15.1,00:00.0,NULL,72,7,00:00.0,1,B,IN,17130.47,0.2324,0.2324,545,529,0,1390,0,0,0,0,A,NULL,2026.329035,0.118288,9035.534923,0.527454,0.223498,NULL,NULL,gen11
7897599,8308,4,29:15.2,00:00.0,NULL,72,NULL,00:00.0,1,B,GA,22284.88,0.2555,0.2555,620,620,726.77,928,0,0,0,0,A,NULL,2632.40145,0.118125,10632.9185,0.477136,0.202176,NULL,NULL,gen11
7909310,4250,4,49:24.2,00:00.0,NULL,72,7,00:00.0,NULL,A,CO,30841.67,0.21,0.21,579,547,84.17,1378,0,0,0,0,A,NULL,4535.329257,0.147052,2498.144428,0.080999,0.056047,NULL,NULL,gen12
7910522,6845,4,50:07.8,00:00.0,NULL,48,NULL,00:00.0,NULL,B,CA,16914.89,0.2424,0.2424,507,507,645.12,500,0,0,0,0,A,NULL,1646.546137,0.097343,3230.388777,0.190979,0.123076,NULL,NULL,gen11
7916574,3171,4,19:19.9,00:00.0,NULL,72,NULL,00:00.0,NULL,B,NC,14276.51,0.2524,0.2524,589,589,900.14,219,0,0,0,0,A,NULL,1291.481648,0.090462,4908.249861,0.343799,0.145678,NULL,NULL,gen11
7919227,1727,4,47:33.3,00:00.0,NULL,66,7,00:00.0,NULL,B,WI,18459,0.2395,0.2395,559,559,368.21,149,0,0,0,0,A,NULL,1572.411456,0.085184,6532.713936,0.353904,0.149959,NULL,NULL,gen11
7921215,8116,4,00:03.6,00:00.0,NULL,72,NULL,00:00.0,NULL,B,CA,24458.64,0.2995,0.2995,528,528,928.87,928,0,0,0,0,A,NULL,4513.352839,0.18453,3985.168508,0.162935,0.105003,NULL,NULL,gen12
7924777,6212,4,14:03.2,00:00.0,NULL,60,NULL,00:00.0,NULL,C,AL,16722.96,0.2674,0.2674,580,580,430.08,1253,0,0,0,0,A,NULL,2596.741229,0.15528,10660.40203,0.637471,0.270115,NULL,NULL,gen11
7926947,8171,4,10:05.1,00:00.0,NULL,72,7,00:00.0,NULL,D,ID,18023,0.2824,0.2824,580,555,589.18,1320,0,0,0,0,A,NULL,3334.363138,0.185006,2492.094279,0.138273,0.095678,NULL,NULL,gen11
7927446,6523,4,37:40.0,00:00.0,NULL,72,NULL,00:00.0,NULL,C,IL,26512.58,0.25,0.25,570,570,0,1754,0,0,0,0,A,NULL,3792.22688,0.143035,21922.8282,0.826884,0.350375,NULL,NULL,gen11
