bigAccountId,application_date,dtmApproved,dtmFunded,OriginalInterestRate,mnyReserve,mnyDiscount,GEN11_ECNL
5801676,21-10-2021,5/1/2022,NULL,NULL,NULL,NULL,0.122592
5808212,27-10-2021,25-01-2022,28-01-2022,0.1799,1025.66,548,0.146907
5809809,28-10-2021,13-01-2022,18-01-2022,0.1599,0,1748,0.249927
5810032,28-10-2021,4/2/2022,NULL,NULL,NULL,NULL,0.04845
5813350,1/11/2021,13-01-2022,NULL,NULL,NULL,NULL,0.199063
5815428,3/11/2021,31-01-2022,2/2/2022,0.2049,726.51,898,0.155235
5816214,3/11/2021,17-02-2022,23-02-2022,0.1799,1266.06,999,0.106897
5817729,5/11/2021,3/1/2022,13-01-2022,0.1699,2156.11,248,0.177455
5822487,9/11/2021,12/1/2022,13-01-2022,0.1699,855.81,649,0.29288
5825791,12/11/2021,3/1/2022,NULL,NULL,NULL,NULL,0.086099
5829134,15-11-2021,3/1/2022,10/1/2022,0.2099,613.44,1148,0.298076
5829314,15-11-2021,19-01-2022,31-01-2022,0.2049,0,1448,0.320656
5830562,16-11-2021,17-01-2022,NULL,NULL,NULL,NULL,0.2025
5831359,17-11-2021,7/1/2022,NULL,NULL,NULL,NULL,0.119604
5831641,17-11-2021,3/1/2022,20-01-2022,0.1649,0,1048,0.098122
5834017,19-11-2021,19-01-2022,NULL,NULL,NULL,NULL,0.130466
5835266,20-11-2021,10/1/2022,25-01-2022,0.2049,939.46,998,0.122166
5837478,23-11-2021,8/1/2022,NULL,NULL,NULL,NULL,0.27767
5837549,23-11-2021,10/2/2022,14-02-2022,0.2049,250,998,0.245576
5840336,26-11-2021,31-01-2022,3/2/2022,0.1999,0,1548,0.368141
5841126,27-11-2021,3/1/2022,13-01-2022,0.1805,0,1230,0.473717
5842567,29-11-2021,6/1/2022,18-01-2022,0.1349,0,149,0.01378
5844309,30-11-2021,3/1/2022,24-01-2022,0.1949,822.82,398,0.119708
5844855,1/12/2021,4/1/2022,14-01-2022,0.1699,1370.9,449,0.119139
5844917,1/12/2021,11/1/2022,NULL,NULL,NULL,NULL,0.202456
5845270,1/12/2021,5/1/2022,NULL,NULL,NULL,NULL,0.241849
5845644,1/12/2021,5/1/2022,10/2/2022,0.2149,0,398,0.199786
5845658,1/12/2021,10/1/2022,12/1/2022,0.1999,2059.34,398,0.194868
5846244,2/12/2021,3/1/2022,NULL,NULL,NULL,NULL,0.30311
5846257,2/12/2021,5/1/2022,NULL,NULL,NULL,NULL,0.221949
5847076,3/12/2021,3/1/2022,NULL,NULL,NULL,NULL,0.160959
5847528,3/12/2021,3/1/2022,NULL,NULL,NULL,NULL,0.192598
5847574,3/12/2021,4/1/2022,NULL,NULL,NULL,NULL,0.154476
5847648,3/12/2021,4/1/2022,NULL,NULL,NULL,NULL,0.088389
5847766,3/12/2021,3/1/2022,7/1/2022,0.2349,523.74,848,0.274719
5848048,3/12/2021,6/1/2022,NULL,NULL,NULL,NULL,0.156011
5848311,4/12/2021,26-01-2022,NULL,NULL,NULL,NULL,0.196734
5848813,4/12/2021,10/1/2022,NULL,NULL,NULL,NULL,0.37155
5849396,4/12/2021,3/1/2022,11/1/2022,0.2099,250,648,0.252764
5849639,5/12/2021,22-01-2022,NULL,NULL,NULL,NULL,0.202144
