bigAccountId,bigDealerId,week_of_month,application_date,dtmFunded,dtmNonAccrual,intterm,open_bk_type,first_pmt_date,paymentsmade,Tier,DebtorState,AmtFinanced,OriginalInterestRate,fltAPRCurrent,MaxFico,intBeaconScore,mnyReserve,mnyDiscount,Early_Pay_Delinquency_15_120,Early_Pay_Delinquency_30_120,Early_Pay_Default_15_120,Early_Pay_Default_30_120,LoanStatus,ChargeOff_Severity,GEN11_ExpectedNetLoss,GEN11_ECNL,GEN12_ExpectedNetLoss,GEN12_ECNL,GEN12_ECNL_mod,DL_ExpectedNetLoss,DL_ECNL,origination_model
7880080,7635,1,22-05-2024,1/8/2024,NULL,72,NULL,9/9/2024,NULL,C,UT,22353.31,0.2687,0.2687,548,540,721.73,2138,0,0,0,0,A,NULL,3729.850953,0.166859,7610.966755,0.340485,0.144273,NULL,NULL,gen11
7927233,5210,1,12/6/2024,1/8/2024,NULL,72,7,29-08-2024,NULL,B,MI,30428.19,0.25,0.25,592,589,0,1745,0,0,0,0,A,NULL,3727.36199,0.122497,5338.778076,0.175455,0.113072,NULL,NULL,gen11
7934491,6640,1,14-06-2024,1/8/2024,NULL,72,NULL,29-08-2024,NULL,B,NJ,18374.12,0.2324,0.2324,497,493,0,649,0,0,0,0,A,NULL,1472.171243,0.080122,2580.185801,0.140425,0.097167,NULL,NULL,gen11
7942828,1333,1,18-06-2024,1/8/2024,NULL,72,13,29-08-2024,NULL,A,IL,20637.84,0.1783,0.1783,551,551,0,572,0,0,0,0,A,NULL,809.5811875,0.039228,1826.985424,0.088526,0.061256,NULL,NULL,gen11
7982202,5267,1,6/7/2024,1/8/2024,NULL,72,NULL,13-09-2024,NULL,B,WI,27860.32,0.254,0.254,602,602,1759.97,1034.8,0,0,0,0,A,NULL,2871.479601,0.103067,3589.802232,0.12885,0.089158,NULL,NULL,gen11
7982559,3932,1,6/7/2024,1/8/2024,NULL,72,NULL,22-08-2024,1,B,NJ,23101.18,0.2579,0.2579,569,559,1407.67,928,0,0,0,0,A,NULL,2738.529383,0.118545,8110.223667,0.351074,0.14876,NULL,NULL,gen11
7988820,5973,1,9/7/2024,1/8/2024,NULL,72,NULL,4/9/2024,NULL,A1,MI,20315.24,0.1889,0.1889,612,612,1053.36,598,0,0,0,0,A,NULL,2628.467012,0.129384,870.8940236,0.042869,0.027627,NULL,NULL,gen12
7999769,2755,1,13-07-2024,1/8/2024,NULL,72,NULL,27-08-2024,NULL,B,AZ,18808.63,0.2524,0.2524,478,478,1185.91,752,0,0,0,0,A,NULL,1521.787445,0.080909,3486.630978,0.185374,0.119464,NULL,NULL,gen11
7999958,1284,1,13-07-2024,1/8/2024,NULL,72,NULL,27-08-2024,NULL,D,IL,22073.47,0.2824,0.2824,516,516,0,1220,0,0,0,0,A,NULL,3835.88347,0.173778,9354.670366,0.423797,0.179575,NULL,NULL,gen11
8002636,5085,1,15-07-2024,1/8/2024,NULL,72,13,6/9/2024,NULL,A,WI,24367.8,0.2024,0.2024,566,566,1426.82,149,0,0,0,0,A,NULL,1077.202967,0.044206,1659.276605,0.068093,0.043882,NULL,NULL,gen11
8004404,5453,1,16-07-2024,1/8/2024,NULL,72,NULL,30-08-2024,NULL,C,CA,15572.32,0.2674,0.2674,717,611,501.98,1141,0,0,0,0,A,NULL,2232.416651,0.143358,3083.257071,0.197996,0.127598,NULL,NULL,gen11
8004988,515,1,16-07-2024,1/8/2024,NULL,72,NULL,4/9/2024,NULL,B,MD,19069.94,0.24,0.24,455,455,451.08,674,0,0,0,0,A,NULL,1927.379766,0.101069,3889.581242,0.203964,0.131445,NULL,NULL,gen11
8005166,6272,1,16-07-2024,1/8/2024,NULL,48,NULL,12/9/2024,NULL,B,IL,22552,0.2471,0.2471,NULL,NULL,0,928,0,0,0,0,A,NULL,2951.853832,0.130891,13720.36618,0.608388,0.257791,NULL,NULL,gen11
8006074,6816,1,17-07-2024,1/8/2024,NULL,72,NULL,1/9/2024,NULL,B,IL,17621.43,0.25,0.25,495,495,953.57,478,0,0,0,0,A,NULL,1711.974789,0.097153,3053.56474,0.173287,0.111675,NULL,NULL,gen11
8006981,3439,1,17-07-2024,1/8/2024,NULL,72,NULL,7/9/2024,NULL,B,WI,20033.95,0.2524,0.2524,516,516,1263.02,652,0,0,0,0,A,NULL,2004.016052,0.100031,7701.350889,0.384415,0.162888,NULL,NULL,gen11
8007671,5525,1,17-07-2024,1/8/2024,NULL,72,NULL,16-08-2024,1,B,MO,23130,0.2521,0.2521,NULL,NULL,1497.38,1228,0,0,0,0,A,NULL,2646.25704,0.114408,12561.02406,0.543062,0.230111,NULL,NULL,gen11
8010828,7226,1,18-07-2024,1/8/2024,NULL,72,NULL,1/9/2024,1,B,AZ,24292.3,0.2324,0.2324,596,596,0,749,0,0,0,0,A,NULL,2267.297528,0.093334,4090.82332,0.1684,0.108526,NULL,NULL,gen11
8011006,6303,1,19-07-2024,1/8/2024,NULL,66,NULL,2/9/2024,NULL,C,MD,16055.05,0.24,0.24,564,564,0,1617,0,0,0,0,A,NULL,2358.5029,0.146901,2278.0671,0.141891,0.098181,NULL,NULL,gen11
8015363,5609,1,20-07-2024,1/8/2024,NULL,48,NULL,23-08-2024,NULL,C,UT,24301.79,0.2491,0.2491,617,617,0,3138,0,0,0,0,A,NULL,3961.094563,0.162996,4318.25797,0.177693,0.114514,NULL,NULL,gen11
8017407,7167,1,22-07-2024,1/8/2024,NULL,66,NULL,5/9/2024,NULL,C,DC,15494.75,0.24,0.24,676,676,0,1668,0,0,0,0,A,NULL,2325.095701,0.150057,8894.265406,0.574018,0.243228,NULL,NULL,gen11
