feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
partyid__tu,,1.0,,,,,,,,0,0.0,,,,
bkc224__tu,,1.0,,,,,,,,0,0.0,,,,
bkc231__tu,,1.0,,,,,,,,0,0.0,,,,
lastname__tu,,1.0,,,,,,,,0,0.0,,,,
address1__tu,,1.0,,,,,,,,0,0.0,,,,
bkc223__tu,,1.0,,,,,,,,0,0.0,,,,
bkc222__tu,,1.0,,,,,,,,0,0.0,,,,
bkc205__tu,,1.0,,,,,,,,0,0.0,,,,
zip4__tu,,1.0,,,,,,,,0,0.0,,,,
ssn__tu,,1.0,,,,,,,,0,0.0,,,,
dateofbirth__tu,,1.0,,,,,,,,0,0.0,,,,
bkc204__tu,,1.0,,,,,,,,0,0.0,,,,
bkc203__tu,,1.0,,,,,,,,0,0.0,,,,
bkc202__tu,,1.0,,,,,,,,0,0.0,,,,
bkc201__tu,,1.0,,,,,,,,0,0.0,,,,
bkc255__tu,,1.0,,,,,,,,0,0.0,,,,
bkc254__tu,,1.0,,,,,,,,0,0.0,,,,
bkc253__tu,,1.0,,,,,,,,0,0.0,,,,
bkc252__tu,,1.0,,,,,,,,0,0.0,,,,
bkc235__tu,,1.0,,,,,,,,0,0.0,,,,
bkc234__tu,,1.0,,,,,,,,0,0.0,,,,
bkc233__tu,,1.0,,,,,,,,0,0.0,,,,
acctid__tu,,1.0,,,,,,,,0,0.0,,,,
firstname__tu,,1.0,,,,,,,,0,0.0,,,,
middlename__tu,,1.0,,,,,,,,0,0.0,,,,
bkc225__tu,,1.0,,,,,,,,0,0.0,,,,
alert8__ln,,1.0,,,,,,,,0,0.0,,,,
bankcard_reason5__ln,,1.0,,,,,,,,0,0.0,,,,
alert4__ln,,1.0,,,,,,,,0,0.0,,,,
alert10__ln,,1.0,,,,,,,,0,0.0,,,,
alert6__ln,,1.0,,,,,,,,0,0.0,,,,
alert7__ln,,1.0,,,,,,,,0,0.0,,,,
alert5__ln,,1.0,,,,,,,,0,0.0,,,,
bkc232__tu,,1.0,,,,,,,,0,0.0,,,,
alert9__ln,,1.0,,,,,,,,0,0.0,,,,
alert3__ln,object,0.9999890512582008,,,,,,,300E,1,0.043478260869565216,,,,
indflag__tu,float64,0.9999809587099145,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1,0.025,0.0,1.0,1.0,0.0
auto_reason5__ln,object,0.9999233588074059,,,,,,,I60,1,0.006211180124223602,,,,
zipcodefiller__tu,object,0.9998871803562435,,,,,,,-,10,0.04219409282700422,,,,
cmplnc_rem_cde__base,object,0.9962498179176635,,,,,,,DRG,6,0.0007616146230007616,,,,
bittrade__app,object,0.9955867049904366,,,,,,,True,4,0.00043145291770035595,,,,
linkf190__tu,float64,0.9942604791359824,3.0,366.0,363.0,98.1713700987567,192.51513643526582,192.0,334.0,364,0.030189931160321804,0.0,8.29393713195654e-05,0.000414696856597827,0.0
affil_rem_cde__base,object,0.9930813472474387,,,,,,,CBL,8,0.0005504334663547544,,,,
linkf011__tu,float64,0.9926771958653743,0.0,12213.0,12213.0,591.9384219349221,457.43606578690765,300.0,0.0,1798,0.11688227263862705,0.0,0.10583111226678801,6.500682571670025e-05,0.10583111226678801
short_term_lending_reason5__ln,object,0.9903627270554834,,,,,,,I60,1,4.939491232403063e-05,,,,
alert2__ln,object,0.990007130963137,,,,,,,300E,4,0.00019054878048780488,,,,
fltmaintenanceagreement__app,float64,0.9898086255139958,0.0,2800.0,2800.0,148.44185083757452,71.3476126862534,0.0,0.0,346,0.01616142743705918,0.0,0.5329534308001308,4.6709327852772196e-05,0.5329534308001308
linkd012__tu,float64,0.9888046734942386,1.0,1827.0,1826.0,537.1463457988684,888.8267709839272,902.5,143.0,1827,0.07768517731099583,0.0,0.0010204949400459222,0.00012756186750574028,0.0
linkf012__tu,float64,0.9871652184178783,0.0,17040.0,17040.0,743.8539693966953,536.4237816185743,312.0,0.0,2484,0.09212966397151547,0.0,0.0974334248201172,3.7089236703508645e-05,0.0974334248201172
chargeoffdate__app,object,0.9869757575815277,,,,,,,2016-12-05 13:51:53.943000000,22220,0.8121345029239766,,,,
linkf080__tu,float64,0.9864754476845315,0.0,67431.0,67431.0,2247.876352126974,700.8664601738764,0.0,0.0,3413,0.12012952729576573,0.0,0.5644644679877512,7.039526943789377e-05,0.5644644679877512
chargeoffamount__app,float64,0.9859227742398003,-5312.41,34578.72,39891.130000000005,5142.93780137734,10123.254451978219,9872.470000000001,30000.0,23814,0.8052887866901123,0.0016907885837954822,3.381577167590964e-05,3.381577167590964e-05,0.0
defaultamount__app,float64,0.9859227742398003,0.0,34994.63,34994.63,6321.649059298161,14734.523253077235,15425.55,30000.0,23808,0.8050858920600568,0.0,3.381577167590964e-05,3.381577167590964e-05,3.381577167590964e-05
defaultdate__app,object,0.9846489119330812,,,,,,,2017-09-26 00:00:00,26045,0.8076469858595882,,,,
linkf192__tu,float64,0.983245568853781,0.0,2496.0,2496.0,699.0338040341828,888.8696442777589,716.0,61.0,2497,0.07094556199568133,0.0,0.0003693601545630185,2.8412319581770656e-05,0.0003693601545630185
linkf186__tu,float64,0.9823434877359811,2.0,366.0,364.0,98.78300629016357,191.75821627888166,191.0,243.0,365,0.009840662155239816,0.0,5.3921436467067486e-05,0.00021568574586826994,0.0
