feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
bitdebtor__base,,1.0,,,,,,,,0,0.0,,,,
bctrd__tu,,1.0,,,,,,,,0,0.0,,,,
fltadvance__app,,1.0,,,,,,,,0,0.0,,,,
pti__app,,1.0,,,,,,,,0,0.0,,,,
bigmileage_odometer__app,,1.0,,,,,,,,0,0.0,,,,
vehiclemake__app,,1.0,,,,,,,,0,0.0,,,,
vehiclemodel__app,,1.0,,,,,,,,0,0.0,,,,
bitnew__app,,1.0,,,,,,,,0,0.0,,,,
fltpriceselling__app,,1.0,,,,,,,,0,0.0,,,,
vehiclepricewholesale__app,,1.0,,,,,,,,0,0.0,,,,
fltstatesalestax__app,,1.0,,,,,,,,0,0.0,,,,
vehicleyear__app,,1.0,,,,,,,,0,0.0,,,,
permid__tu,,1.0,,,,,,,,0,0.0,,,,
partyid__tu,,1.0,,,,,,,,0,0.0,,,,
acctid__tu,,1.0,,,,,,,,0,0.0,,,,
tuseqeuncenumber__tu,,1.0,,,,,,,,0,0.0,,,,
bankcard_reason5__ln,,1.0,,,,,,,,0,0.0,,,,
alert4__ln,,1.0,,,,,,,,0,0.0,,,,
alert5__ln,,1.0,,,,,,,,0,0.0,,,,
alert6__ln,,1.0,,,,,,,,0,0.0,,,,
alert7__ln,,1.0,,,,,,,,0,0.0,,,,
alert8__ln,,1.0,,,,,,,,0,0.0,,,,
alert9__ln,,1.0,,,,,,,,0,0.0,,,,
iscrhit__tu,,1.0,,,,,,,,0,0.0,,,,
insttrd__tu,,1.0,,,,,,,,0,0.0,,,,
dtmstampcreation__base,,1.0,,,,,,,,0,0.0,,,,
nomttrd__tu,,1.0,,,,,,,,0,0.0,,,,
bkc232__tu,,1.0,,,,,,,,0,0.0,,,,
bkc233__tu,,1.0,,,,,,,,0,0.0,,,,
bkc234__tu,,1.0,,,,,,,,0,0.0,,,,
bkc235__tu,,1.0,,,,,,,,0,0.0,,,,
bkc252__tu,,1.0,,,,,,,,0,0.0,,,,
bkc253__tu,,1.0,,,,,,,,0,0.0,,,,
bkc254__tu,,1.0,,,,,,,,0,0.0,,,,
bkc255__tu,,1.0,,,,,,,,0,0.0,,,,
bkc201__tu,,1.0,,,,,,,,0,0.0,,,,
bkc202__tu,,1.0,,,,,,,,0,0.0,,,,
bkc203__tu,,1.0,,,,,,,,0,0.0,,,,
bkc204__tu,,1.0,,,,,,,,0,0.0,,,,
bkc205__tu,,1.0,,,,,,,,0,0.0,,,,
bkc222__tu,,1.0,,,,,,,,0,0.0,,,,
bkc223__tu,,1.0,,,,,,,,0,0.0,,,,
bkc224__tu,,1.0,,,,,,,,0,0.0,,,,
bkc225__tu,,1.0,,,,,,,,0,0.0,,,,
bigaccountid,,1.0,,,,,,,,0,0.0,,,,
bigdebtorid,,1.0,,,,,,,,0,0.0,,,,
rtltrd__tu,,1.0,,,,,,,,0,0.0,,,,
revtrd__tu,,1.0,,,,,,,,0,0.0,,,,
alert10__ln,,1.0,,,,,,,,0,0.0,,,,
bkc231__tu,,1.0,,,,,,,,0,0.0,,,,
ssn__tu,,1.0,,,,,,,,0,0.0,,,,
zip4__tu,,1.0,,,,,,,,0,0.0,,,,
gnrcrem_frsrpt_dte__base,,1.0,,,,,,,,0,0.0,,,,
state__tu,,1.0,,,,,,,,0,0.0,,,,
strname__tu,,1.0,,,,,,,,0,0.0,,,,
dtmstampcreation__tu,,1.0,,,,,,,,0,0.0,,,,
address1__tu,,1.0,,,,,,,,0,0.0,,,,
lastname__tu,,1.0,,,,,,,,0,0.0,,,,
observationdate__tu,,1.0,,,,,,,,0,0.0,,,,
dateofbirth__tu,,1.0,,,,,,,,0,0.0,,,,
analyticsmatchkey__tu,,1.0,,,,,,,,0,0.0,,,,
vtg4__base,,1.0,,,,,,,,0,0.0,,,,
performance__base,,1.0,,,,,,,,0,0.0,,,,
creditasofdate__tu,,1.0,,,,,,,,0,0.0,,,,
segment__tu,,1.0,,,,,,,,0,0.0,,,,
firstname__tu,,1.0,,,,,,,,0,0.0,,,,
middlename__tu,,1.0,,,,,,,,0,0.0,,,,
zip5__tu,,1.0,,,,,,,,0,0.0,,,,
obs_arch__base,,1.0,,,,,,,,0,0.0,,,,
payt_pttrn_txt__base,,1.0,,,,,,,,0,0.0,,,,
open_dte__base,,1.0,,,,,,,,0,0.0,,,,
dtmapproved__base,,1.0,,,,,,,,0,0.0,,,,
dtmdeclined__base,,1.0,,,,,,,,0,0.0,,,,
dtmfunded__base,,1.0,,,,,,,,0,0.0,,,,
observationdate__base,,1.0,,,,,,,,0,0.0,,,,
analyticsmatchkey__base,,1.0,,,,,,,,0,0.0,,,,
decision_dte__base,,1.0,,,,,,,,0,0.0,,,,
booked__base,,1.0,,,,,,,,0,0.0,,,,
acct_rte_prfl_cde__base,,1.0,,,,,,,,0,0.0,,,,
acct_typ_cde__base,,1.0,,,,,,,,0,0.0,,,,
curr_bal_amt__base,,1.0,,,,,,,,0,0.0,,,,
terms_freq_cde__base,,1.0,,,,,,,,0,0.0,,,,
affil_rem_cde__base,,1.0,,,,,,,,0,0.0,,,,
cmplnc_rem_cde__base,,1.0,,,,,,,,0,0.0,,,,
gnrc_rem_cde__base,,1.0,,,,,,,,0,0.0,,,,
rte_rem_cde__base,,1.0,,,,,,,,0,0.0,,,,
indflag__tu,,1.0,,,,,,,,0,0.0,,,,
alert3__ln,object,0.9999817520854193,,,,,,,300E,1,0.043478260869565216,,,,
zipcodefiller__tu,object,0.9998881323497443,,,,,,,-,7,0.04964539007092199,,,,
auto_reason5__ln,object,0.999872264597935,,,,,,,I60,1,0.006211180124223602,,,,
linkf190__tu,float64,0.9946565345782113,8.0,366.0,358.0,98.63831380209709,190.11224944320713,190.0,84.0,358,0.05315515961395694,0.0,0.0002969561989606533,0.0007423904974016332,0.0
bittrade__app,object,0.9939258246073922,,,,,,,True,4,0.0005224660397074191,,,,
fltmaintenanceagreement__app,float64,0.9927698588880831,0.0,2800.0,2800.0,148.4038068348735,106.7312323054976,75.0,75.0,253,0.027762537035004937,0.0,0.20377482716997697,0.0001097333479644464,0.20377482716997697
linkf011__tu,float64,0.9927563712990453,0.0,12213.0,12213.0,654.1136253029265,493.71018619934284,300.0,0.0,1561,0.17097480832420592,0.0,0.11358159912376779,0.0001095290251916758,0.11358159912376779
linkd012__tu,float64,0.9884173345667866,1.0,1827.0,1826.0,532.4689055720359,928.3544763339955,957.0,143.0,1826,0.12507706007260772,0.0,0.0011644633194054386,0.00020549352695390096,0.0
linkf012__tu,float64,0.9871772697628882,0.0,17040.0,17040.0,827.9261183419604,584.7943942581363,335.0,0.0,2199,0.13605989357752754,0.0,0.10425689889865115,6.187353050365054e-05,0.10425689889865115
linkf080__tu,float64,0.9858293042466865,0.0,27710.0,27710.0,599.3674698674976,253.33379989922176,0.0,0.0,1646,0.09215609428363473,0.0,0.6426851800011197,5.598790661217177e-05,0.6426851800011197
chargeoffdate__app,object,0.9845622642647122,,,,,,,2016-12-05 13:51:53.943000000,15915,0.8179155103299414,,,,
linkf192__tu,float64,0.9842322150270784,0.0,2496.0,2496.0,770.8869618816622,926.009862131428,663.0,7.0,2478,0.12468551876823991,0.0,0.00045285297373452753,5.031699708161417e-05,0.00045285297373452753
short_term_lending_reason5__ln,object,0.9839378682310155,,,,,,,I60,1,4.939491232403063e-05,,,,
defaultamount__app,float64,0.9834753232657737,0.0,34994.63,34994.63,5713.334318661408,14318.78357643556,15182.86,17014.58,16951,0.8138563472248895,0.0,4.801229114653351e-05,4.801229114653351e-05,4.801229114653351e-05
chargeoffamount__app,float64,0.9834753232657737,-2421.89,30329.04,32750.93,4589.552927233885,10041.713332240259,9942.31,7639.55,16945,0.8135682734780104,0.0010562704052237374,4.801229114653351e-05,4.801229114653351e-05,0.0
alert2__ln,object,0.9833452077009374,,,,,,,300E,4,0.00019054878048780488,,,,
linkf186__tu,float64,0.9829413734173901,2.0,366.0,364.0,98.70614656875291,191.16431793870052,191.0,106.0,364,0.016929445142086413,0.0,4.650946467606158e-05,0.0003720757174084926,0.0
linkf013__tu,float64,0.9820139033241353,0.0,25480.0,25480.0,987.0533149159859,650.2862373180415,357.0,0.0,2688,0.11857079841199823,0.0,0.10141155712395236,4.411116012351125e-05,0.10141155712395236
defaultdate__app,object,0.981694961512768,,,,,,,2017-09-26 00:00:00,18771,0.8135835644937587,,,,
linkf182__tu,float64,0.9781540726965181,2.0,366.0,364.0,98.73311825493138,190.0963500998729,190.0,175.0,364,0.013219538768839658,0.0,3.631741420010895e-05,0.0004358089704013074,0.0
linkf027__tu,float64,0.9780842545885571,0.0,14416.0,14416.0,943.5938317553868,840.3261050573797,552.0,300.0,3296,0.11932085580856533,0.0,7.240343192267313e-05,3.6201715961336564e-05,7.240343192267313e-05
linkf008__tu,float64,0.9772995942615862,0.0,67080.0,67080.0,1132.6260575015942,705.2984761638473,388.0,0.0,3085,0.10782189291206487,0.0,0.09572906472808612,3.4950370473927024e-05,0.09572906472808612
linkb003__tu,float64,0.9727273015777306,0.0,802422.0,802422.0,32297.589303958284,16081.589847272728,4800.0,0.0,7044,0.20491636363636365,0.0,0.2319709090909091,2.909090909090909e-05,0.2319709090909091
linkb015__tu,float64,0.9727273015777306,0.0,1275679.0,1275679.0,71827.89737684511,81802.4419490909,71360.0,0.0,12570,0.36567272727272726,0.0,0.1616581818181818,2.909090909090909e-05,0.1616581818181818
linkb013__tu,float64,0.9727273015777306,0.0,1789290.0,1789290.0,72227.93769760446,83335.46818909091,71100.0,0.0,13509,0.3929890909090909,0.0,0.08997818181818182,2.909090909090909e-05,0.08997818181818182
linkb014__tu,float64,0.9727273015777306,0.0,107985240.0,107985240.0,916723.3468567012,47799.86952727273,8973.0,0.0,9224,0.26833454545454544,0.0,0.04186181818181818,2.909090909090909e-05,0.04186181818181818
linkb005__tu,float64,0.9727273015777306,0.0,21048.0,21048.0,1140.5956929760464,1500.92192,1499.0,0.0,3472,0.10100363636363636,0.0,0.23613090909090909,2.909090909090909e-05,0.23613090909090909
linkb016__tu,float64,0.9727273015777306,0.0,1455940.0,1455940.0,92290.17104735489,114868.29032727273,98060.0,0.0,13972,0.40645818181818183,0.0,0.05530181818181818,2.909090909090909e-05,0.05530181818181818
linkb002__tu,float64,0.9727273015777306,0.0,1789290.0,1789290.0,65295.233046812435,48606.39048727273,20374.0,0.0,12940,0.3764363636363636,0.0,0.2278981818181818,2.909090909090909e-05,0.2278981818181818
linkb017__tu,float64,0.9705391386032253,0.0,53950000.0,53950000.0,342110.7552386634,98399.44547976194,80000.0,0.0,6404,0.1724611531521827,0.0,0.2995179489941561,2.6930223790159697e-05,0.2995179489941561
crossindustry_reason5__ln,object,0.9696267428741894,,,,,,,I60,1,2.612125486508372e-05,,,,
linkf028__tu,float64,0.9689761650500072,0.0,21409.0,21409.0,1431.096982416083,1161.0665933560085,660.0,300.0,4863,0.12436385955041812,0.0,0.00015344091246195945,2.5573485410326572e-05,0.00015344091246195945
linkf009__tu,float64,0.9684826779687373,0.0,129290.0,129290.0,1547.3807251793912,794.7399370673379,438.0,0.0,3756,0.09455003146633102,0.0,0.08717432347388294,2.5173064820641914e-05,0.08717432347388294
