iter	Logloss
0	0.6639225199
1	0.6424662424
2	0.6270255021
3	0.6166082129
4	0.6100416661
5	0.6038367049
6	0.5986227172
7	0.5958215501
8	0.5929304827
9	0.5901770424
10	0.5872343443
11	0.5846460864
12	0.5828399115
13	0.5809371496
14	0.5792147507
15	0.5771362837
16	0.5749900555
17	0.5734816846
18	0.5722741682
19	0.5714339816
20	0.569758919
21	0.5683536661
22	0.5675543974
23	0.5663957847
24	0.5653922774
25	0.5638137605
26	0.5623485882
27	0.5615048913
28	0.5605589946
29	0.5596992984
30	0.5591138587
31	0.5583544312
32	0.5578084023
33	0.5570141535
34	0.5562829795
35	0.5554289537
36	0.55397521
37	0.5532335149
