iteration,feature,importance,train_score,valid_score,best_iteration
1,inttype__app,6.135235557840745,0.5439352109883315,0.5940223421128569,23
2,fltapprovedpayment__app,13.056393794503482,0.5671987647921726,0.6067819562158816,6
3,intterm__app,3.5258083860523066,0.5379131699931572,0.6033441532113653,34
4,linka013__tu,8.053625068918853,0.5646165772787037,0.6072495541289854,7
5,linka017__tu,8.597219350582083,0.5670329083181598,0.6091030291672024,6
6,linka014__tu,7.935887114315801,0.5616930773017941,0.605219147711994,9
7,fltamountfinanced__app,3.479988525779866,0.5275676440726315,0.5985733061241573,46
8,bankruptcystatus__ln,2.1701372002389996,0.4990392424794442,0.587843175802157,75
9,fltapprovedloantovalue__app,2.8573445126546893,0.5334800081472311,0.5967760664115558,40
10,linka047__tu,3.5611478946120516,0.5455202552579149,0.5992182756879579,27
11,s073b__tu,2.411069514934547,0.535698918557439,0.5940978871810608,37
12,bankruptcycount__ln,1.8744491418613842,0.5297798908077779,0.5948011066781151,44
13,bankruptcytimenewest__ln,2.8084064373629394,0.5298139932328693,0.5967108193514593,45
14,subjectactivityindex03month__ln,1.7234440842587555,0.5089047073999714,0.592551990110769,65
15,g213b__tu,2.443556037780924,0.5493809955608541,0.5996932391850037,26
16,linka012__tu,1.896956284881779,0.5281945195971466,0.5959995762576723,46
17,s071b__tu,1.680825999097954,0.5048296700055095,0.5962557806155077,66
18,alertregulatorycondition__ln,2.35924523697551,0.5317453006917965,0.5967552982062456,43
19,fltdowncash__app,1.695780555719471,0.5298992296163402,0.5981533564214527,46
20,linka018__tu,2.4519769708531096,0.5393994998493817,0.5986836553007608,33
21,linka046__tu,1.3635704119607108,0.5198931720080118,0.5965839741832171,59
22,bankruptcychapter__ln,2.487432903212663,0.5289695783665185,0.5989094599971317,45
23,s204a__tu,3.298787749946186,0.5330299442764069,0.5972318717901307,39
24,linka006__tu,3.09810803950769,0.5442346996582212,0.5999967295278096,27
25,s064b__tu,2.3989248688317315,0.5347302843073786,0.5966516188611367,39
26,balmag01__tu,1.9994468485249868,0.5348058041365864,0.5962761482895746,42
27,linka009__tu,1.4625109897890787,0.5020912018345697,0.5976939682043076,73
28,linka045__tu,2.2689066515992167,0.5432046834263156,0.6019395192592206,29
29,cv05__tu,3.6220359044757098,0.5509463785425689,0.5994162685624228,22
30,linka019__tu,2.0138835308923473,0.5265247710863243,0.598935832467532,51
31,g225s__tu,2.0553157977837055,0.5249468713925521,0.595244213946277,53
32,g215b__tu,3.238531011780703,0.531927636983225,0.5991406953809646,46
33,s209a__tu,1.6733348818901086,0.529144199720716,0.5931174078495631,48
34,s068b__tu,3.792498810648127,0.5517176344474778,0.5997984800509655,23
35,linkt008__tu,2.428636335650706,0.5451165660738084,0.5968119593006636,33
36,s204s__tu,1.3091907772183167,0.4990496661630967,0.5979547365725836,77
37,g099s__tu,2.55219984130294,0.5442236319794282,0.597859208527117,31
38,g213a__tu,1.878464290832548,0.5293354062052541,0.5966396908895483,48
