feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped,description
linkf084__tu,0.6856638245809102,0.6959026620934579,0.7018993396078423,-0.0059966775143844,0,Number of inquiries within last 2 months
evictioncount12month__ln,0.6880702468110993,0.6965968827869993,0.7018993396078423,-0.005302456820843,0,Total eviction records on subject's file in the last 12 months
g415s__tu,0.6938300701578441,0.6972467663143807,0.7018993396078423,-0.0046525732934616,0,Number of deduped auto inquiries
g206s__tu,0.6998831605185362,0.6979776961803055,0.7018993396078423,-0.0039216434275368,0,Total monthly obligation for joint account verified in past 12 months
bkc322__tu,0.6929840603275403,0.698536328606892,0.7018993396078423,-0.0033630110009503,0,Min Total Open-to-Buy for Bankcard accounts over the past 6 months
bc104s__tu,0.6930467167995387,0.6985369939573856,0.7018993396078423,-0.0033623456504567,0,Average of the open credit card trade utilizations verified in past 12 months
g217s__tu,0.6925441233961044,0.6985799101722979,0.7018993396078423,-0.0033194294355444,0,Total past due amount of all trades verified in past 12 months
aut224__tu,0.7030048384229407,0.6988366686094079,0.7018993396078423,-0.0030626709984344,0,
linkf204__tu,0.6929425493067578,0.6988788040054579,0.7018993396078423,-0.0030205356023844,0,Total Bad ACH amount in last 3 Months
dealerstate__app,0.6973517661495836,0.6989046988633448,0.7018993396078423,-0.0029946407444975,0,Dealer State
strdealershiptrackertype__app,0.6953924406371526,0.6990613401113934,0.7018993396078423,-0.0028379994964489,0,"Franchise, Independent"
subjectwillingnessindex__ln,0.6962163703461943,0.6991057210653596,0.7018993396078423,-0.0027936185424827,0,Modeled risk index indicating the subject's willingness to fulfill a credit obligation on the basis of recent or historical non-derogatory and derogatory public record activity on file
at21s__tu,0.6994918102616628,0.6991303894571069,0.7018993396078423,-0.0027689501507354,0,Months since most recent trade opened
fi20s__tu,0.6957484824023584,0.699233239563132,0.7018993396078423,-0.0026661000447103,0,Months since oldest finance installment trade opened
derogcount__ln,0.6967636071804755,0.6992810039848377,0.7018993396078423,-0.0026183356230046,0,"Total derogatory source records (criminal felony, criminal non-felony, sexual offender registry, lien, judgment, bankruptcy, and eviction) on subject's file"
g218d__tu,0.6955043443954102,0.6992850401940166,0.7018993396078423,-0.0026142994138257,0,
linka026__tu,0.6952048361601054,0.6993347679346081,0.7018993396078423,-0.0025645716732342,0,Number of payday inquiries in the last 3 years
aut204__tu,0.6964380334511634,0.6993802655031061,0.7018993396078423,-0.0025190741047362,0,
ret255__tu,0.6988059380421469,0.6993853543390509,0.7018993396078423,-0.0025139852687914,0,Average Aggregate Excess Payment for Retail accounts over the past 24 months
rev320__tu,0.6997566152384076,0.6994447832439132,0.7018993396078423,-0.0024545563639291,0,
g051s__tu,0.6972971935770409,0.6994748803429284,0.7018993396078423,-0.0024244592649139,0,Percentage of trades ever delinquent
std201__tu,0.7024895608852186,0.6995505805571404,0.7018993396078423,-0.0023487590507019,0,Total Payment Ratio for Student Loan accounts over the past 1 month
jt70s__tu,0.6991806207061283,0.6995506994770783,0.7018993396078423,-0.002348640130764,0,
fltgrossmonthly__income_count,0.6991923756647462,0.6995658475362224,0.7018993396078423,-0.0023334920716199,0,Total income sources (max = 2)
cv02__tu,0.6974525641418227,0.6995720802553705,0.7018993396078423,-0.0023272593524718,0,Months since most recent foreclosure occurrence
linka052__tu,0.6989570390029457,0.6995755398359459,0.7018993396078423,-0.0023237997718964,0,Number of checking account inquiries in the last 2 years
co05s__tu,0.6927677734808859,0.6995815000212146,0.7018993396078423,-0.0023178395866277,0,Total balance of trades that charged-off
g002s__tu,0.6998799574167545,0.6996259825608533,0.7018993396078423,-0.002273357046989,0,Number of 60 days past due ratings in past 12 months
au203s__tu,0.7039523411757392,0.6996485920851044,0.7018993396078423,-0.0022507475227379,0,Number of auto trades that are 60 days or more past due in the past 12 months
au34s__tu,0.6954112796188734,0.6996750421234665,0.7018993396078423,-0.0022242974843758,0,Utilization for open auto trades verified in past 12 months
rvdexq3__tu,0.6991766223826739,0.699702142368721,0.7018993396078423,-0.0021971972391213,0,Q3 (Jul - Sep) revolving spend indexed to revolving annual spend
g226s__tu,0.6996351009420437,0.6997031520228113,0.7018993396078423,-0.002196187585031,0,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 12 months
