feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped
dealerstate__app,0.6954385335986012,0.6979443826007317,0.7028636048606417,-0.00491922225991,0
au34s__tu,0.6916724914740792,0.6991408237296168,0.7028636048606417,-0.0037227811310248,0
agg901__tu,0.6960257192517421,0.6994432328651823,0.7028636048606417,-0.0034203719954594,0
rp02s__tu,0.6960257192517421,0.6994432328651823,0.7028636048606417,-0.0034203719954594,0
s064b__tu,0.6916162835827206,0.6999507663483794,0.7028636048606417,-0.0029128385122623,0
linkf161__tu,0.6948709622662951,0.7001831060402778,0.7028636048606417,-0.0026804988203639,0
linkf087__tu,0.6948709622662951,0.7001831060402778,0.7028636048606417,-0.0026804988203639,0
bankruptcychapter__ln,0.6963926592772479,0.7003044086055012,0.7028636048606417,-0.0025591962551404,0
lm02s__tu,0.692740336870305,0.7003644493424274,0.7028636048606417,-0.0024991555182143,0
bankruptcydismissed24month__ln,0.7049943404884075,0.700391755471884,0.7028636048606417,-0.0024718493887576,0
linkf206__tu,0.6991577848937136,0.7004296837105484,0.7028636048606417,-0.0024339211500933,0
rev225__tu,0.6973489060062557,0.7004375680120074,0.7028636048606417,-0.0024260368486342,0
au01s__tu,0.6996443927002383,0.7004390433095521,0.7028636048606417,-0.0024245615510896,0
br27s__tu,0.6971963987048065,0.7004639894698468,0.7028636048606417,-0.0023996153907949,0
cv04__tu,0.6976105760013223,0.7005016160464429,0.7028636048606417,-0.0023619888141988,0
of21s__tu,0.6966608894872626,0.7005087115178323,0.7028636048606417,-0.0023548933428093,0
fltgrossmonthly__income_sum,0.7033885699539415,0.7006135127030455,0.7028636048606417,-0.0022500921575961,0
se34s__tu,0.6972741874822977,0.7006690500589682,0.7028636048606417,-0.0021945548016735,0
inquirynonshortterm12month__ln,0.6966560601308165,0.7006875069377037,0.7028636048606417,-0.002176097922938,0
assetproppurchasetimeoldest__ln,0.6981776874063754,0.7007062699617269,0.7028636048606417,-0.0021573348989147,0
g105s__tu,0.6998754067672851,0.7007718442521167,0.7028636048606417,-0.002091760608525,0
g220b__tu,0.7016465289380774,0.7007975706071892,0.7028636048606417,-0.0020660342534525,0
rev222__tu,0.6970657744054679,0.7008107182080514,0.7028636048606417,-0.0020528866525902,0
g303s__tu,0.6989875834221744,0.7008146326952803,0.7028636048606417,-0.0020489721653613,0
g242s__tu,0.69869860224281,0.7008281656874247,0.7028636048606417,-0.002035439173217,0
linka066__tu,0.7006162181330062,0.7008621094267686,0.7028636048606417,-0.002001495433873,0
bkc321__tu,0.6975017287778412,0.7008846496776403,0.7028636048606417,-0.0019789551830013,0
g216s__tu,0.6977422560920412,0.700901666449555,0.7028636048606417,-0.0019619384110867,0
paymnt07__tu,0.7043148045159116,0.700957532354125,0.7028636048606417,-0.0019060725065167,0
trv18__tu,0.6996825263173638,0.7010137005575843,0.7028636048606417,-0.0018499043030574,0
