feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped,description
fltgrossmonthly__income_sum,0.6956828665042376,0.701031035523438,0.7031243940047979,-0.0020933584813598,0,Total income
inquiryshortterm12month__ln,0.6952367836908996,0.7010409818255524,0.7031243940047979,-0.0020834121792454,0,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
linkf006__tu,0.6954916370538458,0.7010616656288242,0.7031243940047979,-0.0020627283759736,0,Number of NSF within last 6 months
strdealershiptrackertype__app,0.6931233575004513,0.7010645064996698,0.7031243940047979,-0.002059887505128,0,"Franchise, Independent"
bkc122__tu,0.6894367807958628,0.7010954202960379,0.7031243940047979,-0.0020289737087599,0,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 100% was more than 25%
inquirybanking12month__ln,0.6935747143545917,0.7011306605645585,0.7031243940047979,-0.0019937334402393,0,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
rev84__tu,0.69539400602931,0.70146794794869,0.7031243940047979,-0.0016564460561078,0,Months since a Revolving trade last exceeded 90% utilization
evictioncount12month__ln,0.6911486941955474,0.7014726534439162,0.7031243940047979,-0.0016517405608816,0,Total eviction records on subject's file in the last 12 months
bankruptcytimenewest__ln,0.6975268232914019,0.7015278721473885,0.7031243940047979,-0.0015965218574093,0,Time (in months) since most recent bankruptcy case filing on file showing the subject as debtor
at01a__tu,0.6943441206939247,0.7015726180379492,0.7031243940047979,-0.0015517759668486,0,Number of authorized user trades
lienjudgmenttaxcount__ln,0.6934320066115368,0.7016089694316052,0.7031243940047979,-0.0015154245731926,0,"Total federal, state, and county tax liens on subject's file"
bankruptcychapter__ln,0.6944178117381546,0.7016362968818264,0.7031243940047979,-0.0014880971229714,0,"Indicates bankruptcy chapter of most recent bankruptcy case filing on file showing the subject as debtor, if the bankruptcy is a Chapter 7 or Chapter 13 bankruptcy"
linkf087__tu,0.692495825354856,0.7016615464108694,0.7031243940047979,-0.0014628475939284,0,Number of inquiries within last 9 months
linkf133__tu,0.6969300895734689,0.7016989898122968,0.7031243940047979,-0.001425404192501,0,Average balance of open trades (including collection)
addrinputdelivery__ln,0.6928386092859335,0.7017023144887291,0.7031243940047979,-0.0014220795160687,0,Indicates the mail delivery status on file for the input address
co01s__tu,0.6947258823378979,0.701713015309002,0.7031243940047979,-0.0014113786957958,0,Number of charged-off trades
rp03s__tu,0.6982067274961835,0.7017417296023424,0.7031243940047979,-0.0013826644024554,0,Number of repossession trades in past 24 months
fi24s__tu,0.694734060237957,0.7017431161779971,0.7031243940047979,-0.0013812778268007,0,Number of currently open and satisfactory finance installment trades 6 months or older
dealerstate__app,0.6977291533959655,0.7017560223345769,0.7031243940047979,-0.0013683716702209,0,Dealer State
educationinstitutionprivate__ln,0.6935221958404691,0.7018123996190794,0.7031243940047979,-0.0013119943857184,0,Indicates most recently attended program is a private institution based on student directories and other college attendance sources on subject's file
g206s__tu,0.6946855449529284,0.7018545406955721,0.7031243940047979,-0.0012698533092257,0,Total monthly obligation for joint account verified in past 12 months
g406s__tu,0.6948290184688757,0.7018685619001042,0.7031243940047979,-0.0012558321046937,0,Number of deduped finance inquiries in past 12 months
linkf084__tu,0.6972323800401437,0.7018971353796036,0.7031243940047979,-0.0012272586251942,0,Number of inquiries within last 2 months
of36s__tu,0.6941196556946823,0.7018990985456526,0.7031243940047979,-0.0012252954591452,0,Months since most recent credit union delinquency
au01s__tu,0.6943456525310884,0.7018994633676193,0.7031243940047979,-0.0012249306371785,0,Number of auto trades
g220d__tu,0.6966571910443801,0.7019331190346533,0.7031243940047979,-0.0011912749701445,0,Number of credit card trades verified in the past 12 months that are currently 90 days or more past due
aut205__tu,0.6935111903509255,0.7019509887135579,0.7031243940047979,-0.0011734052912399,0,Total Payment Ratio for Auto accounts over the past 24 months
cv13__tu,0.6948737626991869,0.7019893773737449,0.7031243940047979,-0.0011350166310529,0,Percentage of trades ever delinquent
s004s__tu,0.6941842509537751,0.7019954286116682,0.7031243940047979,-0.0011289653931296,0,Average number of months trades have been on file
au202s__tu,0.6941338686581984,0.7020052263561991,0.7031243940047979,-0.0011191676485987,0,Number of auto trades that are 60 days or more past due ever
criminalfelonycount__ln,0.6963942280523991,0.7020154387220923,0.7031243940047979,-0.0011089552827056,0,Total felony criminal convictions on subject's file
au27s__tu,0.6974792858678649,0.7020295688739469,0.7031243940047979,-0.001094825130851,0,Number of currently open and satisfactory auto trades 24 months or older
linkf061__tu,0.6968014750204141,0.702054771762226,0.7031243940047979,-0.0010696222425718,0,"Number of closed delinquent, return and collection trade segments within last 12 months STOREFRONT LENDER"
agg902__tu,0.6964294837923767,0.7020554220710096,0.7031243940047979,-0.0010689719337882,0,Number of aggregate non-mortgage balance decreases over last 3 months
g001s__tu,0.6993014998379599,0.702057239112131,0.7031243940047979,-0.0010671548926668,0,Number of 30 days past due ratings in past 12 months
se06s__tu,0.6967230212874258,0.7020810417331057,0.7031243940047979,-0.0010433522716921,0,Number of secured installment trades opened in past 6 months
cv14__tu,0.6942155057762716,0.7021033793348253,0.7031243940047979,-0.0010210146699726,0,Number of deduped inquiries
au101s__tu,0.6982734771320107,0.7021081780478968,0.7031243940047979,-0.001016215956901,0,Total balance of all auto trades verified in past 12 months
g980s__tu,0.6953173198253396,0.7021089590578052,0.7031243940047979,-0.0010154349469926,0,Number of deduped inquiries in past 6 months
linka004__tu,0.6988920221128646,0.7021186254643904,0.7031243940047979,-0.0010057685404074,0,Number of bank account closures identified as fraudulent
std223__tu,0.6940968510315106,0.7021257959660203,0.7031243940047979,-0.0009985980387775,0,Average total Payment Ratio for Student Loan accounts over the past 6 months
criminalnonfelonycount__ln,0.6962167713310586,0.7021290235399993,0.7031243940047979,-0.0009953704647985,0,Total non-felony criminal convictions or sexual offender registry records on subject's file
linka026__tu,0.6985976848595841,0.7021324914501922,0.7031243940047979,-0.0009919025546056,0,Number of payday inquiries in the last 3 years
linka013__tu,0.6940450902257853,0.7021428194882368,0.7031243940047979,-0.0009815745165611,0,Total dollar amount of unpaid checking account closures for cause in the last 4 years
subjectstabilityindex__ln,0.6970331564188236,0.7021470373696868,0.7031243940047979,-0.0009773566351111,0,Modeled risk index indicating the subject's stability in fulfilling a credit obligation on the basis of address history and non-derogatory public records on file
strname__app,0.6947594540523188,0.7021628921472114,0.7031243940047979,-0.0009615018575864,0,State
