feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped,description
bankruptcystatus__ln,0.3877619225682531,0.3782019896086935,0.3567528928283756,-0.0214490967803179,0,Indicates status of most recent bankruptcy filing on file showing the subject as debtor
re01s__tu,0.3976146681942116,0.3727523343670098,0.3567528928283756,-0.0159994415386341,0,Number of revolving trades
at28b__tu,0.3997842804766346,0.3724066668909398,0.3567528928283756,-0.0156537740625642,0,Total credit line of open trades verified in past 12 months (excluding mortgage and home equity)
bitgap__app,0.3930536234554056,0.3718365768596972,0.3567528928283756,-0.0150836840313215,0,Gap tag
addrlastmovetaxratiodiff__ln,0.3983883961545945,0.3717522689098411,0.3567528928283756,-0.0149993760814655,0,"Ratio comparing the difference in tax assessed value between the current address and the previous address (current address value divided by the previous address value if both are known) on subject's file, if the move occurred within the last five years"
fltgrossmonthly__income_sum,0.3745447318576578,0.3713395082819353,0.3567528928283756,-0.0145866154535597,0,Total income
at35a__tu,0.3929557560581564,0.3711620890679469,0.3567528928283756,-0.0144091962395713,0,Average balance of open trades verified in past 12 months
at25s__tu,0.397033340584383,0.3711553992047884,0.3567528928283756,-0.0144025063764128,0,Number of currently open and satisfactory trades 12 months or older
rev315__tu,0.3956842216308919,0.3710075997192437,0.3567528928283756,-0.0142547068908681,0,Number of months since Max Total Open-to-Buy for Revolving accounts
addrinputtimenewest__ln,0.3951413547558072,0.3709637856516974,0.3567528928283756,-0.0142108928233218,0,Time on file (in months) since the subject was most recently reported at the input address
bkc84__tu,0.3935343141161451,0.3707485374353525,0.3567528928283756,-0.0139956446069769,0,Months since a Bankcard trade last exceeded 90% utilization
addrinputavmvalue12month__ln,0.39484687742006,0.3707460270962888,0.3567528928283756,-0.0139931342679132,0,Indicates input address AVM value on file 12 months ago
addrcurrentdwelltype__ln,0.3949847048378455,0.3705929732510024,0.3567528928283756,-0.0138400804226268,0,Current dwelling type
strname__app,0.394565968357604,0.3703612740668748,0.3567528928283756,-0.0136083812384992,0,State
rev224__tu,0.3940474042956247,0.3703176153614134,0.3567528928283756,-0.0135647225330378,0,Average total Payment Ratio for Revolving accounts over the past 12 months
ENG-loan_to_value,0.3904008089592143,0.3702809338143459,0.3567528928283756,-0.0135280409859703,0,Loan to value
au21s__tu,0.3970343473192161,0.3701515786576658,0.3567528928283756,-0.0133986858292902,0,Months since most recent auto trade opened
criminalnonfelonytimenewest__ln,0.3940890031690087,0.3701193152498312,0.3567528928283756,-0.0133664224214556,0,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records"
businessassociationtimeoldest__ln,0.392499035907949,0.3692630430973576,0.3567528928283756,-0.012510150268982,0,Time (in months) since a formal business association with the subject first seen on file
g990s__tu,0.3931830065002895,0.3690461696496206,0.3567528928283756,-0.012293276821245,0,Number of deduped inquiries in past 12 months
linka060__tu,0.3950475492608323,0.3688624597858176,0.3567528928283756,-0.012109566957442,0,Total amount of open (unpaid) non-sufficient funds in the last month
bkc122__tu,0.3932573103516965,0.3688304893534815,0.3567528928283756,-0.0120775965251059,0,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 100% was more than 25%
bc36s__tu,0.3901958584045334,0.3686709086090124,0.3567528928283756,-0.0119180157806368,0,Months since most recent credit card delinquency
trv10__tu,0.3948097253390398,0.3686524959512983,0.3567528928283756,-0.0118996031229227,0,Number of months non-mortgage balance decreases last 12 months
jt28s__tu,0.3893540146409324,0.3684242266612656,0.3567528928283756,-0.01167133383289,0,Total credit line of open joint trade verified in the past 12 months
rev319__tu,0.3911399590846363,0.3680534077924043,0.3567528928283756,-0.0113005149640287,0,Max Total Open-to-Buy for Revolving accounts over the past 24 months
g106s__tu,0.3924897114540085,0.367995734234231,0.3567528928283756,-0.0112428414058554,0,Months on file
derogseverityindex__ln,0.3869511526304723,0.367364032955053,0.3567528928283756,-0.0106111401266774,0,Index indicating severity of derogatory records on subject's file
au27s__tu,0.387251610239586,0.3673634241994646,0.3567528928283756,-0.010610531371089,0,Number of currently open and satisfactory auto trades 24 months or older
addrpreviouslengthofres__ln,0.3896822445327955,0.3672974739380467,0.3567528928283756,-0.0105445811096711,0,Length of residency in previous residence
bankruptcycount__ln,0.3891811870976489,0.3672474555139202,0.3567528928283756,-0.0104945626855446,0,Number of bankruptcies
ret205__tu,0.3909305239539225,0.3672398994370644,0.3567528928283756,-0.0104870066086888,0,Total Payment Ratio for Retail accounts over the past 24 months
intopenbktype__app,0.3985274736581195,0.3670810590321079,0.3567528928283756,-0.0103281662037323,0,BK Type
linkf197__tu,0.3897052249490828,0.366888303153459,0.3567528928283756,-0.0101354103250834,0,Total Good ACH events
g306s__tu,0.3849485098706806,0.366835829680123,0.3567528928283756,-0.0100829368517474,0,Worst rating on auto trades in past 12 months
subjectactivityindex03month__ln,0.3912473058167435,0.3668184127747738,0.3567528928283756,-0.0100655199463982,0,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported within the past three months
