feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped
fltgrossmonthly__income_sum,0.8375326520709784,0.7443714188123276,0.7528986678412364,-0.0085272490289087,0
inttype__app,0.8559651809443353,0.7467513402536403,0.7528986678412364,-0.006147327587596,0
bankruptcystatus__ln,0.8595024687040645,0.7499270423726861,0.7528986678412364,-0.0029716254685502,0
bankruptcydismissed24month__ln,0.8327966605547426,0.7500287936946131,0.7528986678412364,-0.0028698741466233,0
fltdowncash__app,0.8423500121887304,0.7504588422369024,0.7528986678412364,-0.0024398256043339,0
at28b__tu,0.8334205942768489,0.7504663873121573,0.7528986678412364,-0.002432280529079,0
addrinputavmvalue__ln,0.8422691525785726,0.7505094723890011,0.7528986678412364,-0.0023891954522352,0
addrinputmatchindex__ln,0.8530887236666752,0.7505583182794904,0.7528986678412364,-0.002340349561746,0
s207a__tu,0.8332000704274114,0.7506647653906914,0.7528986678412364,-0.002233902450545,0
paymnt11__tu,0.8453612695734161,0.7507048144565025,0.7528986678412364,-0.0021938533847338,0
intservicecontractmileage__app,0.8512794883160066,0.7507855211734797,0.7528986678412364,-0.0021131466677566,0
g051s__tu,0.8305740250976196,0.750788529521542,0.7528986678412364,-0.0021101383196944,0
linka020__tu,0.8324824476808177,0.7507955075058975,0.7528986678412364,-0.0021031603353388,0
of35s__tu,0.8462790030198875,0.7508228039422222,0.7528986678412364,-0.0020758638990141,0
bankruptcycount24month__ln,0.8491221005161737,0.750846455782159,0.7528986678412364,-0.0020522120590773,0
bankruptcychapter__ln,0.8428941121503408,0.7508540077731565,0.7528986678412364,-0.0020446600680799,0
linka022__tu,0.8589473164710585,0.7509097209961186,0.7528986678412364,-0.0019889468451177,0
addrcurrentownershipindex__ln,0.847041669534955,0.7509129022377476,0.7528986678412364,-0.0019857656034887,0
linka012__tu,0.8544044458738369,0.7509440438269976,0.7528986678412364,-0.0019546240142387,0
linka003__tu,0.8402595579325562,0.7509532901749496,0.7528986678412364,-0.0019453776662867,0
balmag01__tu,0.8398339585540877,0.750998934076582,0.7528986678412364,-0.0018997337646543,0
cv05__tu,0.8456434482462433,0.7510242180317893,0.7528986678412364,-0.001874449809447,0
miles_odometer__app,0.8445945130335082,0.7510278003864932,0.7528986678412364,-0.0018708674547431,0
lm15s__tu,0.8559994784655841,0.7510633680510531,0.7528986678412364,-0.0018352997901832,0
at34b__tu,0.8383736804410837,0.7511110175180604,0.7528986678412364,-0.0017876503231759,0
g228s__tu,0.855464869186735,0.7511117920812396,0.7528986678412364,-0.0017868757599968,0
confirmationinputaddress__ln,0.8583865503859153,0.7511233482872437,0.7528986678412364,-0.0017753195539926,0
linkf199__tu,0.8495114206898822,0.7511238738836867,0.7528986678412364,-0.0017747939575496,0
bc97b__tu,0.838555763249204,0.7511413499654178,0.7528986678412364,-0.0017573178758185,0
linkt004__tu,0.8418576035643379,0.7511644623774263,0.7528986678412364,-0.00173420546381,0
s004s__tu,0.8391055045972603,0.7511861432307017,0.7528986678412364,-0.0017125246105347,0
paymnt07__tu,0.854947530999509,0.7512101131948014,0.7528986678412364,-0.001688554646435,0
fltallowance__app,0.8602734324862973,0.751228502154565,0.7528986678412364,-0.0016701656866713,0
ENG-loan_to_value,0.8570808758412393,0.751241074974742,0.7528986678412364,-0.0016575928664943,0
bc107s__tu,0.8603107454076644,0.7512654460519166,0.7528986678412364,-0.0016332217893197,0
ENG-payment_to_income,0.8407805625096205,0.7512659509011317,0.7528986678412364,-0.0016327169401046,0
inttermbump__app,0.8407221004859645,0.7512683783268093,0.7528986678412364,-0.0016302895144271,0
addrinputphonecount__ln,0.8517526095507056,0.7512757090140413,0.7528986678412364,-0.001622958827195,0
revs905__tu,0.8603364624517185,0.7512887521047199,0.7528986678412364,-0.0016099157365164,0
fltgrossmonthly__income_count,0.8605771752427762,0.7513043056099883,0.7528986678412364,-0.001594362231248,0
linka047__tu,0.8394208212036052,0.751307134148741,0.7528986678412364,-0.0015915336924954,0
au01s__tu,0.8375497375026936,0.751308247583311,0.7528986678412364,-0.0015904202579253,0
criminalnonfelonytimenewest__ln,0.8388293842589777,0.7513522386224448,0.7528986678412364,-0.0015464292187915,0
trv10__tu,0.8561110938982348,0.751382329018809,0.7528986678412364,-0.0015163388224274,0
std205__tu,0.8426495060080741,0.7513857453956887,0.7528986678412364,-0.0015129224455476,0
fltapprovedpayment__app,0.859205028944128,0.7513978202823933,0.7528986678412364,-0.001500847558843,0
strvehicletype__app,0.844893384577482,0.7514017622557161,0.7528986678412364,-0.0014969055855202,0
linkf204__tu,0.8611731915362393,0.751402585229094,0.7528986678412364,-0.0014960826121424,0
au51a__tu,0.8482511376326605,0.7514159533596783,0.7528986678412364,-0.0014827144815581,0
g960s__tu,0.8451270871336186,0.751419473472698,0.7528986678412364,-0.0014791943685383,0
fltgapinsurance__app,0.8562086975146834,0.7514223988318481,0.7528986678412364,-0.0014762690093882,0
addrcurrenttimelastsale__ln,0.8565675081012858,0.7514313408871225,0.7528986678412364,-0.0014673269541138,0
inquirytelcom12month__ln,0.8376672476374274,0.7514337268183442,0.7528986678412364,-0.0014649410228921,0
vehicleage__app,0.8459182453643332,0.7514409814324066,0.7528986678412364,-0.0014576864088298,0
addrinputownershipindex__ln,0.8626064907471697,0.7514427726097586,0.7528986678412364,-0.0014558952314778,0
inquiryshortterm12month__ln,0.8601333804066165,0.7514441211795795,0.7528986678412364,-0.0014545466616568,0
assetpropeversoldcount__ln,0.849198876395047,0.7514469151396188,0.7528986678412364,-0.0014517527016175,0
linkf164__tu,0.8594025325383464,0.7514645295362032,0.7528986678412364,-0.0014341383050331,0
addrinputproblems__ln,0.8611414279580587,0.7514983406021247,0.7528986678412364,-0.0014003272391116,0
au20s__tu,0.8571350956146638,0.7515000142118512,0.7528986678412364,-0.0013986536293851,0
bi36s__tu,0.8513116633354244,0.7515001594424473,0.7528986678412364,-0.001398508398789,0
sourcenonderogcount__ln,0.8448547681032854,0.751508589732764,0.7528986678412364,-0.0013900781084723,0
addrcurrentdwelltypeindex__ln,0.8533480638107189,0.7515305403000037,0.7528986678412364,-0.0013681275412327,0
lm29s__tu,0.8550737160147808,0.7515348557234306,0.7528986678412364,-0.0013638121178057,0
intterm__app,0.8478184996982681,0.7515481823595588,0.7528986678412364,-0.0013504854816775,0
linka026__tu,0.850693543285865,0.7515521174171389,0.7528986678412364,-0.0013465504240974,0
inquirynonshortterm12month__ln,0.8541091585101235,0.7515556859403574,0.7528986678412364,-0.001342981900879,0
subjectactivityindex12month__ln,0.8577038513694131,0.7515679959623128,0.7528986678412364,-0.0013306718789235,0
s209a__tu,0.8598295495403508,0.7515697525609515,0.7528986678412364,-0.0013289152802848,0
re20s__tu,0.8386387485079709,0.7515703818935344,0.7528986678412364,-0.0013282859477019,0
linka060__tu,0.8373390481215253,0.7515846767336367,0.7528986678412364,-0.0013139911075996,0
std253__tu,0.8496696878946178,0.7515876297557574,0.7528986678412364,-0.0013110380854789,0
bc20s__tu,0.8505356946026172,0.7516284188060344,0.7528986678412364,-0.001270249035202,0
ret319__tu,0.8439557359590856,0.7516390828812339,0.7528986678412364,-0.0012595849600024,0
g980s__tu,0.8583464997675978,0.7516652658829885,0.7528986678412364,-0.0012334019582478,0
g415s__tu,0.8381328323385675,0.751672458255367,0.7528986678412364,-0.0012262095858693,0
cv14__tu,0.8415748820722878,0.7516765039648299,0.7528986678412364,-0.0012221638764065,0
cvlst_s1__tu,0.852495297958286,0.7516830877518532,0.7528986678412364,-0.0012155800893831,0
s071b__tu,0.8566727300675239,0.7516854805988176,0.7528986678412364,-0.0012131872424188,0
br20s__tu,0.8487440410879098,0.7516905083437397,0.7528986678412364,-0.0012081594974966,0
linka078__tu,0.8412848026263362,0.7516928596962482,0.7528986678412364,-0.0012058081449881,0
g409s__tu,0.8585781954659988,0.7516937449113101,0.7528986678412364,-0.0012049229299262,0
g209s__tu,0.8579058996979081,0.751697811368001,0.7528986678412364,-0.0012008564732354,0
intservicecontractterm__app,0.8525121206340294,0.7517268367399936,0.7528986678412364,-0.0011718311012427,0
linka051__tu,0.8520156534525777,0.7517279709217918,0.7528986678412364,-0.0011706969194446,0
derogseverityindex__ln,0.8591002931551068,0.7517324384915576,0.7528986678412364,-0.0011662293496788,0
evictioncount__ln,0.8558838847187157,0.7517332960436489,0.7528986678412364,-0.0011653717975874,0
linka024__tu,0.8535263728451981,0.7517836080715845,0.7528986678412364,-0.0011150597696518,0
bitdealerapplicantsamezip__app,0.8530691475600907,0.7517846039385293,0.7528986678412364,-0.001114063902707,0
dealerstate__app,0.8414220753142572,0.7517909387588164,0.7528986678412364,-0.0011077290824199,0
linka050__tu,0.851754723398897,0.7518186432239589,0.7528986678412364,-0.0010800246172775,0
strdealershiptrackertype__app,0.8529491805783525,0.7518203929068547,0.7528986678412364,-0.0010782749343817,0
linka014__tu,0.8507660655074364,0.7518245700154282,0.7528986678412364,-0.0010740978258081,0
linka052__tu,0.8556169238647988,0.7518271219244741,0.7528986678412364,-0.0010715459167622,0
au21s__tu,0.8489786097947194,0.7518327720862368,0.7528986678412364,-0.0010658957549996,0
std224__tu,0.8406825635791726,0.7518401373521821,0.7528986678412364,-0.0010585304890542,0
bitdealertrack__app,0.8509016892836307,0.7518422397379542,0.7528986678412364,-0.0010564281032822,0
std223__tu,0.8537257298917198,0.7518467902966322,0.7528986678412364,-0.0010518775446042,0
strname__app,0.841305300738905,0.7518474127134726,0.7528986678412364,-0.0010512551277638,0
inputprovidedstreetaddress__ln,0.8465638737613825,0.7518486298841828,0.7528986678412364,-0.0010500379570536,0
std222__tu,0.8551076453629914,0.7518508982477791,0.7528986678412364,-0.0010477695934573,0
linkf098__tu,0.8375941747296877,0.7518566521456818,0.7528986678412364,-0.0010420156955546,0
bankruptcycount__ln,0.8433752600292884,0.7518681945202006,0.7528986678412364,-0.0010304733210357,0
s073a__tu,0.8581841338843821,0.751875428387035,0.7528986678412364,-0.0010232394542013,0
vehiclemake__app,0.8528916275802212,0.7518776760034034,0.7528986678412364,-0.0010209918378329,0
rev112__tu,0.8559474189553278,0.7518910095552741,0.7528986678412364,-0.0010076582859622,0
s073b__tu,0.8539168455263874,0.7519014315794802,0.7528986678412364,-0.0009972362617561,0
linka013__tu,0.8576367848743791,0.7519069088476762,0.7528986678412364,-0.0009917589935601,0
fltapprovedloantovalue__app,0.852402903046294,0.7519146337322402,0.7528986678412364,-0.0009840341089961,0
s064a__tu,0.8420256635425327,0.7519166531291004,0.7528986678412364,-0.0009820147121359,0
fi27s__tu,0.8523816095855593,0.7519430366873925,0.7528986678412364,-0.0009556311538438,0
rle905__tu,0.8569668090684456,0.7519616400351791,0.7528986678412364,-0.0009370278060573,0
agg909__tu,0.8412809336626575,0.7519696346337073,0.7528986678412364,-0.0009290332075291,0
linkt010__tu,0.8590716999558657,0.751977075972822,0.7528986678412364,-0.0009215918684143,0
rt21s__tu,0.8482295365743663,0.7520103130321016,0.7528986678412364,-0.0008883548091347,0
at34a__tu,0.8606423851387287,0.7520145454666165,0.7528986678412364,-0.0008841223746198,0
linka017__tu,0.8597264469291657,0.752018535850138,0.7528986678412364,-0.0008801319910983,0
addrinputtimenewest__ln,0.8491306267114461,0.7520392761624102,0.7528986678412364,-0.0008593916788262,0
st45s__tu,0.846165579763216,0.7520581008139622,0.7528986678412364,-0.0008405670272741,0
in27s__tu,0.849176660928328,0.7520581215611901,0.7528986678412364,-0.0008405462800462,0
mt20s__tu,0.851433902290954,0.752062125776197,0.7528986678412364,-0.0008365420650393,0
au27s__tu,0.8538804553976993,0.7520665311042788,0.7528986678412364,-0.0008321367369575,0
jt01s__tu,0.8512695885520918,0.7520702310266081,0.7528986678412364,-0.0008284368146282,0
re01s__tu,0.8512648471441837,0.7520848647381012,0.7528986678412364,-0.0008138031031351,0
s209s__tu,0.8592091284093027,0.7520959783365744,0.7528986678412364,-0.000802689504662,0
at27s__tu,0.8599800858979796,0.7521006326313924,0.7528986678412364,-0.000798035209844,0
rev122__tu,0.8513908992080805,0.7521103976600446,0.7528986678412364,-0.0007882701811917,0
s064b__tu,0.8605525257431939,0.7521167601433025,0.7528986678412364,-0.0007819076979338,0
g412s__tu,0.8512672158814014,0.7521399486284802,0.7528986678412364,-0.0007587192127561,0
g226s__tu,0.8589766066816497,0.752175184337392,0.7528986678412364,-0.0007234835038443,0
rt36s__tu,0.8569404335610733,0.7521922593060482,0.7528986678412364,-0.0007064085351882,0
linka029__tu,0.8564356415781474,0.7522042304566126,0.7528986678412364,-0.0006944373846238,0
g230s__tu,0.860419056723306,0.7522173980306592,0.7528986678412364,-0.0006812698105771,0
linka072__tu,0.8604969969100779,0.7522344729993155,0.7528986678412364,-0.0006641948419209,0
g106s__tu,0.8583932687571671,0.7522536918481997,0.7528986678412364,-0.0006449759930367,0
linka006__tu,0.8575319680558219,0.7522859814507334,0.7528986678412364,-0.0006126863905029,0
fr03s__tu,0.8519469065780363,0.7523462590638588,0.7528986678412364,-0.0005524087773776,0
addrinputsubjectcount__ln,0.8480134016936891,0.7523585137598728,0.7528986678412364,-0.0005401540813635,0
fi03s__tu,0.853262506060852,0.7524718489507747,0.7528986678412364,-0.0004268188904616,0
g302s__tu,0.8444352475134191,0.7524730107955434,0.7528986678412364,-0.0004256570456929,0
