feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped,description
fltgrossmonthly__income_sum,0.8344265699966223,0.7411676200041937,0.7512908623935259,-0.0101232423893322,0,Total income
intopenbktype__app,0.8412076467833353,0.7452181189684399,0.7512908623935259,-0.006072743425086,0,BK Type
addrinputmatchindex__ln,0.8231748662147508,0.7475521802062228,0.7512908623935259,-0.0037386821873031,0,Index indicating if the input address matches the current or historical address on file
bankruptcystatus__ln,0.8326330939061373,0.747632302580372,0.7512908623935259,-0.0036585598131538,0,Indicates status of most recent bankruptcy filing on file showing the subject as debtor
pti__app,0.8533316755395208,0.7487396857745031,0.7512908623935259,-0.0025511766190228,0,Payment to income
addrstabilityindex__ln,0.834545774192532,0.7488172007999208,0.7512908623935259,-0.0024736615936051,0,Address stability index indicating how often subject has changed addresses based on the address history on subject's file
g230s__tu,0.8463113757528312,0.7489235488143611,0.7512908623935259,-0.0023673135791648,0,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months
lm15s__tu,0.8342769314735444,0.7489239706930683,0.7512908623935259,-0.0023668917004576,0,Total balance of mortgage trades with a government loan modification
bankruptcycount24month__ln,0.8572825365094632,0.7491467157344338,0.7512908623935259,-0.0021441466590921,0,Total unique bankruptcy case filings on file showing the subject as debtor in the last 24 months
au20s__tu,0.843145612569868,0.7491581963681057,0.7512908623935259,-0.0021326660254202,0,Months since oldest auto trade opened
bankruptcycount__ln,0.8376099107794575,0.749184511916974,0.7512908623935259,-0.0021063504765519,0,Number of bankruptcies
ENG-loan_to_value,0.8565550115768445,0.7492647656959661,0.7512908623935259,-0.0020260966975598,0,Loan to value
g094s__tu,0.8355103268918458,0.7492691020557928,0.7512908623935259,-0.0020217603377331,0,Number of public record bankruptcies
linkf035__tu,0.8364100232509228,0.7492815578517222,0.7512908623935259,-0.0020093045418037,0,Number of open delinquent and charge-off trade segments ONLINE LENDER
addrinputphoneservice__ln,0.8390597056157318,0.749317459038102,0.7512908623935259,-0.0019734033554239,0,Indicates if phone service was found on file for the input address
