feature,mean_shap,mean_shap_abs,Description
intopenbktype__app,0.12969950210992773,0.12969950210992773,
g990s__tu,0.09581386605966842,0.09581386605966842,Number of deduped inquiries in past 12 months
inquirybanking12month__ln,0.05547929199913474,0.05547929199913474,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
bankruptcycount24month__ln,0.04500505166843632,0.04500505166843632,Total unique bankruptcy case filings on file showing the subject as debtor in the last 24 months
fltdowncash__app,-0.03857140332663106,0.03857140332663106,Cash Down
g980s__tu,0.036378678535085834,0.036378678535085834,Number of deduped inquiries in past 6 months
fltadvance__app,-0.028554165554845582,0.028554165554845582,
ENG-loan_to_value,-0.02664626369254776,0.02664626369254776,
bankruptcycount__ln,0.023677842785872302,0.023677842785872302,
at20s__tu,0.02284162891637186,0.02284162891637186,Months since oldest trade opened
bankruptcystatus__ln,-0.022643373409685936,0.022643373409685936,Indicates status of most recent bankruptcy filing on file showing the subject as debtor
re20s__tu,0.022163665236928157,0.022163665236928157,Months since oldest revolving trade opened
fltgrossmonthly__income_sum,-0.020387199298300362,0.020387199298300362,
ENG-vehicle_age,0.019168147302542213,0.019168147302542213,
bc97b__tu,0.018275630902696446,0.018275630902696446,Total open to buy of closed credit cards verified in past 3 months
linka029__tu,-0.017555077730232807,0.017555077730232807,Number of checking account inquiries in the last 3 years
addrinputtimenewest__ln,-0.0174574773634588,0.0174574773634588,Time on file (in months) since the subject was most recently reported at the input address
g206s__tu,0.01701905741422974,0.01701905741422974,Total monthly obligation for joint account verified in past 12 months
bkc321__tu,-0.01641021892972965,0.01641021892972965,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
strdealershiptrackertype__app,0.01581386515661868,0.01581386515661868,"Franchise, Independent"
au27s__tu,-0.013566190228381328,0.013566190228381328,Number of currently open and satisfactory auto trades 24 months or older
bc20s__tu,0.012324575309147646,0.012324575309147646,Months since oldest credit card trade opened
linkt007__tu,-0.012048096248926004,0.012048096248926004,Months since most recent derogatory public record
balmag01__tu,0.01169624202989404,0.01169624202989404,Non-mortgage balance magnitude algorithm over last 24 months
g306s__tu,-0.011680895724899453,0.011680895724899453,Worst rating on auto trades in past 12 months
strname__app,-0.010909254932385221,0.010909254932385221,State
g106s__tu,0.010802515360617175,0.010802515360617175,Months on file
jt20s__tu,0.009898816867641555,0.009898816867641555,Months since oldest joint trade opened
fltapproveddowntotal__app,-0.008669751677714475,0.008669751677714475,Down Total
inquirytelcom12month__ln,-0.008392159944234912,0.008392159944234912,Indicates subject has one or more LexisNexis telecommunications credit inquiries on file in the last 12 months
re01s__tu,0.008235490227487091,0.008235490227487091,Number of revolving trades
bkc122__tu,-0.007878953034148563,0.007878953034148563,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 100% was more than 25%
rev224__tu,-0.007852096273032695,0.007852096273032695,Average total Payment Ratio for Revolving accounts over the past 12 months
bankruptcytimenewest__ln,0.007524945931776485,0.007524945931776485,Time (in months) since most recent bankruptcy case filing on file showing the subject as debtor
subjectactivityindex03month__ln,0.007295529238393966,0.007295529238393966,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported within the past three months
linka014__tu,-0.007120429063684713,0.007120429063684713,Number of unpaid checking account closures for cause in the last 5 years
agg905__tu,0.006942346033140942,0.006942346033140942,Average aggregate bankcard utilization over last 3 months
rev204__tu,-0.006480741221061739,0.006480741221061739,Total Payment Ratio for Revolving accounts over the past 12 months
linka013__tu,-0.006427342366555949,0.006427342366555949,Total dollar amount of unpaid checking account closures for cause in the last 4 years
bitgap__app,-0.006205049241711066,0.006205049241711066,
dealerstate__app,-0.00617207310042144,0.00617207310042144,Dealer State
linka017__tu,-0.006143626315478473,0.006143626315478473,Number of checking account closures for cause in the last 5 years
au21s__tu,0.005726621193129366,0.005726621193129366,Months since most recent auto trade opened
addrinputownershipindex__ln,-0.005697248355129843,0.005697248355129843,Index indicating subject's ownership level at the input address based on the address property record on file
