feature,mean_shap_1,mean_shap_2,mean_shap_3
intopenbktype__app,0.12384802192131919,0.13740820170048287,0.16328135697246424
g990s__tu,0.09871309585817724,0.07178921161762354,0.12244122377778514
fltgrossmonthly__income_sum,-0.03282654765756832,-0.06184432489717044,0.02994358408730526
fltdowncash__app,-0.04669031567118349,-0.05541668163956395,-0.023408033363472542
bankruptcycount24month__ln,0.04755686514365462,0.045044305300592766,0.05234211611684805
inquirybanking12month__ln,0.05764856453116316,0.042421706203177055,0.06910913184871063
ENG-loan_to_value,-0.029540926774609358,-0.04209348739475015,-0.01129863780880173
bankruptcystatus__ln,-0.03169811859960739,-0.03973524001229091,-0.015227615922923361
linka029__tu,-0.016599555303978535,-0.03952540153257949,-0.009255147540949027
fltadvance__app,-0.02958167177656242,-0.038880286775470625,-0.020128663304695007
g980s__tu,0.03728920812081559,0.02884757731273902,0.044494243282177715
au27s__tu,-0.011735298238711752,-0.028664888484166297,-0.002834929604508345
bkc321__tu,-0.016441634520671888,-0.025462332418746732,-0.009639634809349857
au21s__tu,0.003101137052241374,-0.024726786445641424,0.031006175125751097
addrinputavmvalue12month__ln,-0.008733518532347514,-0.02336216623561341,0.015023008463196355
bankruptcycount__ln,0.020088712476145715,0.022446262756356094,0.02950067995235942
strname__app,-0.01261754720117657,-0.021500525145447806,0.003123604180952975
re20s__tu,0.02033310978911026,0.020206055237739832,0.02778481204421649
addrinputtimenewest__ln,-0.011706171062387468,-0.018912405757644118,-0.010958227975370589
bc97b__tu,0.018554715237317363,0.018754090948367927,0.019337074444290284
addrpreviouslengthofres__ln,-0.0024771717512814566,-0.01665464483835681,0.003995707621895009
g206s__tu,0.016571869048807347,0.016138767233417003,0.019080982721561144
ENG-vehicle_age,0.020140740260084375,0.015329743888243002,0.02284172733064628
linka014__tu,-0.006007295741520892,-0.01367745923493408,-0.0029644208739212454
dealerstate__app,-0.006097704119152359,-0.013264675903194485,0.0037213938242415213
at20s__tu,0.020735627127636744,0.013047951179585926,0.03561881743649291
linka013__tu,-0.006696677885953496,-0.012551653096774997,-0.00124707058928947
bc20s__tu,0.010652795912309191,0.012507709267038347,0.01424859489315451
linkt007__tu,-0.012215604980654257,-0.01189078835433437,-0.0130194959024348
fltapproveddowntotal__app,-0.0103399417229485,-0.011506313432463713,-0.0019827317994944747
g306s__tu,-0.010883733257738665,-0.011119877903666002,-0.012662428185447855
bkc122__tu,-0.007590235075782312,-0.010515028452996789,-0.006105652754418195
rev224__tu,-0.008824182613560667,-0.010457073423728125,-0.0048079343148723745
addrlastmovetaxratiodiff__ln,-0.0023808538855552503,-0.009931578914999047,0.0018405526862283357
linka017__tu,-0.00578790604808116,-0.009586992313376222,-0.0037907968874172824
jt20s__tu,0.008842847261733549,0.009059857167506279,0.012750961907286577
inquirytelcom12month__ln,-0.00846857877737518,-0.008779145014811578,-0.008485287692043838
bitgap__app,-0.005883480478225055,-0.007822714941652504,-0.005644439508625786
rev204__tu,-0.007485304344180026,-0.007820740688911568,-0.004282358284432595
linka012__tu,-0.003764829074248768,-0.007689346314428425,-0.0023456011932060767
at35a__tu,-0.00544499250695279,-0.007465835328555623,-0.0016050080678753373
addrinputownershipindex__ln,-0.005337676104899541,-0.0074405247847564755,-0.002716028394047712
subjectactivityindex03month__ln,0.0071555056324696786,0.007405548991043684,0.00767844087284055
re01s__tu,0.007562431674028165,0.007305348059016697,0.010127949862194644
rev317__tu,-0.004059487734767377,-0.006880552742395536,1.0024837336865719e-05
rev205__tu,-0.004449125664855342,-0.006792092912839646,-0.002751244796853222
strdealershiptrackertype__app,0.017051746553314824,0.006631033689197249,0.026650847403426058
at103s__tu,-0.003351020632020084,-0.006044895188649076,-0.004594022476295437
bc107s__tu,-0.007665220239432401,-0.005949669892300063,0.003298359664792119
jt80s__tu,0.004141459290936263,0.005869692307695038,0.0051847080329098525
g206b__tu,-0.00493242529164262,-0.005637874095680102,-0.004616176618165215
agg905__tu,0.00715431325405758,0.00539611696978841,0.009203068051153179
bitdealertrack__app,-0.004761155996269275,-0.005385722500781305,-0.00320348612311724
bankruptcytimenewest__ln,0.004267105014052972,0.005385157854323482,0.01829317574608135
linkf197__tu,-0.0021268840742457887,-0.005380397380022767,0.0027290157908490755
vehiclemake__app,-0.0023157127831557665,-0.005357265553290844,0.0005004910470875839
agg908__tu,0.0033190012044387726,0.005342330794521891,0.003117681036605817
revs905__tu,-0.005228331913357236,-0.004950799007613216,-0.003907362097463289
s208s__tu,0.004770181646880047,0.004767905484815579,0.004646318517251264
trv10__tu,0.004266777684081019,-0.004445170023700207,0.006158386022621052
g095s__tu,-0.004548523414309167,-0.004249864355631338,-0.0036560536195671847
derogseverityindex__ln,-0.0012648142783329961,-0.004099399119369624,-0.0005766866944445522
indexq4__tu,-0.0016194693317435227,-0.004021327822666542,0.0005721790712345984
fi24s__tu,-0.0020673987609766947,-0.003978214855631129,-0.0007652761817677656
jt28s__tu,0.002083526062313149,0.003873274602007471,0.005349105593537546
linkt002__tu,0.0013875600617693166,-0.0038311160154042515,0.004703705835243217
cv26__tu,-0.0019816927756504043,-0.003679537918789513,0.0015692825245914425
paymnt11__tu,-0.0030531259537203244,-0.0035632075220888167,-9.00307774623783e-05
st25s__tu,-0.003443352655451483,-0.00349259701801998,0.002512678248126375
evictioncount__ln,-0.0010647331657167667,-0.003464190706596794,-0.002825856177792785
s207a__tu,-0.005078266739534308,-0.003378302573343938,-0.0027108040135945186
bitdebtor__app,-0.0015043620509829192,0.003263977118587905,-0.003613023247753179
lienjudgmenttimenewest__ln,0.0037856813287502184,0.00311065289366186,0.008086015349454446
balmag01__tu,0.021053338473985606,-0.002977789196259709,0.016557948911291316
subjectactivityindex06month__ln,0.0034501329636281676,0.0028955974501528974,0.0026617634702066086
agg903__tu,-0.0023965926826555726,-0.002788106182275189,-0.0016963120939007918
addrcurrentsubjectowned__ln,-0.0031120366184540635,-0.0027103214884510417,-0.0026957004966892692
rev319__tu,-0.0013397745569682772,-0.0026818176101068886,-9.475062683364326e-05
g208s__tu,-0.001846462736516202,-0.0024690648095682657,-0.0004504736635546767
rev315__tu,-0.0011605880508742362,-0.002463031915922676,0.0006188231109784244
rt20s__tu,0.003352370196355103,0.0023115797997232687,0.004866171598800313
g303s__tu,-0.0011652223750499779,-0.002296523361356205,-0.0010397050871059565
at27s__tu,0.002139056294818117,-0.0021724747552059427,0.005873993794326771
s207s__tu,-0.0019732232570654692,-0.0019828083473534355,-0.0007195831244509412
trv01__tu,0.0005575787796402687,0.0019279793130886796,0.001506845224362248
evictioncount12month__ln,-0.0012214179298749234,-0.0018419029922472191,-0.0015383837108478165
jt01s__tu,0.0015441392611328453,0.0018399574849362838,0.00232228924277034
at57s__tu,-0.0009603886409967477,-0.001760751812141371,0.00027926709261366243
addrcurrentdwelltype__ln,-0.0010525124421390441,-0.001533878463877391,0.0008333684732495131
criminalnonfelonytimenewest__ln,0.002037851353956756,-0.001525353481588432,0.004600837019715099
bc36s__tu,0.0014956057654935137,0.0015240332400928169,0.0030165270728709295
alertregulatorycondition__ln,0.001848770240327452,0.0015106896544361268,0.0024374036548726716
at28b__tu,0.0017522644765168402,-0.0014730781012355471,0.004052353008212423
g218d__tu,0.0009048583085804065,0.0014679505264510147,0.0022652204921965835
addrinputphoneservice__ln,0.0012707969047277372,-0.001249493327468918,0.0026626324917424166
g099s__tu,0.0007282285775567984,0.0011784585121192373,0.00101346707307657
of21s__tu,-0.00154271658423426,-0.0011518495427620089,0.0015952428401970772
bkc84__tu,0.00013834860861338663,-0.0011259650439416338,0.002066962764695818
bi20s__tu,-0.0003776648733255363,-0.001123283800467481,0.000432351191732415
ret205__tu,0.000538118363085788,0.001098517300763289,0.002427601905299688
in25s__tu,0.0013343573998162378,-0.0010555236002658091,0.004791369256205787
sourcenonderogcount__ln,-7.28697050745429e-05,-0.0010394916380797778,0.0022894525690421697
paymnt10__tu,0.0009704456940263815,-0.0010349756864976056,0.0036556248230211618
rvdexq3__tu,-0.0011666195665086482,-0.0010330668534543304,-0.0008921818436655751
linka031__tu,-0.0009301402968963796,-0.0010168650448083784,-0.0008644385344928769
ret322__tu,0.0008730624596402451,0.000997830432005693,0.0012611376300825832
at25s__tu,-0.0009322169864503824,-0.0007888086909521784,-0.0013518594556126945
in28s__tu,-0.0004700441376042844,0.0007679751057566033,0.002553730577893055
ret255__tu,-0.0006037305963693748,-0.0007166588782173763,0.002568504866361267
criminalnonfelonycount__ln,0.0015649178517701521,-0.0006275637840044164,0.0036949066690638464
g301s__tu,0.0005672459287072625,-0.0005542064334370408,0.0019173027262659981
g106s__tu,0.01383712105871363,-0.00043454697544710743,0.01834031461661198
rtdexq1__tu,0.0012300668020155587,0.00039612340299407335,0.0006546421175488943
evictiontimenewest__ln,0.0006633965073535614,-0.0003338934092167463,0.000580479520731616
us57s__tu,-0.000547242958723591,0.000302775614237795,0.0007838015310451341
businessassociationtimeoldest__ln,1.8429767633157817e-05,-0.0003013871829164506,0.0003000846098462614
walshr10__tu,-0.00037448856264349307,-0.0002860099853789626,3.6639032262747866e-07
linka060__tu,-0.00021125434921123872,-0.00019343404301588437,-0.00021399911268598883
linkt008__tu,0.00026659159149589447,0.00013460540214576625,0.00020125522757398232
g302s__tu,0.0,0.0,0.0
ret225__tu,0.0,0.0,0.0
linka015__tu,0.0,0.0,0.0
