feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
alert10__ln,,1.0,,,,,,,,0,0.0,,,,
bkc233__tu,,1.0,,,,,,,,0,0.0,,,,
middlename__tu,,1.0,,,,,,,,0,0.0,,,,
lastname__tu,,1.0,,,,,,,,0,0.0,,,,
address1__tu,,1.0,,,,,,,,0,0.0,,,,
bkc225__tu,,1.0,,,,,,,,0,0.0,,,,
tuseqeuncenumber__tu,,1.0,,,,,,,,0,0.0,,,,
acctid__tu,,1.0,,,,,,,,0,0.0,,,,
partyid__tu,,1.0,,,,,,,,0,0.0,,,,
zip4__tu,,1.0,,,,,,,,0,0.0,,,,
ssn__tu,,1.0,,,,,,,,0,0.0,,,,
dateofbirth__tu,,1.0,,,,,,,,0,0.0,,,,
permid__tu,,1.0,,,,,,,,0,0.0,,,,
bkc224__tu,,1.0,,,,,,,,0,0.0,,,,
bkc203__tu,,1.0,,,,,,,,0,0.0,,,,
bkc204__tu,,1.0,,,,,,,,0,0.0,,,,
bkc223__tu,,1.0,,,,,,,,0,0.0,,,,
bkc205__tu,,1.0,,,,,,,,0,0.0,,,,
bkc253__tu,,1.0,,,,,,,,0,0.0,,,,
firstname__tu,,1.0,,,,,,,,0,0.0,,,,
bkc222__tu,,1.0,,,,,,,,0,0.0,,,,
bankcard_reason5__ln,,1.0,,,,,,,,0,0.0,,,,
bkc235__tu,,1.0,,,,,,,,0,0.0,,,,
bkc254__tu,,1.0,,,,,,,,0,0.0,,,,
bkc255__tu,,1.0,,,,,,,,0,0.0,,,,
bkc234__tu,,1.0,,,,,,,,0,0.0,,,,
bkc201__tu,,1.0,,,,,,,,0,0.0,,,,
bkc202__tu,,1.0,,,,,,,,0,0.0,,,,
bkc232__tu,,1.0,,,,,,,,0,0.0,,,,
bkc231__tu,,1.0,,,,,,,,0,0.0,,,,
bkc252__tu,,1.0,,,,,,,,0,0.0,,,,
DPD60PLUS__tucvlink,,1.0,,,,,,,,0,0.0,,,,
alert9__ln,,1.0,,,,,,,,0,0.0,,,,
alert8__ln,,1.0,,,,,,,,0,0.0,,,,
alert7__ln,,1.0,,,,,,,,0,0.0,,,,
alert6__ln,,1.0,,,,,,,,0,0.0,,,,
alert5__ln,,1.0,,,,,,,,0,0.0,,,,
alert4__ln,,1.0,,,,,,,,0,0.0,,,,
alert3__ln,object,0.999989257419095,,,,,,,300E,1,0.5,,,,
indflag__tu,float64,0.9999785148381899,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1,0.25,0.0,1.0,1.0,0.0
auto_reason5__ln,object,0.9999677722572848,,,,,,,I60,1,0.16666666666666666,,,,
cmplnc_rem_cde__base,object,0.9999409158050222,,,,,,,CBC,1,0.09090909090909091,,,,
zipcodefiller__tu,object,0.9987592319054653,,,,,,,-,5,0.021645021645021644,,,,
affil_rem_cde__base,object,0.997582919296361,,,,,,,CBL,4,0.008888888888888889,,,,
linkf190__tu,float64,0.9938176446891366,11.0,364.0,353.0,98.51435425067379,190.57254561251085,189.0,229.0,328,0.2849695916594266,0.0,0.0008688097306689834,0.0017376194613379669,0.0
linkf011__tu,float64,0.9912125688196589,0.0,5140.0,5140.0,534.0336768821863,435.5751833740831,287.5,0.0,640,0.39119804400978,0.0,0.12102689486552567,0.0006112469437652812,0.12102689486552567
short_term_lending_reason5__ln,object,0.9896924936215926,,,,,,,I60,1,0.0005211047420531526,,,,
dtmdeclined__base,float64,0.9877964280918491,20181001.0,20200129.0,19128.0,3817.476881767235,20189032.76540493,20190513.0,20191008.0,393,0.17297535211267606,0.0,0.00044014084507042255,0.00044014084507042255,0.0
linkd012__tu,float64,0.9871733583993555,1.0,1826.0,1825.0,530.4001986188755,916.6587102177555,935.5,168.0,1157,0.48450586264656614,0.0,0.001256281407035176,0.0004187604690117253,0.0
linkf012__tu,float64,0.9846166241439506,0.0,10880.0,10880.0,750.9522553919469,544.9947625698323,318.0,0.0,958,0.3344972067039106,0.0,0.10719273743016759,0.00034916201117318437,0.10719273743016759
linkf080__tu,float64,0.9840418960655297,0.0,40460.0,40460.0,2238.475491690071,623.694042409963,0.0,0.0,755,0.25412319084483337,0.0,0.583641871423763,0.0003365870077415012,0.583641871423763
linkf192__tu,float64,0.9826292466765141,1.0,2494.0,2493.0,715.0659066326778,861.4867037724181,637.0,98.0,1480,0.45763760049474334,0.0,0.0012368583797155227,0.00030921459492888067,0.0
bitsystemdecline__app,object,0.9789552840069827,,,,,,,True,2,0.0005104645227156713,,,,
linkf013__tu,float64,0.9785954075466631,0.0,16958.0,16958.0,913.0453472305262,620.2050188205772,348.0,0.0,1198,0.30062735257214557,0.0,0.10514429109159347,0.0002509410288582183,0.10514429109159347
linkf186__tu,float64,0.978069021082315,2.0,365.0,363.0,99.09727570474571,192.40558412931668,191.0,334.0,361,0.08841538084741611,0.0,0.0002449179524859172,0.0036737692872887582,0.0
linkf027__tu,float64,0.9759581039344702,0.0,12221.0,12221.0,929.1700678741876,854.0127345844504,565.0,300.0,1561,0.34874888293118855,0.0,0.00022341376228775692,0.00022341376228775692,0.00022341376228775692
alert2__ln,object,0.9743628306700685,,,,,,,300E,4,0.0008380473496752566,,,,
linkf008__tu,float64,0.9729770377333155,0.0,16958.0,16958.0,977.1700372523266,665.3732856290995,371.0,0.0,1413,0.2808586762075134,0.0,0.09660107334525939,0.00019876764062810574,0.09660107334525939
linkf182__tu,float64,0.9725634483684705,2.0,365.0,363.0,99.01026232479826,191.46476115896633,190.0,334.0,361,0.0706734534064213,0.0,0.00019577133907595928,0.0029365700861393894,0.0
linkf028__tu,float64,0.9647750772123003,0.0,20307.0,20307.0,1486.5134086517103,1231.05901189387,738.5,300.0,2329,0.3551387618176273,0.0,0.0010673985971332723,0.00015248551387618176,0.0010673985971332723
linkd013__tu,float64,0.9631690613669934,1.0,1825.0,1824.0,488.64222056809933,770.9289776870352,748.0,10.0,1669,0.24340090418550386,0.0,0.0011666909727285986,0.000729181857955374,0.0
fltpriceselling__app,float64,0.9627339868403384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.00014413375612568464,0.0,1.0,1.0,1.0
fltstatesalestax__app,float64,0.9627339868403384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.00014413375612568464,0.0,1.0,1.0,1.0
