feature,from_nan,from_df,from_name,sum
dtmstampcreation__base,1,1,1,3
permid__tu,1,1,1,3
acctid__tu,1,1,1,3
dtmapproved__tu,1,1,1,3
bitsystemdecline__app,1,1,1,3
telecommunications_score__ln,1,1,1,3
middlename__tu,1,1,1,3
crossindustry_score__ln,1,1,1,3
crossindustry_score_name__ln,1,1,1,3
observationdate__base,1,1,1,3
dtmdeclined__base,1,1,1,3
dtmstampcreation__tu,1,1,1,3
observationdate__tu,1,1,1,3
analyticsmatchkey__tu,1,1,1,3
syntheticfraud_score__tu,1,1,1,3
vantagescore3__tu,1,1,1,3
creditasofdate__tu,1,1,1,3
gnrcrem_frsrpt_dte__base,1,1,1,3
open_dte__base,1,1,1,3
tu_creditbureaudate__tu,1,1,1,3
bankcard_score__ln,1,1,1,3
decision_dte__base,1,1,1,3
dateofbirth__tu,1,1,1,3
partyid__tu,1,1,1,3
short_term_lending_score__ln,1,1,1,3
dtmapproved__base,1,1,1,3
score_cvauto__tu,1,0,1,2
bc921b__tu,1,1,0,2
au921b__tu,1,1,0,2
rl999b__tu,1,1,0,2
us922s__tu,1,1,0,2
rl999s__tu,1,1,0,2
rt921c__tu,1,1,0,2
rl921c__tu,1,1,0,2
rt933s__tu,1,1,0,2
rl921b__tu,1,1,0,2
mt999b__tu,1,1,0,2
mt900s__tu,1,1,0,2
mt921s__tu,1,1,0,2
rt933c__tu,1,1,0,2
mt999s__tu,1,1,0,2
mt933c__tu,1,1,0,2
mt920s__tu,1,1,0,2
mt933b__tu,1,1,0,2
mt922b__tu,1,1,0,2
mt922c__tu,1,1,0,2
mt933s__tu,1,1,0,2
mt921c__tu,1,1,0,2
rt900b__tu,1,1,0,2
rt900c__tu,1,1,0,2
rt921b__tu,1,1,0,2
mt922d__tu,1,1,0,2
au999s__tu,1,1,0,2
au933c__tu,1,1,0,2
au933b__tu,1,1,0,2
bc921c__tu,1,1,0,2
au933s__tu,1,1,0,2
he933c__tu,1,1,0,2
bc933s__tu,1,1,0,2
bc933b__tu,1,1,0,2
bc933c__tu,1,1,0,2
he999s__tu,1,1,0,2
rl921s__tu,1,1,0,2
he900s__tu,1,1,0,2
he900b__tu,1,1,0,2
he900c__tu,1,1,0,2
he921s__tu,1,1,0,2
he921b__tu,1,1,0,2
he921c__tu,1,1,0,2
he999b__tu,1,1,0,2
he933s__tu,1,1,0,2
he933b__tu,1,1,0,2
bc999b__tu,1,1,0,2
mt935b__tu,1,1,0,2
mt922s__tu,1,1,0,2
mt934b__tu,1,1,0,2
rl922d__tu,1,1,0,2
he922b__tu,1,1,0,2
he922d__tu,1,1,0,2
he922s__tu,1,1,0,2
he934b__tu,1,1,0,2
he934c__tu,1,1,0,2
rt933b__tu,1,1,0,2
he934s__tu,1,1,0,2
he935b__tu,1,1,0,2
he935c__tu,1,1,0,2
he935d__tu,1,1,0,2
he922c__tu,1,1,0,2
cc101b__tu,1,1,0,2
rl922s__tu,1,1,0,2
rl934c__tu,1,1,0,2
rt935d__tu,1,1,0,2
rt935s__tu,1,1,0,2
us920b__tu,1,1,0,2
us920c__tu,1,1,0,2
us920d__tu,1,1,0,2
us920s__tu,1,1,0,2
us922b__tu,1,1,0,2
us922c__tu,1,1,0,2
he920s__tu,1,1,0,2
he920d__tu,1,1,0,2
he920c__tu,1,1,0,2
rl920s__tu,1,1,0,2
mt934c__tu,1,1,0,2
mt934d__tu,1,1,0,2
mt934s__tu,1,1,0,2
us922d__tu,1,1,0,2
mt935c__tu,1,1,0,2
mt935d__tu,1,1,0,2
mt935s__tu,1,1,0,2
rl920b__tu,1,1,0,2
rl920c__tu,1,1,0,2
rl920d__tu,1,1,0,2
rl922b__tu,1,1,0,2
he920b__tu,1,1,0,2
rl922c__tu,1,1,0,2
mt920d__tu,1,1,0,2
mt920c__tu,1,1,0,2
mt920b__tu,1,1,0,2
he935s__tu,1,1,0,2
cc101s__tu,1,1,0,2
cc102s__tu,1,1,0,2
cc103s__tu,1,1,0,2
cc104s__tu,1,1,0,2
cc105s__tu,1,1,0,2
mt921b__tu,1,1,0,2
at933s__tu,1,1,0,2
mt900c__tu,1,1,0,2
zip_code__tu,1,1,0,2
auto_score__ln,1,1,0,2
analyticsmatchkey__ln,1,1,0,2
auto_reason1__ln,1,1,0,2
city__tu,1,1,0,2
auto_reason2__ln,1,1,0,2
auto_reason4__ln,1,1,0,2
scr_linka2__tu,1,1,0,2
scr_alta2__tu,1,1,0,2
scr_linkb2__tu,1,1,0,2
scr_altb2__tu,1,1,0,2
cvau__tu,1,1,0,2
mt900b__tu,1,1,0,2
cvam__tu,1,1,0,2
cvbk__tu,1,1,0,2
cvna__tu,1,1,0,2
cvpl__tu,1,1,0,2
cv_bc_prop__tu,1,1,0,2
cv_cons_prop__tu,1,1,0,2
cv_persloan_prop__tu,1,1,0,2
vantagescore4__tu,1,1,0,2
cv_bc_behav_seg__tu,1,1,0,2
archive__tu,1,1,0,2
linkc047__tu,1,1,0,2
linkc046__tu,1,1,0,2
linkc004__tu,1,1,0,2
linkc005__tu,1,1,0,2
monthonbooks__app,0,1,1,2
bitfunded__app,0,1,1,2
bigdebtorid__ln,1,0,1,2
credit_as_of_date__tu,1,0,1,2
bigaccountid__ln,1,0,1,2
linkc038__tu,1,1,0,2
linkc039__tu,1,1,0,2
linkc041__tu,1,1,0,2
linkc011__tu,1,1,0,2
linkc009__tu,1,1,0,2
linkc050__tu,1,1,0,2
linkc012__tu,1,1,0,2
linkc008__tu,1,1,0,2
linkc029__tu,1,1,0,2
linkc025__tu,1,1,0,2
linkc010__tu,1,1,0,2
linkc043__tu,1,1,0,2
linkc045__tu,1,1,0,2
linkc044__tu,1,1,0,2
fltgrossmonthly__income_mean,1,1,0,2
linkc051__tu,1,1,0,2
alert1__ln,1,1,0,2
bankcard_reason1__ln,1,1,0,2
bankcard_reason2__ln,1,1,0,2
rl933c__tu,1,1,0,2
us900b__tu,1,1,0,2
us900c__tu,1,1,0,2
at999s__tu,1,1,0,2
at999b__tu,1,1,0,2
rl933s__tu,1,1,0,2
bc900c__tu,1,1,0,2
rl900b__tu,1,1,0,2
at921b__tu,1,1,0,2
at900c__tu,1,1,0,2
at921c__tu,1,1,0,2
score_bankcard__tu,1,0,1,2
at933b__tu,1,1,0,2
at933c__tu,1,1,0,2
at900b__tu,1,1,0,2
au900b__tu,1,1,0,2
au900c__tu,1,1,0,2
bc900b__tu,1,1,0,2
bc999s__tu,1,1,0,2
rl900c__tu,1,1,0,2
