feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
linkf060__tu,float64,0.7781030392551811,0.0,1608.0,1608.0,79.76758936316848,10.037035542824867,0.0,0.0,258,0.010408681970387704,0.0,0.9802315730019768,4.0343728567394196e-05,0.9802315730019768
linkf045__tu,float64,0.7632782776061949,0.0,7686.0,7686.0,242.07940318328028,42.56502666112014,0.0,0.0,717,0.027114926445562154,0.0,0.9473584691600802,3.7817191695344705e-05,0.9473584691600802
linkf185__tu,float64,0.6421825343538785,0.0,2494.0,2494.0,582.8518364514708,618.8921441080811,418.0,1.0,2311,0.057818363772829624,0.0,0.00020015011258443834,2.5018764073054793e-05,0.00020015011258443834
linkf193__tu,float64,0.606714113065664,0.0,2495.0,2495.0,561.1684331610135,537.2148092506601,323.0,1.0,2331,0.05305927342256214,0.0,0.00031867431485022306,2.276245106073022e-05,0.00031867431485022306
linkf105__tu,float64,0.606714113065664,0.0,2494.0,2494.0,546.8990970871474,501.9075389237913,285.0,1.0,2283,0.05196667577164709,0.0,0.000523536374396795,2.276245106073022e-05,0.000523536374396795
linkf195__tu,float64,0.606714113065664,0.0,2496.0,2496.0,680.9069757977469,1209.3486752253482,1219.0,2237.0,2496,0.05681507784758263,0.0,4.552490212146044e-05,0.00011381225530365109,4.552490212146044e-05
linkf032__tu,object,0.600734076361846,,,,,,,N,2,4.484304932735426e-05,,,,
linkf202__tu,float64,0.6006266505527953,0.0,29.0,29.0,0.39542020598198446,0.044853402671926834,0.0,0.0,15,0.0003362324038375325,0.0,0.9765758091993185,2.2415493589168833e-05,0.9765758091993185
linkf212__tu,float64,0.6006266505527953,0.0,366430.0,366430.0,1928.9527655605657,266.210790146149,0.0,0.0,3840,0.08607549538240832,0.0,0.756500493140859,2.2415493589168833e-05,0.756500493140859
linkf211__tu,float64,0.6006266505527953,0.0,20307.12,20307.12,571.289494753278,110.9925042589438,0.0,0.0,1815,0.040684120864341436,0.0,0.9089930960279745,2.2415493589168833e-05,0.9089930960279745
linkf210__tu,float64,0.6006266505527953,0.0,710.0,710.0,5.741385172495131,1.11165157356765,0.0,0.0,64,0.0014345915897068053,0.0,0.7291760064556622,2.2415493589168833e-05,0.7291760064556622
linkf209__tu,float64,0.6006266505527953,0.0,44.0,44.0,2.028652355331461,0.4288980543351565,0.0,0.0,39,0.0008742042499775845,0.0,0.908925849547207,4.483098717833767e-05,0.908925849547207
linkf208__tu,float64,0.6006266505527953,0.0,10880.0,10880.0,192.85351174298202,22.54420447413252,0.0,0.0,764,0.01712543710212499,0.0,0.9641352102573298,2.2415493589168833e-05,0.9641352102573298
linkf110__tu,float64,0.6006266505527953,0.0,16.0,16.0,1.1339973003807824,0.47428942885322334,0.0,0.0,17,0.0003810633910158702,0.0,0.7487895633461848,2.2415493589168833e-05,0.7487895633461848
