feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped,description
fltgrossmonthly__income_sum,0.7904789410565891,0.7250798645589148,0.741019436501376,-0.0159395719424612,0,Total income
g990s__tu,0.8256916916574568,0.7328387122405109,0.741019436501376,-0.0081807242608651,0,Number of deduped inquiries in past 12 months
intopenbktype__app,0.7907075471535479,0.7328985675442861,0.741019436501376,-0.0081208689570899,0,BK Type
bankruptcystatus__ln,0.7703024979932875,0.73411673122769,0.741019436501376,-0.006902705273686,0,Indicates status of most recent bankruptcy filing on file showing the subject as debtor
strdealershiptrackertype__app,0.8143000341224622,0.7357130427909195,0.741019436501376,-0.0053063937104564,0,"Franchise, Independent"
subjectactivityindex03month__ln,0.7832995769757927,0.7362013603214705,0.741019436501376,-0.0048180761799054,0,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported within the past three months
re01s__tu,0.7841478887908491,0.7362424959222083,0.741019436501376,-0.0047769405791677,0,Number of revolving trades
linka014__tu,0.778517107239378,0.7363235405468356,0.741019436501376,-0.0046958959545404,0,Number of unpaid checking account closures for cause in the last 5 years
fltadvance__app,0.7832608965106062,0.7366839483386906,0.741019436501376,-0.0043354881626854,0,Advance
g206s__tu,0.7827736296724634,0.7369733793145438,0.741019436501376,-0.0040460571868322,0,Total monthly obligation for joint account verified in past 12 months
re101s__tu,0.8152826436826704,0.7370470562460232,0.741019436501376,-0.0039723802553528,0,
trv10__tu,0.8085200640129211,0.7372970803536091,0.741019436501376,-0.0037223561477669,0,Number of months non-mortgage balance decreases last 12 months
confirmationinputaddress__ln,0.8083271250381954,0.7373338035705175,0.741019436501376,-0.0036856329308585,0,Indicates input address is confirmed by records on file
ENG-loan_to_value,0.7859729004880878,0.7374204624596443,0.741019436501376,-0.0035989740417317,0,Loan to value
rvlr15__tu,0.8008432522382862,0.7376649463912652,0.741019436501376,-0.0033544901101107,0,
at103s__tu,0.8061592158963062,0.7376841188575687,0.741019436501376,-0.0033353176438073,0,Percentage of satisfactory open trades to all open trades verified in 24 months
strvehicletype__app,0.7972653567917326,0.7377273618655085,0.741019436501376,-0.0032920746358675,0,
g099s__tu,0.8071452432567083,0.7377504445600189,0.741019436501376,-0.0032689919413571,0,Number of public record bankruptcies in past 24 months
bitgap__app,0.8161710837404232,0.7377833892616705,0.741019436501376,-0.0032360472397054,0,Gap tag
subjectwillingnessprimaryfactor__ln,0.8067633880381941,0.7378121273809771,0.741019436501376,-0.0032073091203989,0,Indicates the primary factor behind the value returned for the SubjectWillingnessIndex attribute
dealerstate__app,0.7813005464781302,0.7378528431466863,0.741019436501376,-0.0031665933546897,0,Dealer State
derogseverityindex__ln,0.7958449357242715,0.7378651253792861,0.741019436501376,-0.0031543111220899,0,Index indicating severity of derogatory records on subject's file
s208s__tu,0.796548790389925,0.7378657016234428,0.741019436501376,-0.0031537348779332,0,Number of tax liens
strname__app,0.8084191868386941,0.7379512985769091,0.741019436501376,-0.0030681379244669,0,State
linka060__tu,0.8085381932139495,0.7379613663855347,0.741019436501376,-0.0030580701158413,0,Total amount of open (unpaid) non-sufficient funds in the last month
rev205__tu,0.8152274144028967,0.738086320814912,0.741019436501376,-0.002933115686464,0,Total Payment Ratio for Revolving accounts over the past 24 months
sourcenonderogcount__ln,0.8224065035151734,0.7380970307241694,0.741019436501376,-0.0029224057772065,0,Total non-derogatory source types on file for subject
fltdowncash__app,0.8148864280869635,0.7381158821401569,0.741019436501376,-0.0029035543612191,0,Cash Down
rt20s__tu,0.7863937528731187,0.7382104931986478,0.741019436501376,-0.0028089433027281,0,Months since oldest retail trade opened
bitdealertrack__app,0.7997838858983954,0.7382314190935999,0.741019436501376,-0.0027880174077761,0,From Dealertrack
miles_odometer__app,0.7921435170082429,0.7383005683924186,0.741019436501376,-0.0027188681089573,0,Miles on vehicle
bankruptcycount__ln,0.8058518046017007,0.7383615761845073,0.741019436501376,-0.0026578603168687,0,Number of bankruptcies
alertregulatorycondition__ln,0.7917115137721857,0.7384140473310157,0.741019436501376,-0.0026053891703603,0,"Indicates subject has an alert on their file that is associated with state or federal regulations, consumer identity conditions, or bankruptcies on file"
ret205__tu,0.809634862056219,0.738457043377174,0.741019436501376,-0.002562393124202,0,
linka013__tu,0.7979569287501276,0.738473606280653,0.741019436501376,-0.002545830220723,0,Total dollar amount of unpaid checking account closures for cause in the last 4 years
bankruptcytimenewest__ln,0.8136078213509075,0.7384835917686848,0.741019436501376,-0.0025358447326911,0,Time (in months) since most recent bankruptcy case filing on file showing the subject as debtor
in25s__tu,0.791507633000514,0.7385303663301,0.741019436501376,-0.0024890701712759,0,Number of currently open and satisfactory installment trades 12 months or older
walshr06__tu,0.8221797738345937,0.7386312831460784,0.741019436501376,-0.0023881533552976,0,
addrlastmovetaxratiodiff__ln,0.8030121380059527,0.738648570470783,0.741019436501376,-0.0023708660305929,0,"Ratio comparing the difference in tax assessed value between the current address and the previous address (current address value divided by the previous address value if both are known) on subject's file, if the move occurred within the last five years"
addrinputownershipindex__ln,0.8226469652406265,0.7386717848782435,0.741019436501376,-0.0023476516231325,0,Index indicating subject's ownership level at the input address based on the address property record on file
linka029__tu,0.8270511130064966,0.7386964728243338,0.741019436501376,-0.0023229636770422,0,Number of checking account inquiries in the last 3 years
linka017__tu,0.8296317951392578,0.7387077178174513,0.741019436501376,-0.0023117186839247,0,Number of checking account closures for cause in the last 5 years
ret322__tu,0.818863981891099,0.7387433955628179,0.741019436501376,-0.0022760409385581,0,
fltapproveddowntotal__app,0.8245570311363914,0.7388192622220934,0.741019436501376,-0.0022001742792826,0,Total down
criminalnonfelonycount__ln,0.8235482363825717,0.738849654985336,0.741019436501376,-0.00216978151604,0,Total non-felony criminal convictions or sexual offender registry records on subject's file
ret255__tu,0.8285364055831499,0.7389359187356123,0.741019436501376,-0.0020835177657637,0,Average Aggregate Excess Payment for Retail accounts over the past 24 months
vehiclemake__app,0.8054418386298856,0.7389655047570354,0.741019436501376,-0.0020539317443406,0,Vehicle make
bkc321__tu,0.8000817208780222,0.7389799849494906,0.741019436501376,-0.0020394515518854,0,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
at20s__tu,0.813933958586733,0.7389965066926725,0.741019436501376,-0.0020229298087035,0,Months since oldest trade opened
bitdebtor__app,0.8096583307168681,0.7390252695081574,0.741019436501376,-0.0019941669932186,0,Debtor or Codebtor
balmag01__tu,0.7980066024957279,0.7390330899645714,0.741019436501376,-0.0019863465368046,0,Non-mortgage balance magnitude algorithm over last 24 months
bankruptcycount24month__ln,0.8141215386005246,0.7390966579271283,0.741019436501376,-0.0019227785742477,0,Total unique bankruptcy case filings on file showing the subject as debtor in the last 24 months
evictioncount__ln,0.8205559127251447,0.7391009468300668,0.741019436501376,-0.0019184896713092,0,Total eviction records on subject's file indicating the plaintiff has sought an eviction and does not necessarily mean the defendant has vacated the premises
inquirytelcom12month__ln,0.8283419263946887,0.7391712568492587,0.741019436501376,-0.0018481796521173,0,Indicates subject has one or more LexisNexis telecommunications credit inquiries on file in the last 12 months
bc97b__tu,0.8261342189723264,0.7392149114601676,0.741019436501376,-0.0018045250412084,0,Total open to buy of closed credit cards verified in past 3 months
linkf125__tu,0.8098296197234363,0.7392344790653216,0.741019436501376,-0.0017849574360544,0,Number of trade segments (excluding new trades)
fi24s__tu,0.8355253042358178,0.7393021630575699,0.741019436501376,-0.0017172734438061,0,Number of currently open and satisfactory finance installment trades 6 months or older
rev224__tu,0.8194411821563912,0.7394144812757941,0.741019436501376,-0.0016049552255819,0,Average total Payment Ratio for Revolving accounts over the past 12 months
g303s__tu,0.8161599059775841,0.7394177329392504,0.741019436501376,-0.0016017035621256,0,Worst rating on revolving trades
inquirybanking12month__ln,0.8296716862459828,0.7394215773109822,0.741019436501376,-0.0015978591903937,0,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
jt01s__tu,0.8163230274440564,0.7394643757877155,0.741019436501376,-0.0015550607136605,0,Number of joint trades
at27s__tu,0.8051646598314833,0.7394768720538591,0.741019436501376,-0.0015425644475168,0,Number of currently open and satisfactory trades 24 months or older
linkt007__tu,0.8338324053565727,0.7395451899146802,0.741019436501376,-0.0014742465866958,0,
g301s__tu,0.8059493060985707,0.7396701031837606,0.741019436501376,-0.0013493333176154,0,Worst rating on credit card trades
g106s__tu,0.8309015693404294,0.7396790020399536,0.741019436501376,-0.0013404344614224,0,Months on file
linka031__tu,0.8223696082002192,0.7397462250368767,0.741019436501376,-0.0012732114644993,0,Number of open (unpaid) non-sufficient funds in the last 3 years
jt20s__tu,0.8146902912868599,0.7398923276268095,0.741019436501376,-0.0011271088745665,0,Months since oldest joint trade opened
g302s__tu,0.8293228268597868,0.7399765580584179,0.741019436501376,-0.0010428784429581,0,Worst rating on revolving trades in past 12 months
linka012__tu,0.846163610821511,0.7401154164360935,0.741019436501376,-0.0009040200652825,0,Number of unpaid checking account closures for cause in the last 2 years
criminalnonfelonytimenewest__ln,0.793561061241945,0.740259214049399,0.741019436501376,-0.000760222451977,0,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records"
addrinputavmvalue12month__ln,0.8240422163528538,0.7404602327074766,0.741019436501376,-0.0005592037938993,0,Indicates input address AVM value on file 12 months ago
