feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped,description
fltgrossmonthly__income_sum,0.8414365552156104,0.7424617571447338,0.7531950707249222,-0.0107333135801883,0,Total income
intopenbktype__app,0.8521197923060253,0.746727282844817,0.7531950707249222,-0.0064677878801051,0,BK Type
bankruptcystatus__ln,0.8435303546379582,0.7479440087006051,0.7531950707249222,-0.0052510620243171,0,Indicates status of most recent bankruptcy filing on file showing the subject as debtor
addrinputmatchindex__ln,0.8470721772910078,0.7490357132221255,0.7531950707249222,-0.0041593575027967,0,Index indicating if the input address matches the current or historical address on file
paymnt06__tu,0.8367234959554071,0.7491274476347896,0.7531950707249222,-0.0040676230901326,0,Ratio of actual to minimum payment over last 6 months for installment trades
g301s__tu,0.8464330155130626,0.7496678120143339,0.7531950707249222,-0.0035272587105883,0,Worst rating on credit card trades
bitgap__app,0.8553051139515743,0.7497825491906076,0.7531950707249222,-0.0034125215343145,0,Gap tag
linka013__tu,0.8438353524282184,0.7497977714042894,0.7531950707249222,-0.0033972993206328,0,Total dollar amount of unpaid checking account closures for cause in the last 4 years
addrcurrentownershipindex__ln,0.8511341675699154,0.7498124887467312,0.7531950707249222,-0.0033825819781909,0,"Index indicating subject's ownership level at the current address on subject's file, based on the address property record"
g980s__tu,0.8536702012799129,0.7499397301312454,0.7531950707249222,-0.0032553405936768,0,Number of deduped inquiries in past 6 months
ENG-vehicle_age,0.8554412734826987,0.7499928246039551,0.7531950707249222,-0.003202246120967,0,Age of vehicle (years)
bankruptcychapter__ln,0.8677320632668859,0.7500231929548303,0.7531950707249222,-0.0031718777700918,0,"Indicates bankruptcy chapter of most recent bankruptcy case filing on file showing the subject as debtor, if the bankruptcy is a Chapter 7 or Chapter 13 bankruptcy"
linka047__tu,0.8355023940008187,0.7500567772663425,0.7531950707249222,-0.0031382934585797,0,Number of checking account closures for cause in the last 3 years
confirmationinputaddress__ln,0.8448918563341666,0.7501260621989472,0.7531950707249222,-0.003069008525975,0,Indicates input address is confirmed by records on file
rle905__tu,0.8437543368739211,0.7501461256436952,0.7531950707249222,-0.0030489450812269,0,Amount of over-payments on Real-Estate accounts in the past 12 months
payment__app,0.858171211467976,0.750167689870074,0.7531950707249222,-0.0030273808548482,0,Payment
at34a__tu,0.860036444664276,0.7501923524843352,0.7531950707249222,-0.0030027182405869,0,Utilization for open trades verified in past 12 months
g409s__tu,0.8443434397809096,0.7502023876647314,0.7531950707249222,-0.0029926830601908,0,Number of deduped bank inquiries in past 6 months
linkf082__tu,0.8755695330375285,0.750330147752574,0.7531950707249222,-0.0028649229723481,0,Number of open trades with balance > 0 (excluding collection)
fi27s__tu,0.8454188515642712,0.7503950686611746,0.7531950707249222,-0.0028000020637476,0,Number of currently open and satisfactory finance installment trades 24 months or older
g228s__tu,0.8589783288489947,0.7503958985865002,0.7531950707249222,-0.0027991721384219,0,Number of 90 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months
rev319__tu,0.8578098534920896,0.7504008020619661,0.7531950707249222,-0.002794268662956,0,Max Total Open-to-Buy for Revolving accounts over the past 24 months
inquirynonshortterm12month__ln,0.8404397139820527,0.7504585579485883,0.7531950707249222,-0.0027365127763339,0,"Indicates subject has one or more LexisNexis credit inquiries on file in the last 12 months, excluding personal finance credit and collection inquiries
NOTE: This attribute indicates the subject has any LexisNexis credit inquiry on file, excluding any short-term or collection inquiries. This will include auto, banking, and telecom inquiries returned in other attributes as well as other credit-related inquiries not categorically classified in the attributes."
linkf164__tu,0.8504213818921842,0.7504653495041701,0.7531950707249222,-0.0027297212207521,0,Number of distinct home phone within last 12 months
linka020__tu,0.8459554804896872,0.7504658059630992,0.7531950707249222,-0.002729264761823,0,"Number of credit inquiries in the last 3 years.  
These include credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linka050__tu,0.8522017392906058,0.7504821900722369,0.7531950707249222,-0.0027128806526852,0,Number of checking account inquiries in the last 6 months
s204a__tu,0.8653426401448648,0.7504907867154019,0.7531950707249222,-0.0027042840095202,0,Total balance of non-medical third party collections verified in past 12 months
fltgrossmonthly__income_count,0.8527235023054961,0.750515359421086,0.7531950707249222,-0.0026797113038361,0,Total income sources (max = 2)
bc20s__tu,0.8405277121167504,0.7505661370189284,0.7531950707249222,-0.0026289337059938,0,Months since oldest credit card trade opened
linkf111__tu,0.8392800722658995,0.7505669738602985,0.7531950707249222,-0.0026280968646237,0,Number of lenders / locations with inquiries within last 6 months
addrpreviousdwelltype__ln,0.8606291104494341,0.7505781916842837,0.7531950707249222,-0.0026168790406384,0,Previous dwelling type
fltdowncash__app,0.8433339070230621,0.7505880124673043,0.7531950707249222,-0.0026070582576178,0,Cash Down
addrinputdwelltypeindex__ln,0.8601025376670169,0.7505947556105753,0.7531950707249222,-0.0026003151143468,0,Index indicating the dwelling type on file for the input address
educationinstitutionrating__ln,0.8528244326888642,0.7506225373608522,0.7531950707249222,-0.00257253336407,0,"Indicates the education program rating for the most recently attended program on subject's file, based on student directories and other college attendance sources. Rating is based on various institution statistics and national ratings (Tier 1 = highest rating, Tier 6 =lowest rating)"
addrinputphoneservice__ln,0.8507063712383366,0.7506306844611325,0.7531950707249222,-0.0025643862637897,0,Indicates if phone service was found on file for the input address
cv04__tu,0.8502304646445947,0.7506317356998783,0.7531950707249222,-0.0025633350250439,0,Months since most recent third party collection occurrence
trv07__tu,0.8475496194860276,0.7506335753676835,0.7531950707249222,-0.0025614953572387,0,Number of non-mortgage balance decreases last month
g226s__tu,0.8555496128275597,0.7506435137234585,0.7531950707249222,-0.0025515570014637,0,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 12 months
inquirytelcom12month__ln,0.8564383955613671,0.7506805145608947,0.7531950707249222,-0.0025145561640275,0,Indicates subject has one or more LexisNexis telecommunications credit inquiries on file in the last 12 months
linka060__tu,0.8519731463174045,0.7506901071144505,0.7531950707249222,-0.0025049636104717,0,Total amount of open (unpaid) non-sufficient funds in the last month
linkf212__tu,0.855879724621504,0.7507023692611372,0.7531950707249222,-0.0024927014637849,0,Total Bad ACH amount
st09s__tu,0.8571148814185251,0.750702818804022,0.7531950707249222,-0.0024922519209001,0,Number of student loan trades opened in past 24 months
fltadvance__app,0.8586251145946386,0.7507249224818624,0.7531950707249222,-0.0024701482430598,0,Advance
linka051__tu,0.8535480989512639,0.7507301925076804,0.7531950707249222,-0.0024648782172418,0,Number of checking account inquiries in the last year
rev_trd__tu,0.8549150712270244,0.7507382012870731,0.7531950707249222,-0.002456869437849,0,Number of revolving trades
s004s__tu,0.8576835715273808,0.7507721867291592,0.7531950707249222,-0.0024228839957629,0,Average number of months trades have been on file
trv01__tu,0.843958149396175,0.7507752851170417,0.7531950707249222,-0.0024197856078804,0,Number of months since overlimit on a bankcard
rev328__tu,0.8482168689217703,0.7507945393845974,0.7531950707249222,-0.0024005313403248,0,Average Total Open-to-Buy for Revolving accounts over the past 24 months
rev102__tu,0.846468287928273,0.7507954315543225,0.7531950707249222,-0.0023996391705997,0,Number of months in the past 12 months where percentage of Revolving trades utilized less than 50% was more than 25%
addrcurrentdwelltype__ln,0.8574964059613968,0.750797457955326,0.7531950707249222,-0.0023976127695961,0,Current dwelling type
std253__tu,0.8545528573422291,0.7508142362789934,0.7531950707249222,-0.0023808344459288,0,Average Aggregate Excess Payment for Student Loan accounts over the past 6 months
linka006__tu,0.8436118728814033,0.7508172724224764,0.7531950707249222,-0.0023777983024457,0,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
vehiclemake__app,0.8634953904758239,0.7508445216373358,0.7531950707249222,-0.0023505490875863,0,Vehicle make
bitdealertrack__app,0.850581834918728,0.7508566869594013,0.7531950707249222,-0.0023383837655208,0,From Dealertrack
bankruptcydismissed24month__ln,0.8608484048534226,0.7508743159565274,0.7531950707249222,-0.0023207547683947,0,Indicates subject has one or more dismissed bankruptcies on file in the last 24 months
g094s__tu,0.8651480601106211,0.7508758305702468,0.7531950707249222,-0.0023192401546754,0,Number of public record bankruptcies
pti__app,0.8757583915409868,0.7508801738461179,0.7531950707249222,-0.0023148968788042,0,Payment to income
std205__tu,0.8341319194213243,0.7508838946779945,0.7531950707249222,-0.0023111760469276,0,Total Payment Ratio for Student Loan accounts over the past 24 months
std222__tu,0.8766800370861554,0.7509175896462168,0.7531950707249222,-0.0022774810787054,0,Average total Payment Ratio for Student Loan accounts over the past 3 months
criminalnonfelonycount__ln,0.8570080587945983,0.7509355851936952,0.7531950707249222,-0.002259485531227,0,Total non-felony criminal convictions or sexual offender registry records on subject's file
std224__tu,0.8549264316870921,0.7509374525256778,0.7531950707249222,-0.0022576181992444,0,Average total Payment Ratio for Student Loan accounts over the past 12 months
linkf020__tu,0.8448312677382597,0.7509415122437293,0.7531950707249222,-0.0022535584811929,0,Number of satisfactory ACH transactions within last 24 months
of20s__tu,0.8446148604534769,0.7509427156354513,0.7531950707249222,-0.0022523550894708,0,Months since oldest credit union trade opened
strvehicletype__app,0.8467404048135097,0.7509432550869132,0.7531950707249222,-0.002251815638009,0,Vehicle type
s071b__tu,0.8582237137700642,0.7509569419387423,0.7531950707249222,-0.0022381287861799,0,Number of non-medical third party collections opened in past 36 months
ret324__tu,0.8661549535537726,0.750957571298781,0.7531950707249222,-0.0022374994261411,0,Min Total Open-to-Buy for Retail accounts over the past 24 months
paymnt07__tu,0.8750320592167374,0.7509719705031814,0.7531950707249222,-0.0022231002217407,0,Ratio of actual to minimum payment for non-mortgage trades last month
ssnsubjectcount__ln,0.8539242300093199,0.7509780289580588,0.7531950707249222,-0.0022170417668634,0,Total number of unique identities found on file with the input SSN 
linkf064__tu,0.8579183029722881,0.7509911071979825,0.7531950707249222,-0.0022039635269397,0,Number of charged-off and open past due trade segments
linka022__tu,0.8545512721800493,0.7509913077632695,0.7531950707249222,-0.0022037629616527,0,Number of auto inquiries in the last 3 years
trv13__tu,0.8782421864870253,0.7510017994025948,0.7531950707249222,-0.0021932713223273,0,Number of revolving high credit increases YOY
rt20s__tu,0.8460694296566339,0.7510155623309123,0.7531950707249222,-0.0021795083940099,0,Months since oldest retail trade opened
fi28s__tu,0.8614638757335813,0.7510185154818628,0.7531950707249222,-0.0021765552430593,0,Total credit line of open finance installment trades verified in past 12 months
of28s__tu,0.8415667721585935,0.7510306877199726,0.7531950707249222,-0.0021643830049495,0,Total credit line of open credit union trades verified in past 12 months
au51a__tu,0.854413802038408,0.7510427977136831,0.7531950707249222,-0.0021522730112391,0,Terms in months of most recent auto trade
std252__tu,0.8551296266647748,0.7510499074073063,0.7531950707249222,-0.0021451633176159,0,Average Aggregate Excess Payment for Student Loan accounts over the past 3 months
ret328__tu,0.8499654090078566,0.7510584902183824,0.7531950707249222,-0.0021365805065397,0,Average Total Open-to-Buy for Retail accounts over the past 24 months
linkf040__tu,0.854174266332741,0.7510585801269595,0.7531950707249222,-0.0021364905979627,0,Number of lenders / locations with inquiries or trades all time ONLINE LENDER
rvlr26__tu,0.8688281734135769,0.7510720249172352,0.7531950707249222,-0.0021230458076869,0,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fifth highest balance   - month 1 to 8
at27s__tu,0.8499638254190389,0.7510779519672695,0.7531950707249222,-0.0021171187576527,0,Number of currently open and satisfactory trades 24 months or older
linkf199__tu,0.8440101183285571,0.7510915350784331,0.7531950707249222,-0.0021035356464891,0,Total Good ACH amount
linka072__tu,0.8544881842986614,0.7511118751649563,0.7531950707249222,-0.0020831955599659,0,Number of paid non-sufficient funds in the last 2 years
