feature,importance,Description
intopenbktype__app,4.408765879628386,
fltgrossmonthly__income_sum,3.1351743075391947,
bankruptcystatus__ln,3.054177996343184,Indicates status of most recent bankruptcy filing on file showing the subject as debtor
au21s__tu,2.9533641396184107,Months since most recent auto trade opened
g990s__tu,2.627511629838868,Number of deduped inquiries in past 12 months
linkt002__tu,2.2170261879157445,Number of months at current address
addrpreviouslengthofres__ln,2.192577984888631,
linka029__tu,1.894133382521957,Number of checking account inquiries in the last 3 years
bankruptcytimenewest__ln,1.7852265555195068,Time (in months) since most recent bankruptcy case filing on file showing the subject as debtor
g206s__tu,1.7799718743794097,Total monthly obligation for joint account verified in past 12 months
dealerstate__app,1.7556052861240206,Dealer State
bc97b__tu,1.6918446247970336,Total open to buy of closed credit cards verified in past 3 months
g106s__tu,1.6907850322955282,Months on file
at20s__tu,1.620670140453986,Months since oldest trade opened
cv26__tu,1.6151034289314607,Percent of trades from active to inactive status in the past 12 months
addrinputtimenewest__ln,1.5880034564334846,Time on file (in months) since the subject was most recently reported at the input address
re20s__tu,1.5824578543841639,Months since oldest revolving trade opened
addrinputownershipindex__ln,1.5820699227579715,Index indicating subject's ownership level at the input address based on the address property record on file
balmag01__tu,1.5478796341527385,Non-mortgage balance magnitude algorithm over last 24 months
bc107s__tu,1.4067146109069486,Number of 30 and 60 days past due ratings on credit card trades
jt20s__tu,1.3604133221568504,Months since oldest joint trade opened
lienjudgmenttimenewest__ln,1.322356441625129,"Time (in months) since the most recently recorded lien or judgment on subject's file, excluding evictions"
bc20s__tu,1.3044195775543774,Months since oldest credit card trade opened
g206b__tu,1.239844484366359,Total monthly obligation for joint account verified in past 12 months and with a current balance > 0  (ATTR14)
bankruptcycount__ln,1.2343412357114365,
addrinputavmvalue12month__ln,1.201900558330319,Indicates input address AVM value on file 12 months ago
linka013__tu,1.1732374970144135,Total dollar amount of unpaid checking account closures for cause in the last 4 years
at35a__tu,1.1673609820966038,Average balance of open trades verified in past 12 months
at28b__tu,1.1600259134744353,Total credit line of open trades verified in past 12 months (excluding mortgage and home equity)
fi24s__tu,1.1485842214865645,Number of currently open and satisfactory finance installment trades 6 months or older
jt28s__tu,1.1426375978753591,Total credit line of open joint trade verified in the past 12 months
strname__app,1.1400072716853578,State
au27s__tu,1.1173942003981692,Number of currently open and satisfactory auto trades 24 months or older
s207s__tu,1.0848934269897115,Months since most recent public record bankruptcy
strdealershiptrackertype__app,1.0712558093342919,"Franchise, Independent"
bankruptcycount24month__ln,1.05228535159431,Total unique bankruptcy case filings on file showing the subject as debtor in the last 24 months
trv10__tu,1.0492406881354879,Number of months non-mortgage balance decreases last 12 months
linkf197__tu,1.0422254185574127,Total Good ACH events
subjectactivityindex06month__ln,1.0159878922786838,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported on file within the past six months
