feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
alert10__ln,,1.0,,,,,,,,0,0.0,,,,
dateofbirth__tu,,1.0,,,,,,,,0,0.0,,,,
bkc224__tu,,1.0,,,,,,,,0,0.0,,,,
bkc232__tu,,1.0,,,,,,,,0,0.0,,,,
bkc223__tu,,1.0,,,,,,,,0,0.0,,,,
bkc233__tu,,1.0,,,,,,,,0,0.0,,,,
bkc234__tu,,1.0,,,,,,,,0,0.0,,,,
bkc255__tu,,1.0,,,,,,,,0,0.0,,,,
bkc222__tu,,1.0,,,,,,,,0,0.0,,,,
bkc205__tu,,1.0,,,,,,,,0,0.0,,,,
bkc235__tu,,1.0,,,,,,,,0,0.0,,,,
permid__tu,,1.0,,,,,,,,0,0.0,,,,
partyid__tu,,1.0,,,,,,,,0,0.0,,,,
acctid__tu,,1.0,,,,,,,,0,0.0,,,,
tuseqeuncenumber__tu,,1.0,,,,,,,,0,0.0,,,,
bankcard_reason5__ln,,1.0,,,,,,,,0,0.0,,,,
alert3__ln,,1.0,,,,,,,,0,0.0,,,,
alert4__ln,,1.0,,,,,,,,0,0.0,,,,
alert5__ln,,1.0,,,,,,,,0,0.0,,,,
alert6__ln,,1.0,,,,,,,,0,0.0,,,,
alert7__ln,,1.0,,,,,,,,0,0.0,,,,
alert8__ln,,1.0,,,,,,,,0,0.0,,,,
alert9__ln,,1.0,,,,,,,,0,0.0,,,,
DPD60PLUS__tucvlink,,1.0,,,,,,,,0,0.0,,,,
bkc252__tu,,1.0,,,,,,,,0,0.0,,,,
bkc204__tu,,1.0,,,,,,,,0,0.0,,,,
bkc203__tu,,1.0,,,,,,,,0,0.0,,,,
bkc202__tu,,1.0,,,,,,,,0,0.0,,,,
bkc201__tu,,1.0,,,,,,,,0,0.0,,,,
bkc253__tu,,1.0,,,,,,,,0,0.0,,,,
bkc254__tu,,1.0,,,,,,,,0,0.0,,,,
bkc231__tu,,1.0,,,,,,,,0,0.0,,,,
indflag__tu,,1.0,,,,,,,,0,0.0,,,,
ssn__tu,,1.0,,,,,,,,0,0.0,,,,
middlename__tu,,1.0,,,,,,,,0,0.0,,,,
cmplnc_rem_cde__base,,1.0,,,,,,,,0,0.0,,,,
zip4__tu,,1.0,,,,,,,,0,0.0,,,,
firstname__tu,,1.0,,,,,,,,0,0.0,,,,
bkc225__tu,,1.0,,,,,,,,0,0.0,,,,
address1__tu,,1.0,,,,,,,,0,0.0,,,,
lastname__tu,,1.0,,,,,,,,0,0.0,,,,
auto_reason5__ln,object,0.9999512147526588,,,,,,,I60,1,1.0,,,,
zipcodefiller__tu,object,0.99473119328715,,,,,,,-,1,0.009259259259259259,,,,
gnrc_rem_cde__base,object,0.9939018440823495,,,,,,,AND,3,0.024,,,,
gnrcrem_frsrpt_dte__base,object,0.9939018440823495,,,,,,,2020-04-07,47,0.376,,,,
linkf190__tu,float64,0.9920480046833837,15.0,363.0,348.0,109.24332643332903,198.7914110429448,207.0,351.0,113,0.6932515337423313,0.0,0.006134969325153374,0.006134969325153374,0.0
linkd012__tu,float64,0.9905844472631476,2.0,1770.0,1768.0,495.2436835854252,800.6683937823834,762.0,43.0,148,0.7668393782383419,0.0,0.0051813471502590676,0.0051813471502590676,0.0
linkf011__tu,float64,0.9893160308322764,0.0,3947.0,3947.0,502.3618377502574,432.1826484018265,283.0,0.0,140,0.639269406392694,0.0,0.1232876712328767,0.0045662100456621,0.1232876712328767
dtmdeclined__base,float64,0.9891208898429115,20181002.0,20200129.0,19127.0,3938.289645359744,20188701.461883407,20190501.0,20190923.0,139,0.6233183856502242,0.0,0.004484304932735426,0.004484304932735426,0.0
affil_rem_cde__base,object,0.9862425602497805,,,,,,,CBL,4,0.014184397163120567,,,,
linkf080__tu,float64,0.983754512635379,0.0,34306.0,34306.0,2512.299759133518,740.0870870870871,0.0,0.0,127,0.3813813813813814,0.0,0.5375375375375375,0.003003003003003003,0.5375375375375375
linkf012__tu,float64,0.9813152502683189,0.0,6240.0,6240.0,636.6118791819674,496.47780678851177,300.0,0.0,229,0.597911227154047,0.0,0.13315926892950392,0.0026109660574412533,0.13315926892950392
bitsystemdecline__app,object,0.9800468338374475,,,,,,,True,2,0.004889975550122249,,,,
short_term_lending_reason5__ln,object,0.9798516928480827,,,,,,,I60,1,0.002421307506053269,,,,
linkf192__tu,float64,0.9792174846326471,6.0,2493.0,2487.0,689.7260845746031,801.8286384976526,562.5,105.0,335,0.7863849765258216,0.0,0.002347417840375587,0.002347417840375587,0.0
