iteration,feature,importance,train_score,valid_score,best_iteration
1,g225s__tu,68.63294441219473,0.2088046322471438,0.2849804344678155,0
2,rt03s__tu,7.237245956246469,0.18599003074884188,0.278005274317611,4
3,fltadvance__app,17.275297289067197,0.1958091452828597,0.27871866952717894,2
4,s071a__tu,18.75179878623741,0.19910635855466627,0.2859856270433736,1
5,rp08s__tu,35.39828262303721,0.20798331859311572,0.2815416389056183,0
6,ret162__tu,17.781884210008663,0.1975650704635091,0.28299512977240554,1
7,rev13__tu,12.88431070059779,0.19388467070765503,0.28207574118689166,2
8,linkf107__tu,48.77991350452782,0.21194699769573025,0.28341875214083373,0
9,g302s__tu,44.406292490353415,0.20480455728952404,0.283358438765025,0
10,linka009__tu,10.463068301656739,0.19992118723600036,0.27843010257677825,2
11,addrinputmatchindex__ln,36.61498724110861,0.21809822196705808,0.28180890746873777,0
12,inttermbump__app,19.742478727785695,0.18831162508031174,0.2808679896422395,4
13,atap01__tu,28.69625262675157,0.20520369190682936,0.2816816513250289,0
14,subjectactivityindex12month__ln,15.955327748311188,0.19907502525899443,0.28299568663385427,1
15,rvdexq4__tu,27.847756326629955,0.20269239792812402,0.2814020884386212,0
16,g307s__tu,9.794970819678925,0.18420474772116183,0.2806193312374611,6
17,g243f__tu,44.280893585480754,0.20352513188331345,0.2839224499667532,0
18,linkf173__tu,49.40377111618837,0.2058645228485164,0.2811289723016183,0
19,g218b__tu,26.630719121585834,0.20549185441141266,0.2827695250677005,0
20,g220b__tu,59.58953276686591,0.20714206277203026,0.2815749097750325,0
21,rev231__tu,12.856354644919225,0.19847203297955668,0.28021233181296634,2
22,rev255__tu,20.938626937312804,0.20183691927508832,0.2809112480443021,1
23,bitgap__app,31.91562398384019,0.21309465599454983,0.2838810964564004,0
24,rev232__tu,39.07026152680785,0.21139398020944014,0.28374494488239477,0
25,fltgapinsurance__app,19.880958074667124,0.2032544522923206,0.2794356085162099,1
26,au27s__tu,36.13447925957297,0.20723352429726294,0.28087521307384633,0
27,g095s__tu,35.962886803746535,0.20335669984613566,0.2822028525793258,0
28,g250a__tu,20.285848859857914,0.20111473984195327,0.28215556350603216,1
29,fltapproveddowntotal__app,60.18335403053761,0.20755212360732475,0.28418189192109616,0
30,rev142__tu,10.582016145651014,0.19096114583504403,0.2787969779849668,4
31,addrchangecount24month__ln,10.072343698886254,0.19052336279901927,0.2809447096133293,3
32,linkf172__tu,26.937042525606124,0.20451105353866436,0.2814401194800161,1
33,rev12__tu,7.90526587011104,0.19105520502458798,0.2817096882040779,5
34,linkf154__tu,10.45204766716107,0.1772653475525157,0.28158845434486884,7
35,linkf140__tu,30.672974258849422,0.2119627266296628,0.28085155240636545,0
36,linka019__tu,20.163431446043578,0.19908217281575905,0.28073602783216595,1
37,linkf068__tu,6.6360006520875325,0.18295904387836254,0.28047351385962643,7
38,rev52__tu,50.92279803700537,0.2124019216970574,0.28163293762286773,0
39,au200s__tu,34.08224908975655,0.21096132621247707,0.28019040488805214,0
40,g212s__tu,7.152327113773732,0.189424853484844,0.28239465199172975,7
41,linkf089__tu,30.765453994911883,0.20615265617345604,0.2847313816587445,0
42,linka039__tu,5.895033428540082,0.1720680438035028,0.28014477929615644,9
43,rev54__tu,29.614451367218056,0.20934513561589568,0.28063622977515656,1
44,au24s__tu,14.188104720048223,0.20721570561932356,0.2830086138332167,1
45,inquiryauto12month__ln,13.161560584503892,0.2068570821202615,0.28017688166898286,2
46,of21s__tu,29.715604557829483,0.20891045850653603,0.2820364543568282,0
47,walshr10__tu,19.385677515965714,0.19570500010962522,0.28490584269030433,1
48,fi03s__tu,30.532798217051052,0.20694774289473228,0.28175034537588867,0
49,in09s__tu,25.70118114911489,0.20077379631823947,0.2834612724271042,0
50,payment__app,18.72347293364364,0.20568712851307144,0.280569081966048,1
51,g217s__tu,42.58763545523676,0.20684670128688973,0.2829332607260353,0
52,g242f__tu,21.960638849340807,0.20073976820300748,0.2794095739956533,1
53,g413s__tu,16.17941425758209,0.1908291102954778,0.2771434694792821,4
54,linkf181__tu,18.201859999974456,0.2009223109679198,0.28453139769343033,1
55,in31s__tu,33.75749434017883,0.20562991634791983,0.2801397438899019,0
56,addrcurrenttractratio__ln,29.62300197791074,0.21156728133095315,0.28250631525165926,0
57,g412s__tu,20.592108100529003,0.21505476928054662,0.2804743487422592,0
58,g207b__tu,21.683232123892687,0.19799584462496755,0.28068990149506795,0
59,g303s__tu,9.356510581044498,0.19316439590201911,0.27965728266533424,6
60,linka053__tu,19.341556567981506,0.19848081365257186,0.28282394560774127,1
61,at34b__tu,14.343228274688977,0.19995473423708343,0.2812905101859772,4
62,rvlr16__tu,31.75202278445154,0.20192914080606753,0.2835874833360459,0
63,balmag02__tu,13.91074884887441,0.2094704161829273,0.2829749501211063,2
64,addrstabilityindex__ln,36.58947110202246,0.20507396414119203,0.28316129897727615,0
65,linka006__tu,22.88351593020287,0.2036895534354024,0.2812117646810719,1
66,miles_odometer__app,33.86072701385146,0.2120156950495665,0.2831303052165453,0
67,rvdexq1__tu,39.68356781684884,0.19895707688464645,0.28459291369410616,0
68,bi101s__tu,43.63025911707119,0.2030402371780671,0.28388994039139687,0
69,bc107s__tu,12.806950448145393,0.20050375375646481,0.28148452989636225,3
70,addrchangecount60month__ln,34.72077412390687,0.20778325099697476,0.2829018899185188,0
71,cv05__tu,12.511929177334286,0.1996546768890712,0.2769899117777564,4
72,re101s__tu,26.014246601616406,0.20340047717679288,0.2807218294011899,0
73,cv26__tu,29.38976873403414,0.21223229140048222,0.2852217794046852,0
74,revs902__tu,40.69613490998061,0.2083910772610204,0.2822548679696287,0
75,fltdowncash__app,42.77389514259828,0.20017558071224711,0.2843040013082752,0
76,rp04s__tu,46.784213309405416,0.21329430948198616,0.28167927654696834,0
77,g216s__tu,11.789815907390949,0.19897371301107913,0.28149498156509845,3
78,au207s__tu,6.326367195887141,0.1758730619843602,0.28265742421836876,10
79,g250c__tu,14.971277904595036,0.21141834388459582,0.28121741160090374,1
80,us33s__tu,29.054671855964468,0.2148373629483196,0.2829212156390609,0
81,bc108s__tu,57.92861667740755,0.20831976658797605,0.2802844852961749,0
