feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
linkf189__tu,float64,0.7763050902585786,0.0,2484.0,2484.0,485.2899186625941,404.3565976008724,223.0,1.0,980,0.356234096692112,0.0,0.0007270083605961468,0.0003635041802980734,0.0007270083605961468
linkf060__tu,float64,0.7114978045210604,0.0,1548.0,1548.0,84.16393557444604,11.370913190529876,0.0,0.0,57,0.016065388951521983,0.0,0.9768883878241262,0.0005636978579481398,0.9768883878241262
linkf045__tu,float64,0.6940966010733453,0.0,2031.0,2031.0,181.97144672110113,37.63928761297182,0.0,0.0,140,0.03721424774056353,0.0,0.9420520999468368,0.000531632110579479,0.9420520999468368
linkb012__tu,float64,0.6601886485607416,0.0,1.0,1.0,0.3254253199368742,0.12036372337879876,0.0,0.0,2,0.0004785833931562575,0.0,0.8796362766212013,0.12036372337879876,0.8796362766212013
intopenbktype__app,float64,0.6191250609855261,7.0,13.0,6.0,2.85584382572126,9.080273270708796,7.0,7.0,2,0.0004269854824935952,0.0,0.6532877882152007,0.34671221178479933,0.0
intservicecontractmileage__app,float64,0.5879004716214018,0.0,1000000.0,1000000.0,66403.63908036785,32818.70481452249,0.0,0.0,245,0.04834254143646409,0.0,0.6566692975532754,0.002170481452249408,0.6566692975532754
intservicecontractterm__app,float64,0.586924703203773,0.0,36000.0,36000.0,857.5652875339051,63.959055118110236,36.0,24.0,34,0.0066929133858267716,0.0,0.03937007874015748,0.0003937007874015748,0.03937007874015748
linkf185__tu,float64,0.545373231419743,0.0,2490.0,2490.0,544.2998733193972,526.2740118046861,317.0,1.0,1508,0.26971919155786084,0.0,0.00017885888034340904,0.00017885888034340904,0.00017885888034340904
linkf193__tu,float64,0.507806147341031,0.0,2490.0,2490.0,511.55574246609245,443.64133487526846,231.0,1.0,1446,0.2388898067074178,0.0,0.00033041467041136624,0.00016520733520568312,0.00033041467041136624
linkf195__tu,float64,0.507806147341031,1.0,2496.0,2495.0,681.7431351453705,1180.1587642491327,1182.0,2143.0,2158,0.3565174293738642,0.0,0.001156451346439782,0.00033041467041136624,0.0
linkf105__tu,float64,0.507806147341031,0.0,2463.0,2463.0,498.6406357692121,418.366264662151,204.0,1.0,1419,0.23442920865686437,0.0,0.0004956220056170494,0.00016520733520568312,0.0004956220056170494
linkf201__tu,float64,0.502602049113677,0.0,10.0,10.0,0.39508124582047865,0.06179499754781756,0.0,0.0,9,0.0014713094654242277,0.0,0.9645250940003269,0.00016347882949158083,0.9645250940003269
linkf212__tu,float64,0.502602049113677,0.0,10786.88,10786.88,721.075514849434,250.67970083374203,0.0,0.0,919,0.1502370443027628,0.0,0.7477521660944908,0.00016347882949158083,0.7477521660944908
linkf211__tu,float64,0.502602049113677,0.0,8300.0,8300.0,456.1973874283438,91.46576099395129,0.0,0.0,387,0.06326630701324179,0.0,0.9112309955860716,0.00016347882949158083,0.9112309955860716
linkf210__tu,float64,0.502602049113677,0.0,70.0,70.0,3.478255013664747,1.1329082883766552,0.0,0.0,38,0.006212195520680072,0.0,0.7166911884910904,0.00016347882949158083,0.7166911884910904
linkf209__tu,float64,0.502602049113677,0.0,36.0,36.0,1.7812231937511382,0.3704430276279222,0.0,0.0,24,0.00392349190779794,0.0,0.9112309955860716,0.00016347882949158083,0.9112309955860716
