feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped,description
dealerstate__app,0.234683723632728,0.2712850566310539,0.2699363702999264,-0.0013486863311275,0,Dealer State
of36s__tu,0.2333556290352617,0.2707349393903701,0.2699363702999264,-0.0007985690904436,0,Months since most recent credit union delinquency
bc97b__tu,0.230701704392898,0.2707111075343433,0.2699363702999264,-0.0007747372344169,0,Total open to buy of closed credit cards verified in past 3 months
bkc316__tu,0.2307875711986484,0.2706882240078297,0.2699363702999264,-0.0007518537079033,0,
rt36s__tu,0.2266800598435469,0.2706765009124863,0.2699363702999264,-0.0007401306125598,0,Months since most recent retail delinquency
bkc84__tu,0.2333880863461948,0.2706319636804958,0.2699363702999264,-0.0006955933805694,0,Months since a Bankcard trade last exceeded 90% utilization
vehiclemake__app,0.2331301552035501,0.2706276782211897,0.2699363702999264,-0.0006913079212633,0,Vehicle make
se33s__tu,0.2347394100585665,0.2706069856383404,0.2699363702999264,-0.000670615338414,0,
fc04s__tu,0.2326141596749222,0.2706008275079285,0.2699363702999264,-0.0006644572080021,0,Months since most recent foreclosure trade reported
sourcenonderogcount__ln,0.2333704352735523,0.2705857219089056,0.2699363702999264,-0.0006493516089792,0,Total non-derogatory source types on file for subject
g241s__tu,0.2323765522502731,0.2705793549792138,0.2699363702999264,-0.0006429846792874,0,
au36s__tu,0.2320994095491181,0.2705772178350275,0.2699363702999264,-0.000640847535101,0,Months since most recent auto delinquency
sourcenonderogcount03month__ln,0.2314464338265821,0.2705707884394598,0.2699363702999264,-0.0006344181395334,0,Total non-derogatory source types on file for subject reported within the last three months
addrinputproblems__ln,0.2326070932096412,0.2705687238560545,0.2699363702999264,-0.0006323535561281,0,Indicates any problems on file associated with the input address
ret255__tu,0.2318938472009334,0.2705634849319193,0.2699363702999264,-0.0006271146319928,0,Average Aggregate Excess Payment for Retail accounts over the past 24 months
addrcurrenttractratio__ln,0.2329467044683444,0.2705583254112235,0.2699363702999264,-0.000621955111297,0,
linkf069__tu,0.2303943955226792,0.2705229621990033,0.2699363702999264,-0.0005865918990768,0,
linkf210__tu,0.2313926534476945,0.2705165669769205,0.2699363702999264,-0.0005801966769941,0,Total Bad ACH events
fi09s__tu,0.22568126518455,0.270505646793431,0.2699363702999264,-0.0005692764935045,0,Number of finance installment trades opened in past 24 months
addrpreviousdwelltype__ln,0.2286388178126016,0.2705052460909841,0.2699363702999264,-0.0005688757910576,0,Previous dwelling type
bkc317__tu,0.2295437499949838,0.2704951444325125,0.2699363702999264,-0.000558774132586,0,
addrinputlastsaleprice__ln,0.228814314064033,0.2704891630682199,0.2699363702999264,-0.0005527927682935,0,Indicates last recorded sale price on file for the input address
rev232__tu,0.2289739746614199,0.2704887207034386,0.2699363702999264,-0.0005523504035122,0,
indexq4__tu,0.2310781793710456,0.2704827317344455,0.2699363702999264,-0.000546361434519,0,
miles_odometer__app,0.2277718424328381,0.2704736773574255,0.2699363702999264,-0.0005373070574991,0,Miles on vehicle
all234__tu,0.2329930874208589,0.2704691916405818,0.2699363702999264,-0.0005328213406554,0,
bkc321__tu,0.2295052673808362,0.2704689216787032,0.2699363702999264,-0.0005325513787767,0,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
au20s__tu,0.2302657158788026,0.2704664665248907,0.2699363702999264,-0.0005300962249643,0,Months since oldest auto trade opened
aggs908__tu,0.230295994839962,0.270464292146452,0.2699363702999264,-0.0005279218465256,0,
ret324__tu,0.2313656709691181,0.2704641329373343,0.2699363702999264,-0.0005277626374078,0,Min Total Open-to-Buy for Retail accounts over the past 24 months
re01s__tu,0.2308650239043897,0.2704615954594357,0.2699363702999264,-0.0005252251595093,0,Number of revolving trades
jt20s__tu,0.2285393778875324,0.2704588944584024,0.2699363702999264,-0.0005225241584759,0,Months since oldest joint trade opened
bkc322__tu,0.2282972137960633,0.2704584443126895,0.2699363702999264,-0.0005220740127631,0,Min Total Open-to-Buy for Bankcard accounts over the past 6 months
linkf116__tu,0.2286906949255906,0.270452701495274,0.2699363702999264,-0.0005163311953476,0,
g206b__tu,0.2282572368352881,0.2704458799063658,0.2699363702999264,-0.0005095096064394,0,Total monthly obligation for joint account verified in past 12 months and with a current balance > 0  (ATTR14)
fr36s__tu,0.2305396219265481,0.2704443388618343,0.2699363702999264,-0.0005079685619078,0,
linka046__tu,0.2330420118594872,0.2704339138239362,0.2699363702999264,-0.0004975435240098,0,Number of checking account closures for cause in the last 2 years
addrcurrenttimelastsale__ln,0.2290303422525962,0.2704307254932891,0.2699363702999264,-0.0004943551933627,0,
sourcevoterregistration__ln,0.230634712196709,0.2704304062639704,0.2699363702999264,-0.000494035964044,0,
all254__tu,0.2299850236584659,0.2704221921679584,0.2699363702999264,-0.0004858218680319,0,
in57s__tu,0.2256868982777595,0.2704205397204251,0.2699363702999264,-0.0004841694204987,0,Total past due amount of open installment trades verified in past 12 months
fr101s__tu,0.2292535331901217,0.2704144344472579,0.2699363702999264,-0.0004780641473314,0,
assetpropsaletimenewest__ln,0.2289595223170934,0.2704126166959399,0.2699363702999264,-0.0004762463960135,0,
fr21s__tu,0.2311841670309845,0.270404735059022,0.2699363702999264,-0.0004683647590956,0,
fltgrossmonthly__income_sum,0.2242090867792567,0.270402873619011,0.2699363702999264,-0.0004665033190845,0,Total income
au51a__tu,0.2310092516787583,0.2704002685495433,0.2699363702999264,-0.0004638982496169,0,Terms in months of most recent auto trade
fltdowncash__app,0.2309482266127369,0.2703986168908422,0.2699363702999264,-0.0004622465909158,0,Cash Down
ENG-vehicle_age,0.2285462022372762,0.2703909207615148,0.2699363702999264,-0.0004545504615883,0,Age of vehicle (years)
ENG-loan_to_value,0.2287740968173754,0.2703890356186492,0.2699363702999264,-0.0004526653187227,0,Loan to value
se28s__tu,0.2302295170180896,0.2703871669906806,0.2699363702999264,-0.0004507966907542,0,
criminalnonfelonytimenewest__ln,0.2286633243924292,0.270386717517562,0.2699363702999264,-0.0004503472176355,0,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records"
ret328__tu,0.2280024843640857,0.2703821437390467,0.2699363702999264,-0.0004457734391202,0,Average Total Open-to-Buy for Retail accounts over the past 24 months
g202b__tu,0.2298375342402432,0.2703760857661613,0.2699363702999264,-0.0004397154662348,0,
