feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped,description
fltgrossmonthly__income_sum,0.2476783911230016,0.2725930189035142,0.2714506010428385,-0.0011424178606756,0,Total income
vehiclemake__app,0.2482737784176867,0.2724020006958908,0.2714506010428385,-0.0009513996530522,0,Vehicle make
strname__app,0.2472758957198169,0.2721367401131081,0.2714506010428385,-0.0006861390702695,0,State
strdealershiptrackertype__app,0.2475031631503096,0.2719601377895485,0.2714506010428385,-0.0005095367467099,0,"Franchise, Independent"
of21s__tu,0.2488057113958871,0.2719497488109531,0.2714506010428385,-0.0004991477681145,0,Months since most recent credit union trade opened
dealerstate__app,0.2473663529653258,0.2719300467940926,0.2714506010428385,-0.000479445751254,0,Dealer State
fi01s__tu,0.2472424939462612,0.2718914540163348,0.2714506010428385,-0.0004408529734962,0,Number of finance installment trades
br01s__tu,0.247152519688189,0.2718753215427691,0.2714506010428385,-0.0004247204999305,0,Number of bank revolving trades
pti__app,0.2477261603020655,0.2718721775623692,0.2714506010428385,-0.0004215765195306,0,Payment to income
s114s__tu,0.2476554023535717,0.271861930168958,0.2714506010428385,-0.0004113291261194,0,Number of deduped inquiries in past 6 months (excluding auto and mortgage inquiries)
aut233__tu,0.2482126986196282,0.2718618969058951,0.2714506010428385,-0.0004112958630565,0,Aggregate Excess Payment for Auto accounts over the past 6 months
g238s__tu,0.2472774129450225,0.2718433376910107,0.2714506010428385,-0.0003927366481721,0,Number of credit inquiries in past 12 months
addrcurrentdwelltype__ln,0.2465657644388721,0.2718400295428838,0.2714506010428385,-0.0003894285000452,0,Current dwelling type
linkf043__tu,0.2470817247053529,0.2718393626680625,0.2714506010428385,-0.0003887616252239,0,Number of trades opened within last 12 months ONLINE LENDER
g211s__tu,0.2470230794267141,0.271838934365449,0.2714506010428385,-0.0003883333226104,0,Highest balance of charged-off trades
paymnt11__tu,0.2470087557308046,0.2718258715606876,0.2714506010428385,-0.000375270517849,0,Number of payments in last 12 months
linkf053__tu,0.2472873149648989,0.2718227304570432,0.2714506010428385,-0.0003721294142046,0,Number of inquiries all time STOREFRONT LENDER
linkt008__tu,0.2470197038755895,0.2718144390235378,0.2714506010428385,-0.0003638379806992,0,Number of public record bankruptcies in the last 24 months
linkf096__tu,0.2469878855787316,0.2718095103431995,0.2714506010428385,-0.0003589093003609,0,Number of trades within last 18 months
assetpropindex__ln,0.2476674033870451,0.271807169880084,0.2714506010428385,-0.0003565688372454,0,Index indicating level of historical property ownership based on real property ownership records on subject's file
in20s__tu,0.2463457226394733,0.2718061558902629,0.2714506010428385,-0.0003555548474243,0,Months since oldest installment trade opened
jt02s__tu,0.2466642407427952,0.2718047803006728,0.2714506010428385,-0.0003541792578342,0,Number of open joint trades
inquiryshortterm12month__ln,0.2471336289698521,0.2718022045772,0.2714506010428385,-0.0003516035343614,0,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
linka021__tu,0.2470027655653592,0.2717960313348819,0.2714506010428385,-0.0003454302920433,0,"Number of credit inquiries in the last year.  
These include credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
g042c__tu,0.2474263366444252,0.2717893844223545,0.2714506010428385,-0.0003387833795159,0,Number of real estate trades 60 or more days past due ever
jt75s__tu,0.246675668122744,0.2717882446434326,0.2714506010428385,-0.000337643600594,0,Number of joint trades 30 days past due or worse in the last 12 months
linka004__tu,0.2465748216369424,0.2717877102254178,0.2714506010428385,-0.0003371091825792,0,Number of bank account closures identified as fraudulent
linka014__tu,0.2471955858153048,0.2717848504680562,0.2714506010428385,-0.0003342494252177,0,Number of unpaid checking account closures for cause in the last 5 years
bc106s__tu,0.247515883286565,0.2717847338402239,0.2714506010428385,-0.0003341327973853,0,Number of credit card trades 30 or more days past due in past 24 months
addrinputdwelltypeindex__ln,0.2473339176204535,0.2717825307752369,0.2714506010428385,-0.0003319297323983,0,Index indicating the dwelling type on file for the input address
au20s__tu,0.2470293331376654,0.2717809179057928,0.2714506010428385,-0.0003303168629542,0,Months since oldest auto trade opened
rev_trd__tu,0.2468036553325125,0.2717791922853371,0.2714506010428385,-0.0003285912424985,0,Number of revolving trades
re01s__tu,0.2468036553325125,0.2717791922853371,0.2714506010428385,-0.0003285912424985,0,Number of revolving trades
fltdowncash__app,0.2479820182265641,0.27177700680016,0.2714506010428385,-0.0003264057573214,0,Cash Down
rev233__tu,0.2472906170650686,0.2717761815353866,0.2714506010428385,-0.000325580492548,0,Aggregate Excess Payment for Revolving accounts over the past 6 months
subjectstabilityprimaryfactor__ln,0.2472192414230451,0.2717760603748248,0.2714506010428385,-0.0003254593319862,0,Indicates the primary factor behind the value returned for the SubjectStabilityIndex attribute
assetpropevercount__ln,0.2467450857845184,0.2717721892068808,0.2714506010428385,-0.0003215881640422,0,Total number of real property ever owned based on real property ownership records on subject's file
lm11s__tu,0.2472858181395787,0.2717706941473997,0.2714506010428385,-0.0003200931045611,0,Number of trades that are 60 or more days past due since the most recent loan modification on a mortgage trade
cv21__tu,0.2475639539073968,0.2717706824135557,0.2714506010428385,-0.0003200813707171,0,Total payment amount of trades verified in past 3 months
linkf167__tu,0.2470932205833456,0.2717683565525485,0.2714506010428385,-0.0003177555097099,0,Number of distinct home phones within last 24 months
s207a__tu,0.2473836449219769,0.2717637039865068,0.2714506010428385,-0.0003131029436682,0,Months since most recent tradeline bankruptcy
addrinputtimeoldest__ln,0.246811764932871,0.2717624343887624,0.2714506010428385,-0.0003118333459238,0,Time on file (in months) since subject was first reported at the input address
bankruptcystatus__ln,0.2472459459533962,0.2717620776387443,0.2714506010428385,-0.0003114765959058,0,Indicates status of most recent bankruptcy filing on file showing the subject as debtor
linka009__tu,0.2469700971088128,0.2717568548776153,0.2714506010428385,-0.0003062538347767,0,Number of days since most recent check order
sourcecredheadertimenewest__ln,0.2468351044465848,0.2717566261564829,0.2714506010428385,-0.0003060251136443,0,Time (in months) since the subject last reported by a credit header source on file
br20s__tu,0.247190545475673,0.2717562038717644,0.2714506010428385,-0.0003056028289258,0,Months since oldest bank revolving trade opened
rp04s__tu,0.2473961794097201,0.2717528806060746,0.2714506010428385,-0.000302279563236,0,Months since most recent repossession trade reported
linka084__tu,0.2470273936326341,0.2717518907496744,0.2714506010428385,-0.0003012897068358,0,Minimum days taken to pay a non-sufficient funds
linkf155__tu,0.2469353609619463,0.2717515674882579,0.2714506010428385,-0.0003009664454193,0,Number of distinct email addresses within last 12 months
addrinputcountyratio__ln,0.2479022733550756,0.2717512481363824,0.2714506010428385,-0.0003006470935438,0,Ratio comparison of the input address property value to county median property value on file
linka076__tu,0.2462221868560033,0.2717505120569713,0.2714506010428385,-0.0002999110141327,0,Total amount of paid non-sufficient funds in the last 6 months
g041c__tu,0.2462484728108617,0.2717498529672251,0.2714506010428385,-0.0002992519243865,0,Number of real estate trades 30 or more days past due ever
rvlr61__tu,0.2473485364018766,0.271741777675821,0.2714506010428385,-0.0002911766329824,0,Flag indicating that the consumer revolved at least one time on at least one of his top 5 bankcards in the past 6 months
linka047__tu,0.2465906162181058,0.2717394429830803,0.2714506010428385,-0.0002888419402417,0,Number of checking account closures for cause in the last 3 years
g206b__tu,0.2471535690699836,0.2717388064555694,0.2714506010428385,-0.0002882054127308,0,Total monthly obligation for joint account verified in past 12 months and with a current balance > 0  (ATTR14)
addrcurrenttimelastsale__ln,0.2469488343682024,0.2717380214708658,0.2714506010428385,-0.0002874204280272,0,Time (in months) since the last recorded property sale for the current address on the subject's file
addrinputavmvalue12month__ln,0.2464488504285508,0.2717370262529809,0.2714506010428385,-0.0002864252101423,0,Indicates input address AVM value on file 12 months ago
rt01s__tu,0.2469100701971213,0.2717366396925628,0.2714506010428385,-0.0002860386497242,0,Number of retail trades
