feature,mean_shap_1,mean_shap_2,mean_shap_3
ENG-vehicle_age,0.009492994089899651,0.008281762516786065,0.00830089071710571
bankruptcychapter__ln,-0.0038015556823288218,-0.004514062127193864,-0.0020834852591162458
miles_odometer__app,0.003683078611594791,0.003677430741263373,0.002750231749859955
linka006__tu,0.002456106165389848,0.0032595062565591395,0.0039059663514120794
linka021__tu,0.002159109322617771,0.003033941633978576,0.0031321738653447436
linkf185__tu,0.001409043879320313,0.001931989349807378,0.0021659215500022086
fltgrossmonthly__income_sum,-0.0013919004182756708,-0.0013576976218229624,-0.0012282803086735756
aut205__tu,0.0021203640638757393,0.001259881077685024,0.0018180154374192006
addrinputmatchindex__ln,-0.0006736002699054126,-0.0011854114310002016,-0.0012385528573851778
vehiclemake__app,0.0009234181326584356,0.0010508004925558526,0.0004952548783121008
br20s__tu,0.0010764673143092822,0.000941101564292702,0.0008497267624136038
strdealershiptrackertype__app,0.0005113950006999636,0.0008007472945919742,0.0010471044424101947
linka017__tu,-0.0007048688987142386,-0.0006664222431706481,-0.000585859380531556
at57s__tu,-0.000481164819253282,-0.0005795521703992579,-0.0004179023959898698
dealerstate__app,-0.00038965538983466117,0.0005662048117217018,0.004965841457314266
jt20s__tu,0.0004895445422542274,0.0005532587108649445,0.0004189952991720877
linka014__tu,-0.00046953247227560566,-0.0004746538859272048,-0.00041835947104049885
linka047__tu,-0.0004217974911488835,-0.00045580636100722255,-0.00036112949726908373
ret319__tu,0.00021018122973187741,0.0004349069104933133,0.00037156613471367705
au01s__tu,0.0007414794773591466,0.0004228603674800355,0.0003548359199101953
fi20s__tu,0.0005244627230551242,0.0003795340502526337,0.00030544508394806904
of20s__tu,0.0002670336695745218,0.00033937816499008224,7.23747606059947e-05
fltadvance__app,-0.0005742527339304864,-0.0003380013346514444,-0.0007115499004609836
rev225__tu,-0.00044431533384828433,-0.000326390388851055,-0.0005447256322902509
au51a__tu,0.00042583666902516856,-0.00031389305014575537,-0.00018904611763594613
au20s__tu,0.0005656075985409926,0.0002738544109467102,0.00016880129886664129
ret328__tu,0.00011195482183675371,0.0002506197521466585,0.00024027723133851362
addrpreviousdwelltype__ln,0.0009823565443867626,0.0002486599944381338,0.00015798747094944774
g202b__tu,0.00015118005151165185,0.00024441146916848443,0.00024309644068001623
bc97b__tu,0.0002975650512619814,0.00024313627447108426,0.00020371308177966096
fc04s__tu,0.00027634331922538605,0.00024151252434989888,0.0002745963779002373
g051s__tu,7.510680994247638e-05,0.00023944710876425742,-0.00041731163722910365
rev232__tu,-0.00035643648396863623,-0.00023908003061829994,-0.00012817240363010549
bkc321__tu,-0.00034893077885850006,-0.00022447184729985526,-0.0005962231818601396
re20s__tu,0.0004237409186598634,0.00021962475952234226,0.00017697367072125794
linka046__tu,-0.00021011121810356575,-0.00021741870386280182,-0.00016594218316907822
jt51s__tu,0.00035212526491959777,0.00021019233093534304,0.00028811376988037494
jt40s__tu,0.00021821818810178207,0.00020260315644974125,0.0001879763253134323
g105s__tu,0.00029557649380879537,0.00018759663623828758,-0.00011761090460351743
jt02s__tu,0.0002402190930867897,0.0001849753283912246,0.0001871498186757016
ENG-loan_to_value,-0.0003653492379464135,-0.00018094239977179625,-0.0004323549305976793
bkc83__tu,-7.870387406826135e-05,0.00017741389329244004,0.00010117464309978884
addrinputproblems__ln,0.000344822254901862,0.00017096798286686413,-5.7577620583261694e-05
linka004__tu,5.679353769800195e-05,-0.00015261794309478352,-0.00018640019235312914
rev253__tu,0.000536093269955799,0.00014517902247170486,0.0004945743295356251
fr101s__tu,-0.00016131163249751487,-0.00013611103712831817,-0.00018224659744771712
assetpropevercount__ln,0.00014224751200182594,0.00012856073129506062,5.662675959620446e-05
sourcenonderogcount__ln,-3.396433774227047e-05,-0.00012819231221233932,-0.00017311463285388956
addronfilecount__ln,0.0003171070400980169,0.0001203204516842068,0.000206193164921822
linka005__tu,9.725675509046612e-05,0.00011602654056031998,0.00011217567078138033
g216s__tu,0.0001292399175108513,0.0001064611564080421,1.590692326070226e-05
bkc326__tu,-0.00031476350955835766,-9.532724711770178e-05,-0.0004993271717981958
cv05__tu,9.970274155810298e-05,-9.201120537966893e-05,6.760946339739043e-06
us01s__tu,8.564905693346962e-05,8.548898752196696e-05,2.6929979612090003e-05
g020s__tu,0.00016912218629396703,7.932922388536248e-05,-0.00011558106131268287
per222__tu,-7.755502557720238e-06,7.626517709866881e-05,0.00018176177126714638
in09s__tu,4.75165639414436e-05,7.157768795535709e-05,-9.705393510107868e-05
linkf210__tu,-4.3060036758406775e-05,-6.834427699344738e-05,1.1230991473011705e-07
