feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped,description
fltgrossmonthly__income_sum,0.2431019149668645,0.2731422653098637,0.2715812301889679,-0.0015610351208957,0,Total income
strname__app,0.2478338463929578,0.2725917934372851,0.2715812301889679,-0.0010105632483172,0,State
vehiclemake__app,0.243842972145145,0.2725371331522955,0.2715812301889679,-0.0009559029633275,0,Vehicle make
g238s__tu,0.2440556725977644,0.2721627096772228,0.2715812301889679,-0.0005814794882548,0,Number of credit inquiries in past 12 months
criminalnonfelonycount__ln,0.2420679906231641,0.2721123482153703,0.2715812301889679,-0.0005311180264023,0,Total non-felony criminal convictions or sexual offender registry records on subject's file
mt06s__tu,0.2487569273926109,0.2721120136200329,0.2715812301889679,-0.0005307834310649,0,Number of mortgage trades opened in past 6 months
linkt002__tu,0.2449683030656135,0.2721065594407802,0.2715812301889679,-0.0005253292518123,0,Number of months at current address
dealerstate__app,0.2419546561815466,0.2720971108440147,0.2715812301889679,-0.0005158806550468,0,Dealer State
bookvalue__app,0.2455652721016373,0.2720950731359537,0.2715812301889679,-0.0005138429469858,0,Book value
aut201__tu,0.2428090316458312,0.2720916844442313,0.2715812301889679,-0.0005104542552634,0,Total Payment Ratio for Auto accounts over the past 1 month
jt01s__tu,0.2425720035144345,0.2720737855876723,0.2715812301889679,-0.0004925553987044,0,Number of joint trades
g042c__tu,0.2467902299182601,0.2720641768620111,0.2715812301889679,-0.0004829466730432,0,Number of real estate trades 60 or more days past due ever
linka004__tu,0.2417449378911153,0.2720623258171804,0.2715812301889679,-0.0004810956282124,0,Number of bank account closures identified as fraudulent
ENG-dealership_age,0.2461614524366244,0.2720582725633255,0.2715812301889679,-0.0004770423743575,0,Dealership age
cv24__tu,0.2415136799507293,0.2720570260656198,0.2715812301889679,-0.0004757958766519,0,Total payment amount of bankcard trades verified in past 3 months
linkf048__tu,0.2412939139507695,0.2720538779934576,0.2715812301889679,-0.0004726478044896,0,Total balance on open or collection trade segments ONLINE LENDER
g106s__tu,0.2450726951019613,0.2720538048533054,0.2715812301889679,-0.0004725746643374,0,Months on file
jt42s__tu,0.2409524046380717,0.2720432701213177,0.2715812301889679,-0.0004620399323497,0,Ratio of open joint trades to open trades
sourcenonderogcount__ln,0.2462049475598576,0.2720371666641871,0.2715812301889679,-0.0004559364752191,0,Total non-derogatory source types on file for subject
strdealershiptrackertype__app,0.2422399265175674,0.2720182508191515,0.2715812301889679,-0.0004370206301835,0,"Franchise, Independent"
