feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped,description
g051s__tu,0.2400564720555163,0.2715576574651589,0.270076374731796,-0.0014812827333628,0,Percentage of trades ever delinquent
dealerstate__app,0.2311469707750903,0.2715296424983175,0.270076374731796,-0.0014532677665214,0,Dealer State
linka046__tu,0.2366720266771369,0.2714827987977997,0.270076374731796,-0.0014064240660036,0,Number of checking account closures for cause in the last 2 years
criminalnonfelonytimenewest__ln,0.2366234435952869,0.2713336133448677,0.270076374731796,-0.0012572386130716,0,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records"
std235__tu,0.2380753934765728,0.27129030944935,0.270076374731796,-0.0012139347175539,0,Aggregate Excess Payment for Student Loan accounts over the past 24 months
in09s__tu,0.2372918620059887,0.2712767603896314,0.270076374731796,-0.0012003856578353,0,Number of installment trades opened in past 24 months
linkf210__tu,0.2350042848261264,0.2712376179908028,0.270076374731796,-0.0011612432590067,0,Total Bad ACH events
all254__tu,0.2374328026119416,0.271216137431049,0.270076374731796,-0.0011397626992529,0,Average Aggregate Excess Payment for All accounts over the past 12 months
all253__tu,0.2370607815279741,0.2712145349625448,0.270076374731796,-0.0011381602307487,0,Average Aggregate Excess Payment for All accounts over the past 6 months
au01s__tu,0.2327894234180926,0.271210764493504,0.270076374731796,-0.0011343897617079,0,Number of auto trades
linka004__tu,0.2381530937993273,0.2712013104093785,0.270076374731796,-0.0011249356775824,0,Number of bank account closures identified as fraudulent
fi36s__tu,0.2370666320590366,0.2711998454596296,0.270076374731796,-0.0011234707278335,0,Months since most recent finance installment delinquency
g020s__tu,0.2379212779162292,0.2711159908198083,0.270076374731796,-0.0010396160880122,0,Number of trades with maximum delinquency of 30 days past due in past 24 months
fltadvance__app,0.2370060238661348,0.271105209640711,0.270076374731796,-0.0010288349089149,0,Advance
fltgrossmonthly__income_sum,0.2356250809181904,0.2710730070684046,0.270076374731796,-0.0009966323366085,0,Total income
bkc83__tu,0.234947273557894,0.2710689565076606,0.270076374731796,-0.0009925817758645,0,Months since a Bankcard trade last exceeded 75% utilization
us57s__tu,0.234751307639936,0.2710652555528358,0.270076374731796,-0.0009888808210397,0,Total past due amount of open unsecured installment trades verified in past 12 months
g105s__tu,0.2371595524597725,0.271053082923556,0.270076374731796,-0.0009767081917599,0,Months since most recent mortgage inquiry
jt02s__tu,0.2366120332243364,0.2710229050684503,0.270076374731796,-0.0009465303366542,0,Number of open joint trades
vehiclemake__app,0.2314353238032827,0.2710135989182205,0.270076374731796,-0.0009372241864245,0,Vehicle make
ENG-loan_to_value,0.2359964666685467,0.271012249378919,0.270076374731796,-0.0009358746471229,0,Loan to value
addrinputavmvalue12month__ln,0.2363582521926259,0.2709865122438625,0.270076374731796,-0.0009101375120664,0,Indicates input address AVM value on file 12 months ago
paymnt05__tu,0.234194086855207,0.2709727842204815,0.270076374731796,-0.0008964094886854,0,Total amount of prepayments on installment loans last 12 months
linka047__tu,0.2333209401038218,0.2709277492633253,0.270076374731796,-0.0008513745315292,0,Number of checking account closures for cause in the last 3 years
fr21s__tu,0.234996861699954,0.2709127820411324,0.270076374731796,-0.0008364073093363,0,Months since most recent finance revolving trade opened
