feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped
fltgrossmonthly__income_sum,0.2393973876500844,0.2726984539157753,0.2714084392216933,-0.001290014694082,0
assetpropevercount__ln,0.243107474587565,0.2724436298968846,0.2714084392216933,-0.0010351906751913,0
fltdocumentfee__app,0.2417563140726626,0.2723862569336828,0.2714084392216933,-0.0009778177119895,0
vehiclemake__app,0.2386571133611694,0.2723437976258319,0.2714084392216933,-0.0009353584041386,0
all235__tu,0.2398482474303503,0.2723393389504036,0.2714084392216933,-0.0009308997287102,0
g042c__tu,0.238726138145293,0.2723245363714277,0.2714084392216933,-0.0009160971497343,0
inttermbump__app,0.2415687446489622,0.2723036566447602,0.2714084392216933,-0.0008952174230669,0
strname__app,0.2338622362571628,0.272291335407611,0.2714084392216933,-0.0008828961859177,0
evictioncount__ln,0.2399179674577616,0.2722748139700383,0.2714084392216933,-0.000866374748345,0
g106s__tu,0.2354430646025559,0.2722601510838789,0.2714084392216933,-0.0008517118621856,0
ENG-payment_to_income,0.24330228851167,0.272254908076518,0.2714084392216933,-0.0008464688548247,0
miles_odometer__app,0.2354484285126145,0.2722520122503217,0.2714084392216933,-0.0008435730286284,0
index01__tu,0.2357194232996584,0.2722260441528083,0.2714084392216933,-0.000817604931115,0
linkt008__tu,0.2415481015827186,0.2722208057091373,0.2714084392216933,-0.000812366487444,0
addrinputmatchindex__ln,0.2377174103495353,0.2722191725097637,0.2714084392216933,-0.0008107332880704,0
std205__tu,0.2357276660147942,0.272197185628766,0.2714084392216933,-0.0007887464070727,0
addrpreviousdwelltype__ln,0.2400729088938409,0.2721774519934279,0.2714084392216933,-0.0007690127717346,0
st20s__tu,0.2401318202142652,0.2721527607099788,0.2714084392216933,-0.0007443214882855,0
rvlr28__tu,0.2349702108407409,0.2721460005992736,0.2714084392216933,-0.0007375613775802,0
trv10__tu,0.242805903972377,0.2721456621739928,0.2714084392216933,-0.0007372229522994,0
fi20s__tu,0.2360870705937265,0.2721435061118959,0.2714084392216933,-0.0007350668902026,0
criminalnonfelonytimenewest__ln,0.2351434323197217,0.2721303399739627,0.2714084392216933,-0.0007219007522694,0
aut225__tu,0.238153459427845,0.2721293509930401,0.2714084392216933,-0.0007209117713468,0
balmag01__tu,0.2325974630401948,0.2721268359657366,0.2714084392216933,-0.0007183967440433,0
au20s__tu,0.2412761580528813,0.2721211437153199,0.2714084392216933,-0.0007127044936266,0
intservicecontractterm__app,0.2382677911534796,0.2721168505774335,0.2714084392216933,-0.0007084113557402,0
std224__tu,0.2411034400517409,0.2721096658342989,0.2714084392216933,-0.0007012266126056,0
dealerstate__app,0.2371121698555838,0.2721096178066241,0.2714084392216933,-0.0007011785849308,0
paymnt11__tu,0.2396891855558357,0.2721095111692738,0.2714084392216933,-0.0007010719475805,0
g980s__tu,0.2396318789142258,0.272103022306412,0.2714084392216933,-0.0006945830847187,0
jt53s__tu,0.2397297227912795,0.2720990331895221,0.2714084392216933,-0.0006905939678288,0
