feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped,description
fltgrossmonthly__income_sum,0.2405093786623602,0.2727319194426636,0.2712555024112703,-0.0014764170313933,0,Total income
vehiclemake__app,0.2441595025686528,0.2724101563970024,0.2712555024112703,-0.0011546539857321,0,Vehicle make
aut235__tu,0.2465830734814824,0.2720993597581533,0.2712555024112703,-0.000843857346883,0,Aggregate Excess Payment for Auto accounts over the past 24 months
rvlr11__tu,0.2484249683416669,0.2720659404523731,0.2712555024112703,-0.0008104380411028,0,Number of retail revolver trades over last month
balmag01__tu,0.2450695741874763,0.2720496628281263,0.2712555024112703,-0.000794160416856,0,Non-mortgage balance magnitude algorithm over last 24 months
s071b__tu,0.2446370290029693,0.272018629332129,0.2712555024112703,-0.0007631269208587,0,Number of non-medical third party collections opened in past 36 months
bitgap__app,0.2450586964610697,0.2719701968617509,0.2712555024112703,-0.0007146944504806,0,Gap tag
strname__app,0.2421033564140215,0.2719701857078154,0.2712555024112703,-0.0007146832965451,0,State
br01s__tu,0.2445838093668742,0.2719587761872973,0.2712555024112703,-0.000703273776027,0,Number of bank revolving trades
addrinputtractratio__ln,0.245520322225167,0.2719511806350297,0.2712555024112703,-0.0006956782237594,0,Ratio comparison of the input address property value to tract median property value on file
addrinputcountyratio__ln,0.2439651319137856,0.2719283609086312,0.2712555024112703,-0.0006728584973609,0,Ratio comparison of the input address property value to county median property value on file
ret83__tu,0.2463112665120188,0.2719230764383216,0.2712555024112703,-0.0006675740270513,0,Months since a Retail trade last exceeded 75% utilization
fltapproveddowntotal__app,0.2461061376495456,0.2719210618459787,0.2712555024112703,-0.0006655594347084,0,Total down
of06s__tu,0.2460357231359751,0.2719095734378645,0.2712555024112703,-0.0006540710265942,0,Number of credit union trades opened in past 6 months
linka081__tu,0.2433664334885349,0.2718969890315915,0.2712555024112703,-0.0006414866203212,0,Number of days since last (most recent) paid non-sufficient funds
linka013__tu,0.246110425974343,0.2718886770318194,0.2712555024112703,-0.0006331746205491,0,Total dollar amount of unpaid checking account closures for cause in the last 4 years
