step,sec,prop,Type
Get Data,7.599999999996498e-06,5.747146862966405e-06,Single
Parse Data,0.179417800000003,0.1356763745303719,Single
Create X,0.0744422,0.0562934547634888,Single
Preprocessing,0.6272240999999994,0.4743090814070505,Single
Predictions,0.0450185999999988,0.0340432244427962,Single
Adverse Action,0.325000499999998,0.2457665268471529,Single
Counter Offers,0.0688350999999976,0.0520533459246246,Single
Generate Output,0.0024493999999997,0.0018522449376519,Single
Get Data,9.099999999762076e-06,6.288528031640344e-06,Codebtor
Parse Data,0.1704439999999998,0.1177848210827395,Codebtor
Create X,0.0594888000000004,0.0411095589426846,Codebtor
Preprocessing,0.8097610999999993,0.5595830083972586,Codebtor
Predictions,0.0547994000000002,0.0378689629698992,Codebtor
Adverse Action,0.1870964999999991,0.1292924818574234,Codebtor
Counter Offers,0.1609129999999972,0.1111984517782177,Codebtor
Generate Output,0.0045676000000014,0.0031564264437451,Codebtor
