step,sec,prop,Type
Get Data,4.535000016403501e-06,8.658797199977078e-06,Single
Parse Data,0.0230691990000195,0.0440466405699149,Single
Create X,0.0139849880001747,0.0267019127893322,Single
Preprocessing,0.3866674229998352,0.7382744845607586,Single
Predictions,0.0234113490000709,0.0446999167444906,Single
Adverse Action,0.0750557890000891,0.1433060315954402,Single
Generate Output,0.001551518000042,0.0029623549428633,Single
Get Data,4.457000159163727e-06,7.207604273480055e-06,Codebtor
Parse Data,0.1153045089999977,0.1864638191926468,Codebtor
Create X,0.0120466079999914,0.0194810814900148,Codebtor
Preprocessing,0.3899766340000496,0.6306477795377776,Codebtor
Predictions,0.0239015879999442,0.0386522732015521,Codebtor
Adverse Action,0.0756809340000472,0.1223868530042977,Codebtor
Generate Output,0.0014599739999994,0.0023609859694373,Codebtor
