step,sec,prop,Type
Get Data,6.100000000230921e-06,5.213108455414883e-06,Single
Parse Data,0.1501956999999976,0.1283584382962793,Single
Create X,0.0721553000000021,0.0616644925440605,Single
Preprocessing,0.6924669999999971,0.5917877987965747,Single
Predictions,0.039992999999999,0.0341783354835262,Single
Adverse Action,0.1556766999999972,0.1330425444344835,Single
Counter Offers,0.0565245000000018,0.0483062867011398,Single
Generate Output,0.0031089000000008,0.0026568906354803,Single
Get Data,1.4600000000086766e-05,1.1536013022804946e-05,Codebtor
Parse Data,0.1184330000000031,0.0935783993371078,Codebtor
Create X,0.0610307000000034,0.0482226678073121,Codebtor
Preprocessing,0.8031063999999972,0.6345647869207471,Codebtor
Predictions,0.0430416000000022,0.0340087985013312,Codebtor
Adverse Action,0.1140211999999962,0.0900924690457525,Codebtor
Counter Offers,0.1219508000000004,0.0963579463652826,Codebtor
Generate Output,0.0040036000000043,0.0031633960094436,Codebtor
