feature,propna
defaultdate__app,1.0
defaultamount__app,1.0
fltstatesalestax__app,1.0
vehiclepricewholesale__app,1.0
fltpriceselling__app,1.0
vehiclemodel__app,1.0
bittrade__app,1.0
approvaldate__app,1.0
bigmileage_odometer__app,1.0
fundeddate__app,1.0
dtmapproved__app,1.0
dtmdeclined__app,1.0
chargeoffamount__app,1.0
chargeoffdate__app,1.0
inttermbump__app,0.9298627596960205
intservicecontractterm__app,0.8884659146778294
intservicecontractmileage__app,0.8884659146778294
fltallowance__app,0.8486704406579668
fltapprovedloantovalue__app,0.8486002050878647
fltapproveddebttoincome__app,0.8484597339476605
fltapprovedservicecontract__app,0.8484316397196197
fltmaintenanceagreement__app,0.8483614041495174
fltdocumentfee__app,0.8483333099214766
fltapprovedapr_contract__app,0.8483333099214766
fltapprovedpayment__app,0.8483333099214766
fltinsuredlifepremium__app,0.8483333099214766
fltgapinsurance__app,0.8483333099214766
fltinsureddisabilityamount__app,0.8483333099214766
fltinsureddisabilitypremium__app,0.8483333099214766
fltinsuredlifeamount__app,0.8483333099214766
fltinsuredunemploymentamount__app,0.8483333099214766
fltlicensefee__app,0.8483333099214766
fltinsuredunemploymentpremium__app,0.8483333099214766
fltservicecontract__app,0.8483333099214766
fltaddfee__app,0.8483333099214766
bigdealertypeid__app,0.8483333099214766
bigdealerid__app,0.8483333099214766
flttaxgrossreceipts__app,0.8483333099214766
fltacquisitionfee__app,0.8483333099214766
intservicecontractmileageaddon__app,0.8483333099214766
intopenbktype__app,0.7572096812709829
inttype__app,0.7526022278722836
bigstatusid__app,0.18203655059068113
bitsystemdecline__app,0.14070994114259225
miles_odometer__app,0.019904760566941522
bitnew__app,0.00019665959628594306
fltapprovedpricewholesale__app,4.2141342061273514e-05
dti__app,4.2141342061273514e-05
fltapproveddowntotal__app,2.8094228040849007e-05
monthonbooks__app,1.4047114020424503e-05
runningnetloss__app,1.4047114020424503e-05
fltamountfinanced__app,1.4047114020424503e-05
pti__app,1.4047114020424503e-05
bitdebtor__app,0.0
amtfinanced__app,0.0
intterm__app,0.0
vehicleyear__app,0.0
vehiclemake__app,0.0
bookvalue__app,0.0
bitdefault__app,0.0
fltdowncash__app,0.0
payment__app,0.0
bitservicecontract__app,0.0
fltadvance__app,0.0
strvehicletype__app,0.0
bitgap__app,0.0
dtmfunded__app,0.0
applicationdate__app,0.0
uniqueid__app_x,0.0
bigdebtorid__app,0.0
bigaccountid__app,0.0
strcity__app,0.0
strname__app,0.0
strzipcode__app,0.0
bitapproved__app,0.0
bitfunded__app,0.0
applicationmonth__app,0.0
applicationquarter__app,0.0
applicationdayofweek__app,0.0
bitrolled__app,0.0
dealerstate__app,0.0
bitlhmgroup__app,0.0
dealercity__app,0.0
dealerzip__app,0.0
bitdealerapplicantsamestate__app,0.0
bitdealerapplicantsamecity__app,0.0
bitdealerapplicantsamezip__app,0.0
strdealershiptrackertype__app,0.0
bitdealertrack__app,0.0
bitrouteone__app,0.0
bitmaintenanceagreement__app,0.0
uniqueid__app_y,0.0
dealerstampcreation__app,0.0
