feature,propna
ln_was_empty__ln,1.0
bankcard_reason4__ln,1.0
telecommunications_reason1__ln,1.0
telecommunications_score__ln,1.0
short_term_lending_reason5__ln,1.0
short_term_lending_reason4__ln,1.0
short_term_lending_reason3__ln,1.0
short_term_lending_reason2__ln,1.0
short_term_lending_reason1__ln,1.0
short_term_lending_score__ln,1.0
bankcard_reason5__ln,1.0
bankcard_reason3__ln,1.0
telecommunications_reason3__ln,1.0
bankcard_reason2__ln,1.0
bankcard_reason1__ln,1.0
bankcard_score__ln,1.0
auto_reason5__ln,1.0
auto_reason3__ln,1.0
auto_reason2__ln,1.0
auto_reason1__ln,1.0
auto_score__ln,1.0
analyticsmatchkey__ln,1.0
telecommunications_reason2__ln,1.0
auto_reason4__ln,1.0
telecommunications_reason4__ln,1.0
alert3__ln,1.0
telecommunications_reason5__ln,1.0
intscore__ln,1.0
alert10__ln,1.0
alert9__ln,1.0
alert7__ln,1.0
attribute_index__ln,1.0
alert6__ln,1.0
alert5__ln,1.0
alert4__ln,1.0
alert8__ln,1.0
alert2__ln,1.0
crossindustry_reason2__ln,1.0
alert1__ln,1.0
crossindustry_score_name__ln,1.0
crossindustry_reason1__ln,1.0
crossindustry_score__ln,1.0
crossindustry_reason3__ln,1.0
crossindustry_reason4__ln,1.0
crossindustry_reason5__ln,1.0
crossindustry_index__ln,1.0
addrinputtaxmarketvalue__ln,0.010521288401297953
addrinputavmvalue__ln,0.010521288401297953
addrinputtractratio__ln,0.010521288401297953
addrinputavmvalue12month__ln,0.010521288401297953
addrinputavmratio12monthprior__ln,0.010521288401297953
addrinputavmvalue60month__ln,0.010521288401297953
addrinputavmratio60monthprior__ln,0.010521288401297953
addrinputcountyratio__ln,0.010521288401297953
addrcurrenttimenewest__ln,0.010521288401297953
addrinputblockratio__ln,0.010521288401297953
addrinputproblems__ln,0.010521288401297953
addrcurrenttimeoldest__ln,0.010521288401297953
addrcurrentlengthofres__ln,0.010521288401297953
addrcurrentsubjectowned__ln,0.010521288401297953
addrinputtaxvalue__ln,0.010521288401297953
addrcurrentdeedmailing__ln,0.010521288401297953
addrinputtaxyr__ln,0.010521288401297953
addrinputmatchindex__ln,0.010521288401297953
addrinputlastsaleprice__ln,0.010521288401297953
