feature,propna
tu_was_empty__tu,1.0
au921b__tu,1.0
p03h__tu,1.0
linkahit__tu,1.0
linkbhit__tu,1.0
iscrhit__tu,1.0
bctrd__tu,1.0
insttrd__tu,1.0
nomttrd__tu,1.0
revtrd__tu,1.0
rtltrd__tu,1.0
bcpmtstr__tu,1.0
bcpmtnum__tu,1.0
permid__tu,1.0
partyid__tu,1.0
acctid__tu,1.0
tuseqeuncenumber__tu,1.0
scr_linka2__tu,1.0
scr_alta2__tu,1.0
scr_linkb2__tu,1.0
scr_altb2__tu,1.0
cvlst_s1__tu,1.0
cvlst_i1__tu,1.0
eadms1__tu,1.0
DPD60PLUS__tucvlink,1.0
p03g__tu,1.0
p03f__tu,1.0
p03e__tu,1.0
ad14h__tu,1.0
ad13f__tu,1.0
ad13g__tu,1.0
ad13h__tu,1.0
ad14a__tu,1.0
ad14b__tu,1.0
ad14c__tu,1.0
ad14d__tu,1.0
ad14e__tu,1.0
ad14f__tu,1.0
ad14g__tu,1.0
p02a__tu,1.0
p03d__tu,1.0
p02b__tu,1.0
p02c__tu,1.0
p02d__tu,1.0
p02e__tu,1.0
p02f__tu,1.0
p02g__tu,1.0
p02h__tu,1.0
p03a__tu,1.0
p03b__tu,1.0
p03c__tu,1.0
zip_code__tu,1.0
cvau__tu,1.0
cvam__tu,1.0
bc999s__tu,1.0
at921c__tu,1.0
at933s__tu,1.0
at933b__tu,1.0
at933c__tu,1.0
au900s__tu,1.0
au900b__tu,1.0
au900c__tu,1.0
bc900s__tu,1.0
bc900b__tu,1.0
bc900c__tu,1.0
rl900s__tu,1.0
at921s__tu,1.0
rl900b__tu,1.0
rl900c__tu,1.0
rl933s__tu,1.0
rl933b__tu,1.0
rl933c__tu,1.0
us900s__tu,1.0
us900b__tu,1.0
us900c__tu,1.0
at999s__tu,1.0
at999b__tu,1.0
at921b__tu,1.0
at900c__tu,1.0
cvbk__tu,1.0
archive__tu,1.0
cvna__tu,1.0
cvpl__tu,1.0
cv_bc_prop__tu,1.0
cv_cons_prop__tu,1.0
cv_persloan_prop__tu,1.0
syntheticfraud_score__tu,1.0
vantagescore3__tu,1.0
vantagescore4__tu,1.0
credit_as_of_date__tu,1.0
cv_bc_behav_seg__tu,1.0
tu_creditbureaudate__tu,1.0
at900b__tu,1.0
linkchit__tu,1.0
scr_alt_a_2__tu,1.0
scr_link_a_2__tu,1.0
scr_alt_b_2__tu,1.0
scr_link_b_2__tu,1.0
zipcodefiller__tu,1.0
score_cvauto__tu,1.0
score_newaccount__tu,1.0
score_epd__tu,1.0
at900s__tu,1.0
ad13e__tu,1.0
ad13d__tu,1.0
ad13c__tu,1.0
dateofbirth__tu,1.0
firstname__tu,1.0
middlename__tu,1.0
lastname__tu,1.0
address1__tu,1.0
city__tu,1.0
strname__tu,1.0
state__tu,1.0
zip5__tu,1.0
zip4__tu,1.0
ssn__tu,1.0
dtmstampcreation__tu,1.0
linkc023__tu,1.0
dtmapproved__tu,1.0
dtmdeclined__tu,1.0
observationdate__tu,1.0
tusequencenumber__tu,1.0
analyticsmatchkey__tu,1.0
segment__tu,1.0
indflag__tu,1.0
ad01a__tu,1.0
ad01b__tu,1.0
ad01c__tu,1.0
creditasofdate__tu,1.0
linkc022__tu,1.0
ad01e__tu,1.0
bkc254__tu,1.0
bkc225__tu,1.0
bkc224__tu,1.0
bkc223__tu,1.0
bkc222__tu,1.0
bkc205__tu,1.0
bkc204__tu,1.0
bkc203__tu,1.0
bkc202__tu,1.0
bkc201__tu,1.0
bkc255__tu,1.0
bkc253__tu,1.0
linkc016__tu,1.0
bkc252__tu,1.0
bkc235__tu,1.0
bkc234__tu,1.0
bkc233__tu,1.0
bkc232__tu,1.0
bkc231__tu,1.0
linkb006__tu,1.0
linkb007__tu,1.0
linkc014__tu,1.0
linkc015__tu,1.0
ad01d__tu,1.0
ad01f__tu,1.0
ad13b__tu,1.0
ad07a__tu,1.0
ad05b__tu,1.0
ad05c__tu,1.0
ad05d__tu,1.0
ad05e__tu,1.0
ad05f__tu,1.0
ad05g__tu,1.0
ad05h__tu,1.0
ad06a__tu,1.0
ad06c__tu,1.0
ad06d__tu,1.0
ad08a__tu,1.0
ad04h__tu,1.0
ad09a__tu,1.0
ad12a__tu,1.0
ad12b__tu,1.0
ad12c__tu,1.0
ad12d__tu,1.0
ad12e__tu,1.0
ad12f__tu,1.0
ad12g__tu,1.0
ad12h__tu,1.0
ad13a__tu,1.0
ad05a__tu,1.0
ad04g__tu,1.0
ad01g__tu,1.0
ad03b__tu,1.0
ad01h__tu,1.0
ad02a__tu,1.0
ad02b__tu,1.0
ad02c__tu,1.0
ad02d__tu,1.0
ad02e__tu,1.0
ad02f__tu,1.0
ad02g__tu,1.0
ad02h__tu,1.0
ad03a__tu,1.0
ad03c__tu,1.0
ad04f__tu,1.0
ad03d__tu,1.0
ad03e__tu,1.0
ad03f__tu,1.0
ad03g__tu,1.0
ad03h__tu,1.0
ad04a__tu,1.0
ad04b__tu,1.0
ad04c__tu,1.0
ad04d__tu,1.0
ad04e__tu,1.0
au921s__tu,1.0
ad06b__tu,1.0
au921c__tu,1.0
rl920s__tu,1.0
rl920c__tu,1.0
rl920b__tu,1.0
mt935s__tu,1.0
mt935d__tu,1.0
mt935c__tu,1.0
mt935b__tu,1.0
mt934s__tu,1.0
mt934d__tu,1.0
mt934c__tu,1.0
mt934b__tu,1.0
mt922s__tu,1.0
mt922d__tu,1.0
mt922c__tu,1.0
mt922b__tu,1.0
mt920s__tu,1.0
mt920d__tu,1.0
mt920c__tu,1.0
mt920b__tu,1.0
he935s__tu,1.0
he935d__tu,1.0
he935c__tu,1.0
he935b__tu,1.0
he934s__tu,1.0
he934d__tu,1.0
he934c__tu,1.0
rl920d__tu,1.0
rl922b__tu,1.0
au933s__tu,1.0
rl922c__tu,1.0
rt935d__tu,1.0
rt935c__tu,1.0
rt935b__tu,1.0
rt934s__tu,1.0
rt934d__tu,1.0
rt934c__tu,1.0
rt934b__tu,1.0
rt922s__tu,1.0
rt922d__tu,1.0
rt922c__tu,1.0
rt922b__tu,1.0
rt920s__tu,1.0
rt920d__tu,1.0
rt920c__tu,1.0
rt920b__tu,1.0
rl935s__tu,1.0
rl935d__tu,1.0
rl935c__tu,1.0
rl935b__tu,1.0
rl934s__tu,1.0
rl934d__tu,1.0
rl934c__tu,1.0
rl934b__tu,1.0
rl922s__tu,1.0
rl922d__tu,1.0
he934b__tu,1.0
he922s__tu,1.0
he922d__tu,1.0
he922c__tu,1.0
au935s__tu,1.0
au935d__tu,1.0
au935c__tu,1.0
au935b__tu,1.0
au934s__tu,1.0
au934d__tu,1.0
au934c__tu,1.0
au934b__tu,1.0
au922s__tu,1.0
au922d__tu,1.0
au922c__tu,1.0
au922b__tu,1.0
au920s__tu,1.0
au920d__tu,1.0
au920c__tu,1.0
au920b__tu,1.0
at999c__tu,1.0
at935s__tu,1.0
at934d__tu,1.0
at934e__tu,1.0
at934f__tu,1.0
at934s__tu,1.0
at935b__tu,1.0
at935c__tu,1.0
at935d__tu,1.0
bc920b__tu,1.0
bc920c__tu,1.0
bc920d__tu,1.0
cc100s__tu,1.0
he922b__tu,1.0
he920s__tu,1.0
he920d__tu,1.0
he920c__tu,1.0
he920b__tu,1.0
cc105s__tu,1.0
cc104s__tu,1.0
cc103s__tu,1.0
cc102s__tu,1.0
cc101s__tu,1.0
cc101b__tu,1.0
bc935s__tu,1.0
bc920s__tu,1.0
bc935d__tu,1.0
bc935c__tu,1.0
bc935b__tu,1.0
bc934s__tu,1.0
bc934d__tu,1.0
bc934c__tu,1.0
bc934b__tu,1.0
bc922s__tu,1.0
bc922d__tu,1.0
bc922c__tu,1.0
bc922b__tu,1.0
at935f__tu,1.0
at935e__tu,1.0
at922s__tu,1.0
finscore__tu,1.0
us999b__tu,1.0
