feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
uniqueid__app_x,object,0.0,,,,,,,0__0__20221001,12370,0.1737628004326511,,,,
agg122__tu,float64,0.0,-6.0,936401.0,936407.0,30060.472361191125,14794.886555507172,2748.0,-2.0,27858,0.3913245023809858,0.3050752222955794,0.005815505204455744,1.4047114020424503e-05,0.02673165798086783
agg211__tu,float64,0.0,-6.0,698211.0,698217.0,26561.148158728036,14581.42527637697,2200.0,-2.0,25052,0.3519083004396747,0.3720518619449634,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
agg210__tu,float64,0.0,-6.0,698211.0,698217.0,26811.766695996597,14677.639902232086,2300.0,-2.0,25138,0.3531163522454312,0.36783772773883605,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
agg209__tu,float64,0.0,-6.0,698211.0,698217.0,26907.965619814055,14735.986346205173,2400.0,-2.0,25198,0.35395917908665664,0.3647895039964039,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
agg208__tu,float64,0.0,-6.0,698211.0,698217.0,26903.878248503202,14748.005099102389,2400.0,-2.0,25192,0.3538748964025341,0.3635112166205453,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
agg207__tu,float64,0.0,-6.0,698211.0,698217.0,26942.29152222659,14814.807048841816,2500.0,-2.0,25158,0.3533972945258397,0.36021014482574554,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
agg206__tu,float64,0.0,-6.0,698211.0,698217.0,27073.7163616395,14915.676930424645,2580.0,-2.0,25386,0.35660003652249644,0.3561786231018837,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
agg205__tu,float64,0.0,-6.0,698211.0,698217.0,27118.523400508442,14976.970107741365,2651.0,-2.0,25414,0.35699335571506835,0.35103737937040835,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
agg204__tu,float64,0.0,-6.0,698211.0,698217.0,27266.13595545237,15084.663627807668,2706.0,-2.0,25464,0.3576957114160896,0.34689348073438314,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
agg203__tu,float64,0.0,-6.0,698211.0,698217.0,27123.520396799424,15088.526120608522,2750.0,-2.0,25396,0.3567405076627007,0.3426512523002149,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
agg202__tu,float64,0.0,-6.0,626806.0,626812.0,27517.86517242806,15676.188161092303,3550.0,-2.0,26224,0.36837151807161217,0.3232662349520291,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
agg201__tu,float64,0.0,-6.0,643157.0,643163.0,26183.883582165152,14511.951284608576,2442.0,-2.0,24784,0.3481436738822009,0.3236455070305806,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
agg124__tu,float64,0.0,-6.0,936785.0,936791.0,29724.352065399038,14521.396030285578,2458.0,-2.0,27421,0.38518591355406034,0.31732430572138953,0.005815505204455744,1.4047114020424503e-05,0.026366433016336795
agg123__tu,float64,0.0,-6.0,937656.0,937662.0,30042.210045934415,14703.153464720674,2600.0,-2.0,27832,0.3909592774164548,0.31093286884209637,0.005815505204455744,1.4047114020424503e-05,0.026225961876132547
agg121__tu,float64,0.0,-6.0,936582.0,936588.0,30069.094987104523,14915.283049347512,2895.0,-2.0,27977,0.39299610894941633,0.29979350742389976,0.005815505204455744,1.4047114020424503e-05,0.026942364691174198
agg213__tu,float64,0.0,-6.0,698211.0,698217.0,26429.37601561991,14394.109778196069,2000.0,-2.0,24934,0.3502507409852646,0.3795670679458905,0.005815505204455744,1.4047114020424503e-05,0.0003792720785514616
agg120__tu,float64,0.0,-6.0,936717.0,936723.0,30318.077733511825,15075.0272514012,2974.0,-2.0,28095,0.39465366840382643,0.295663655901895,0.005815505204455744,1.4047114020424503e-05,0.02760257905013415
