Group,Count Gen XI,< 0,0 - 0.01,0.01 - 0.02,0.02 - 0.03,0.03 - 0.04,0.04 - 0.05,0.05 - 0.06,0.06 - 0.07,0.07 - 0.08,0.08 - 0.09,0.09 - 0.10,0.10 - 0.11,0.11 - 0.12,0.12 - 0.13,0.13 - 0.14,0.14 - 0.15,0.15 - 0.16,0.16 - 0.17,0.17 - 0.18,0.18 - 0.19,0.19 - 0.20,0.20 - 0.21,0.21 - 0.22,0.22 - 0.23,0.23 - 0.24,0.24 - 0.25,0.25 - 0.26,0.26 - 0.27,0.27 - 0.28,0.28 - 0.29,0.29 - 0.30,>= 0.31
< 0,980,0,2.0,13.0,24.0,35.0,55.0,54.0,70.0,74.0,71.0,60.0,65.0,58.0,60.0,42.0,43.0,37.0,21.0,25.0,23.0,20,12.0,16,11.0,10,17,6.0,10.0,8,2,7,29
0 - 0.01,960,0,0.0,1.0,4.0,6.0,20.0,34.0,32.0,38.0,37.0,40.0,46.0,61.0,45.0,54.0,50.0,53.0,51.0,42.0,40.0,29,22.0,29,31.0,18,23,19.0,19.0,18,10,13,75
0.01 - 0.02,1147,0,0.0,2.0,4.0,5.0,12.0,13.0,22.0,23.0,24.0,35.0,58.0,52.0,45.0,57.0,65.0,51.0,61.0,46.0,53.0,36,37.0,35,43.0,29,36,24.0,28.0,26,19,19,187
0.02 - 0.03,1421,0,0.0,0.0,3.0,4.0,7.0,11.0,15.0,22.0,30.0,29.0,39.0,37.0,56.0,49.0,59.0,58.0,52.0,69.0,62.0,65,52.0,47,52.0,40,46,58.0,52.0,31,29,31,316
0.03 - 0.04,1810,0,0.0,0.0,1.0,3.0,7.0,8.0,8.0,17.0,20.0,30.0,52.0,48.0,53.0,55.0,44.0,64.0,61.0,64.0,57.0,73,62.0,64,74.0,63,58,67.0,53.0,47,40,49,568
0.04 - 0.05,1263,0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,7.0,9.0,19.0,16.0,29.0,22.0,22.0,25.0,44.0,43.0,43.0,51.0,49,38.0,52,32.0,55,48,42.0,41.0,31,38,46,450
0.05 - 0.06,1759,0,0.0,1.0,3.0,1.0,4.0,3.0,11.0,13.0,14.0,20.0,25.0,29.0,29.0,44.0,38.0,43.0,45.0,44.0,37.0,59,47.0,57,58.0,45,43,54.0,73.0,40,63,54,762
0.06 - 0.07,2183,0,0.0,0.0,2.0,0.0,3.0,1.0,5.0,7.0,7.0,18.0,21.0,20.0,28.0,29.0,34.0,43.0,52.0,36.0,62.0,55,67.0,64,51.0,74,81,67.0,67.0,55,66,54,1114
0.07 - 0.08,1358,0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,4.0,5.0,5.0,6.0,16.0,17.0,17.0,12.0,19.0,18.0,23.0,25.0,28,28.0,38,30.0,44,43,40.0,47.0,40,51,41,752
0.08 - 0.09,1797,0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,4.0,8.0,10.0,11.0,10.0,9.0,10.0,10.0,17.0,28.0,30.0,39.0,44,37.0,42,45.0,48,43,56.0,51.0,52,56,51,1075
0.09 - 0.10,2004,0,0.0,0.0,3.0,0.0,1.0,5.0,3.0,5.0,9.0,4.0,13.0,13.0,13.0,19.0,14.0,26.0,22.0,28.0,23.0,33,32.0,52,43.0,50,42,49.0,49.0,57,54,69,1273
0.10 - 0.11,2396,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,5.0,7.0,7.0,10.0,20.0,27.0,17.0,33.0,28.0,25.0,36,33.0,42,51.0,53,56,56.0,53.0,77,69,69,1612
0.11 - 0.12,2536,0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,6.0,4.0,9.0,21.0,12.0,19.0,24.0,17.0,21.0,32.0,36.0,28,34.0,37,34.0,51,53,54.0,45.0,85,68,73,1762
0.12 - 0.13,2768,0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,8.0,5.0,4.0,8.0,4.0,15.0,21.0,15.0,17.0,32.0,39.0,29,28.0,39,53.0,67,59,58.0,49.0,72,59,65,2014
0.13 - 0.14,4117,0,0.0,0.0,0.0,1.0,3.0,5.0,3.0,10.0,10.0,9.0,18.0,14.0,18.0,23.0,19.0,28.0,34.0,45.0,37.0,34,54.0,53,74.0,65,64,71.0,84.0,80,105,105,3051
0.14 - 0.15,1552,0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,6.0,4.0,4.0,12.0,15.0,12.0,16.0,14,17.0,17,20.0,18,33,30.0,24.0,44,30,29,1191
0.15 - 0.16,1851,0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,6.0,1.0,3.0,6.0,6.0,8.0,11.0,18.0,9.0,19,13.0,20,24.0,22,31,24.0,33.0,27,41,45,1475
0.16 - 0.17,2810,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,5.0,3.0,3.0,4.0,7.0,8.0,13.0,19.0,16.0,20,29.0,29,27.0,35,41,36.0,41.0,48,55,47,2309
0.17 - 0.18,1629,0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,4.0,0.0,0.0,3.0,3.0,2.0,7.0,7.0,6.0,9.0,11.0,16,15.0,13,21.0,18,23,17.0,30.0,31,25,38,1320
0.18 - 0.19,1841,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,6.0,1.0,1.0,7.0,7.0,8.0,2.0,11.0,16.0,10,13.0,18,9.0,15,16,25.0,20.0,31,24,35,1557
0.19 - 0.20,1820,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0,8.0,13.0,3.0,5.0,15,13.0,17,18.0,12,23,13.0,16.0,24,28,26,1563
0.20 - 0.21,1197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,6.0,4.0,7.0,3.0,8.0,4.0,6,7.0,5,11.0,14,11,17.0,18.0,14,14,23,1018
0.21 - 0.22,899,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,1.0,1.0,4.0,3.0,6.0,10,5.0,4,6.0,4,8,12.0,9.0,7,14,16,777
0.22 - 0.23,982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,6.0,1.0,10.0,6,3.0,6,7.0,6,9,4.0,19.0,15,10,7,866
0.23 - 0.24,918,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,2,9.0,2,3.0,2,6,5.0,9.0,6,16,10,832
0.24 - 0.25,670,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,2,4.0,4,3.0,5,5,4.0,4.0,12,5,2,605
0.25 - 0.26,599,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3,1.0,2,3.0,3,3,5.0,5.0,3,6,12,545
0.26 - 0.27,607,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,2.0,3,4.0,4,1,7.0,5.0,6,3,6,559
0.27 - 0.28,630,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1,1.0,2,3.0,1,3,5.0,0.0,3,6,3,591
0.28 - 0.29,446,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1,2.0,2,0.0,2,3,4.0,0.0,2,4,3,415
0.29 - 0.30,306,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2.0,2,1.0,4,3,0.0,1.0,1,5,2,280
>= 0.31,1979,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1,0.0,4,7.0,4,8,8.0,11.0,15,10,8,1890
