Group,Count Gen XI,< 0,0 - 0.01,0.01 - 0.02,0.02 - 0.03,0.03 - 0.04,0.04 - 0.05,0.05 - 0.06,0.06 - 0.07,0.07 - 0.08,0.08 - 0.09,0.09 - 0.10,0.10 - 0.11,0.11 - 0.12,0.12 - 0.13,0.13 - 0.14,0.14 - 0.15,0.15 - 0.16,0.16 - 0.17,0.17 - 0.18,0.18 - 0.19,0.19 - 0.20,>= 0.20
< 0,980,0,114.0,178.0,160.0,119,100,91,64,47,32,31,13,10,10,4,1,2,3,0.0,0.0,1,0.0
0 - 0.01,960,0,15.0,78.0,119.0,116,107,113,95,64,66,41,46,23,25,19,10,7,3,5.0,3.0,2,3.0
0.01 - 0.02,1147,0,10.0,46.0,75.0,112,127,101,110,91,96,71,65,65,38,32,34,20,17,12.0,9.0,4,12.0
0.02 - 0.03,1421,0,2.0,29.0,87.0,82,114,124,139,101,105,93,97,85,83,71,53,46,27,21.0,17.0,18,27.0
0.03 - 0.04,1810,0,3.0,20.0,54.0,98,123,168,147,147,159,140,125,117,85,73,72,76,41,42.0,28.0,20,72.0
0.04 - 0.05,1263,0,0.0,7.0,35.0,53,95,109,100,96,99,104,82,74,67,66,62,35,46,22.0,23.0,17,71.0
0.05 - 0.06,1759,0,0.0,8.0,32.0,73,95,135,149,146,142,150,114,110,80,88,72,56,71,36.0,55.0,31,116.0
0.06 - 0.07,2183,0,0.0,5.0,15.0,53,104,139,138,191,194,175,167,144,133,89,90,94,89,67.0,42.0,45,209.0
0.07 - 0.08,1358,0,1.0,3.0,10.0,23,49,76,81,119,113,102,112,88,93,79,71,52,51,33.0,38.0,31,133.0
0.08 - 0.09,1797,0,0.0,4.0,11.0,11,44,87,118,134,128,169,155,130,113,112,108,76,72,58.0,47.0,42,178.0
0.09 - 0.10,2004,0,0.0,2.0,5.0,26,46,79,99,123,160,166,154,185,143,130,104,105,78,72.0,54.0,48,225.0
0.10 - 0.11,2396,0,0.0,1.0,9.0,19,35,84,121,135,176,177,202,186,214,169,146,133,100,80.0,73.0,59,277.0
0.11 - 0.12,2536,0,0.0,2.0,7.0,21,40,73,90,134,182,213,183,198,193,185,188,157,115,109.0,90.0,79,277.0
0.12 - 0.13,2768,0,0.0,1.0,7.0,13,25,54,89,126,157,178,200,227,207,210,228,197,164,130.0,95.0,96,364.0
0.13 - 0.14,4117,0,0.0,0.0,10.0,12,24,49,108,143,186,224,284,284,357,303,328,290,271,238.0,204.0,168,634.0
0.14 - 0.15,1552,0,0.0,0.0,1.0,4,12,16,33,63,75,89,95,117,114,132,133,117,95,90.0,61.0,69,236.0
0.15 - 0.16,1851,0,0.0,0.0,1.0,2,11,20,34,41,65,91,119,126,153,124,148,150,123,134.0,100.0,83,326.0
0.16 - 0.17,2810,0,0.0,0.0,0.0,3,16,19,32,40,89,90,124,178,175,197,215,197,218,235.0,181.0,145,656.0
0.17 - 0.18,1629,0,0.0,0.0,2.0,2,10,17,34,36,43,60,77,98,94,136,106,111,115,128.0,100.0,84,376.0
0.18 - 0.19,1841,0,0.0,0.0,0.0,2,7,12,18,21,40,60,82,92,97,117,144,150,109,146.0,123.0,129,492.0
0.19 - 0.20,1820,0,0.0,0.0,0.0,2,7,8,15,27,43,53,56,60,79,100,115,120,152,139.0,112.0,115,617.0
>= 0.20,9233,0,0.0,0.0,2.0,3,9,22,39,52,104,135,182,264,323,396,414,455,546,569.0,589.0,569,4560.0
