Feature Name,Description,Table
re20s__tu,Months since oldest revolving trade opened,TransUnion
strdealershiptrackertype__app,"Franchise, Independent",Application
bc97b__tu,Total open to buy of closed credit cards verified in past 3 months,TransUnion
fltgrossmonthly__income_sum,Total income,Income
linka017__tu,Number of checking account closures for cause in the last 5 years,TransUnion
bkc321__tu,Min Total Open-to-Buy for Bankcard accounts over the past 3 months,TransUnion
rev205__tu,Total Payment Ratio for Revolving accounts over the past 24 months,TransUnion
dealerstate__app,Dealer State,Application
at57s__tu,Total past due amount of open trades verified in past 12 months,TransUnion
linka014__tu,Number of unpaid checking account closures for cause in the last 5 years,TransUnion
vehiclemake__app,Vehicle make,Application
evictioncount__ln,Total eviction records on subject's file indicating the plaintiff has sought an eviction and does not necessarily mean the defendant has vacated the premises,LexisNexis
linka004__tu,Number of bank account closures identified as fraudulent,TransUnion
bankruptcycount24month__ln,Total unique bankruptcy case filings on file showing the subject as debtor in the last 24 months,LexisNexis
g980s__tu,Number of deduped inquiries in past 6 months,TransUnion
sourcenonderogcount__ln,Total non-derogatory source types on file for subject,LexisNexis
g020s__tu,Number of trades with maximum delinquency of 30 days past due in past 24 months,TransUnion
linkt008__tu,Number of public record bankruptcies in the last 24 months,TransUnion
linka012__tu,Number of unpaid checking account closures for cause in the last 2 years,TransUnion
fc04s__tu,Months since most recent foreclosure trade reported,TransUnion
g302s__tu,Worst rating on revolving trades in past 12 months,TransUnion
addrinputavmvalue12month__ln,Indicates input address AVM value on file 12 months ago,LexisNexis
ENG-loan_to_value,Loan to value,Multiple
strname__app,State,Application
cv26__tu,Percent of trades from active to inactive status in the past 12 months,TransUnion
g241s__tu,Number of mortgage inquiries in past 6 months,TransUnion
fltapproveddowntotal__app,Total down,Application
jt20s__tu,Months since oldest joint trade opened,TransUnion
ret225__tu,Average total Payment Ratio for Retail accounts over the past 24 months,TransUnion
linka015__tu,Number of checking account closures for cause in the last 6 months,TransUnion
rev224__tu,Average total Payment Ratio for Revolving accounts over the past 12 months,TransUnion
evictioncount12month__ln,Total eviction records on subject's file in the last 12 months,LexisNexis
fltdowncash__app,Cash Down,Application
s208s__tu,Number of tax liens,TransUnion
au51a__tu,Terms in months of most recent auto trade,TransUnion
criminalnonfelonycount__ln,Total non-felony criminal convictions or sexual offender registry records on subject's file,LexisNexis
ENG-vehicle_age,Age of vehicle (years),Multiple
us57s__tu,Total past due amount of open unsecured installment trades verified in past 12 months,TransUnion
rt20s__tu,Months since oldest retail trade opened,TransUnion
g206s__tu,Total monthly obligation for joint account verified in past 12 months,TransUnion
ret255__tu,Average Aggregate Excess Payment for Retail accounts over the past 24 months,TransUnion
fltadvance__app,Advance,Application
g051s__tu,Percentage of trades ever delinquent,TransUnion
g990s__tu,Number of deduped inquiries in past 12 months,TransUnion
criminalnonfelonytimenewest__ln,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records",LexisNexis
fi20s__tu,Months since oldest finance installment trade opened,TransUnion
bkc84__tu,Months since a Bankcard trade last exceeded 90% utilization,TransUnion
g303s__tu,Worst rating on revolving trades,TransUnion
