Group,Count Gen XI,< 0,0 - 0.01,0.01 - 0.02,0.02 - 0.03,0.03 - 0.04,0.04 - 0.05,0.05 - 0.06,0.06 - 0.07,0.07 - 0.08,0.08 - 0.09,0.09 - 0.10,0.10 - 0.11,0.11 - 0.12,0.12 - 0.13,0.13 - 0.14,0.14 - 0.15,0.15 - 0.16,0.16 - 0.17,0.17 - 0.18,0.18 - 0.19,0.19 - 0.20,0.20 - 0.21,0.21 - 0.22,0.22 - 0.23,0.23 - 0.24,0.24 - 0.25,0.25 - 0.26,0.26 - 0.27,0.27 - 0.28,0.28 - 0.29,0.29 - 0.30,>= 0.31
0 - 0.01,320,0,14.0,57.0,48.0,47.0,32.0,29.0,25.0,17,9.0,12,10,3,4,5,2.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01 - 0.02,183,0,2.0,15.0,19.0,23.0,27.0,21.0,19.0,12,7.0,7,2,3,5,6,0.0,6,3.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02 - 0.03,205,0,1.0,14.0,17.0,26.0,21.0,16.0,23.0,24,12.0,12,11,6,1,6,1.0,5,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03 - 0.04,260,0,0.0,11.0,24.0,24.0,18.0,30.0,27.0,25,20.0,18,16,7,6,3,10.0,4,10.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04 - 0.05,279,0,1.0,5.0,13.0,25.0,25.0,34.0,24.0,28,24.0,15,7,17,20,13,2.0,3,5.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
0.05 - 0.06,332,0,1.0,13.0,13.0,17.0,23.0,45.0,37.0,25,31.0,23,28,12,10,11,10.0,5,10.0,5.0,4.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
0.06 - 0.07,377,0,2.0,4.0,16.0,16.0,25.0,41.0,32.0,26,30.0,32,33,15,17,23,12.0,9,8.0,4.0,6.0,10.0,5.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0
0.07 - 0.08,444,0,0.0,4.0,14.0,15.0,20.0,38.0,51.0,39,46.0,48,40,27,20,21,11.0,17,9.0,7.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0
0.08 - 0.09,524,0,0.0,2.0,10.0,20.0,23.0,34.0,45.0,48,40.0,41,47,52,34,27,29.0,11,19.0,7.0,5.0,5.0,8.0,3.0,2.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0
0.09 - 0.10,545,0,0.0,2.0,3.0,17.0,21.0,34.0,43.0,49,42.0,38,38,41,38,32,35.0,20,20.0,27.0,8.0,12.0,8.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
0.10 - 0.11,582,0,1.0,5.0,8.0,10.0,22.0,27.0,39.0,38,42.0,46,52,39,46,38,45.0,25,28.0,15.0,9.0,9.0,13.0,7.0,3.0,1.0,4.0,2.0,0.0,3.0,3.0,0.0,2.0
0.11 - 0.12,656,0,1.0,0.0,4.0,6.0,19.0,27.0,36.0,37,47.0,72,53,53,39,47,50.0,31,30.0,26.0,16.0,17.0,12.0,9.0,8.0,5.0,4.0,2.0,0.0,1.0,2.0,0.0,2.0
