iter	Logloss
0	0.6847874931
1	0.6764488464
2	0.6683566258
3	0.660527092
4	0.6534039051
5	0.6462990545
6	0.6394564775
7	0.6323996437
8	0.6258287651
9	0.6194097249
10	0.6129713079
11	0.6064876732
12	0.6005181427
13	0.5945491226
14	0.5888661754
15	0.5831487827
16	0.5777782908
17	0.5722619368
18	0.5670182702
19	0.5620989767
20	0.5571097013
21	0.5523920995
22	0.5478647305
23	0.5433926213
24	0.5389441495
25	0.534637714
26	0.530373012
27	0.5262082868
28	0.522231802
29	0.518362988
30	0.5145883978
31	0.5107534849
32	0.5073095907
33	0.5036891718
34	0.5003001117
35	0.4968925467
36	0.4937112729
37	0.4902876784
38	0.4870107597
39	0.4841091907
40	0.4812390711
41	0.4785235058
42	0.475674152
43	0.4729900432
44	0.4704533629
45	0.4677154872
46	0.4651172099
47	0.4626519297
48	0.4603880919
49	0.4581278321
50	0.4559267955
51	0.4537040527
52	0.4515013623
53	0.4494499454
54	0.4473052584
55	0.4453254297
56	0.4433405038
57	0.4413815091
58	0.4393270873
59	0.4375046048
60	0.4355990326
61	0.4339180017
62	0.4321656342
63	0.4305511712
64	0.4288806215
65	0.4272430607
66	0.4256233997
67	0.4240585059
68	0.4226256841
69	0.4212505995
70	0.4198540415
71	0.4185399671
72	0.4172159054
73	0.4159442764
74	0.4146437963
75	0.413324144
76	0.4121791806
77	0.4109919008
78	0.4098438032
79	0.4086642025
80	0.4075173048
81	0.4064907847
82	0.4053462503
83	0.4043316499
84	0.4033123434
85	0.4022825733
86	0.4014269246
87	0.4004978071
88	0.3995757536
89	0.398678709
90	0.3978400458
91	0.3968850792
92	0.3960275113
93	0.3951348369
94	0.3943365168
95	0.393560864
96	0.3927541821
97	0.3921611603
98	0.3914821877
99	0.3907950596
100	0.3900143862
101	0.3893408543
102	0.388670861
103	0.3880324827
104	0.3873195687
105	0.3866739136
106	0.3860625955
107	0.3853755355
108	0.3847984482
109	0.3842269476
110	0.3835904579
111	0.3829567524
112	0.3823778461
113	0.3818244553
114	0.3813013841
