iter	Passed	Remaining
0	56	56073
1	108	54282
2	158	52675
3	210	52456
4	261	52092
5	311	51653
6	361	51311
7	413	51282
8	469	51650
9	520	51508
10	573	51537
11	621	51203
12	674	51187
13	725	51070
14	775	50917
15	828	50948
16	881	50949
17	933	50939
18	986	50930
19	1037	50860
20	1091	50904
21	1142	50798
22	1195	50775
23	1248	50774
24	1297	50589
25	1347	50481
26	1397	50374
27	1449	50316
28	1502	50295
29	1554	50248
30	1606	50214
31	1660	50229
32	1712	50187
33	1767	50224
34	1820	50187
35	1875	50219
36	1928	50184
37	1984	50250
38	2038	50237
39	2090	50174
40	2139	50035
41	2190	49962
42	2241	49888
43	2292	49808
44	2342	49707
45	2398	49732
46	2447	49634
47	2493	49462
48	2546	49426
49	2597	49361
50	2645	49219
51	2693	49112
52	2741	48990
53	2795	48965
54	2848	48939
55	2902	48928
56	2951	48830
57	3003	48778
58	3055	48736
59	3110	48723
60	3159	48635
61	3212	48604
62	3262	48516
63	3309	48404
64	3359	48319
65	3407	48217
66	3459	48180
67	3508	48093
68	3562	48070
69	3616	48043
70	3669	48016
71	3724	47998
72	3778	47984
73	3824	47856
74	3877	47819
75	3929	47777
76	3977	47679
77	4030	47646
78	4071	47467
79	4124	47428
80	4176	47385
81	4226	47320
82	4279	47280
83	4328	47204
84	4381	47161
85	4434	47127
86	4463	46840
87	4511	46757
88	4565	46734
89	4616	46676
90	4666	46610
91	4715	46543
92	4769	46513
93	4821	46469
94	4873	46430
95	4921	46347
96	4972	46290
97	4992	45952
98	5024	45727
99	5076	45688
100	5129	45655
101	5184	45644
102	5239	45629
103	5287	45556
104	5342	45535
105	5389	45458
106	5436	45373
107	5491	45359
108	5545	45328
109	5596	45281
110	5644	45207
111	5700	45194
112	5754	45173
113	5805	45121
114	5856	45070
115	5903	44989
116	5952	44923
117	6003	44873
118	6054	44825
119	6106	44779
120	6158	44736
121	6212	44710
122	6263	44662
123	6310	44581
124	6359	44519
125	6414	44493
126	6462	44423
127	6515	44384
128	6568	44351
129	6620	44303
130	6673	44270
131	6721	44200
132	6772	44150
133	6824	44103
134	6872	44036
135	6925	44000
136	6977	43952
137	7033	43934
138	7085	43887
139	7136	43839
140	7190	43805
141	7242	43760
142	7291	43700
143	7345	43665
144	7399	43632
145	7449	43577
146	7499	43518
147	7518	43280
148	7572	43247
149	7622	43196
150	7678	43170
151	7727	43113
152	7752	42917
153	7800	42851
154	7850	42798
155	7901	42750
156	7950	42691
157	8001	42641
158	8056	42612
159	8104	42546
160	8153	42489
161	8202	42432
162	8253	42383
163	8302	42322
164	8354	42279
165	8404	42225
166	8458	42189
167	8508	42138
168	8561	42097
169	8613	42055
170	8664	42006
171	8713	41944
172	8764	41899
173	8818	41861
174	8871	41822
175	8924	41784
176	8978	41745
177	9032	41713
178	9089	41689
179	9128	41585
180	9180	41541
181	9231	41491
182	9283	41445
183	9331	41384
184	9385	41347
185	9435	41291
186	9487	41248
187	9539	41202
188	9593	41164
189	9644	41117
190	9700	41087
191	9747	41022
192	9800	40978
193	9850	40923
194	9899	40869
195	9950	40817
196	10003	40773
197	10058	40740
198	10109	40692
199	10158	40634
200	10206	40571
201	10258	40528
202	10309	40475
203	10356	40411
204	10409	40367
205	10460	40320
206	10506	40249
207	10560	40212
208	10612	40163
209	10663	40113
210	10711	40054
211	10760	39997
212	10814	39956
213	10861	39892
