iter	Passed	Remaining
0	111	111754
1	170	84836
2	223	74146
3	275	68505
4	331	65955
5	386	63956
6	440	62483
7	499	61890
8	553	60969
9	605	59970
10	663	59612
11	716	58956
12	772	58682
13	824	58061
14	877	57647
15	934	57447
16	991	57350
17	1047	57141
18	1103	56988
19	1158	56773
20	1214	56641
21	1272	56570
22	1330	56498
23	1386	56399
24	1437	56081
25	1490	55826
26	1540	55509
27	1591	55244
28	1646	55145
29	1695	54833
30	1746	54601
31	1800	54475
32	1852	54270
33	1908	54237
34	1964	54161
35	2014	53933
36	2063	53694
37	2114	53526
38	2170	53485
39	2227	53471
40	2281	53376
41	2335	53276
42	2390	53195
43	2415	52479
44	2470	52420
45	2524	52364
46	2581	52334
47	2635	52269
48	2687	52158
49	2742	52100
50	2802	52152
51	2850	51967
52	2901	51846
53	2953	51734
54	3002	51592
55	3056	51527
56	3106	51386
57	3157	51276
58	3209	51188
59	3266	51181
60	3319	51091
61	3375	51072
62	3433	51072
63	3487	51000
64	3544	50988
65	3598	50918
66	3652	50864
67	3705	50793
68	3759	50723
69	3814	50678
70	3869	50635
71	3922	50553
72	3970	50420
73	4020	50316
74	4078	50295
75	4136	50286
76	4190	50228
77	4242	50150
78	4296	50090
79	4354	50075
80	4410	50041
81	4465	49992
82	4517	49913
83	4574	49880
84	4630	49842
85	4685	49798
86	4741	49756
87	4797	49716
88	4854	49694
89	4905	49595
90	4957	49522
91	5013	49478
92	5064	49393
93	5116	49313
94	5174	49289
95	5232	49274
96	5296	49306
97	5354	49278
98	5408	49224
99	5464	49180
100	5517	49107
101	5572	49057
102	5625	48987
103	5678	48921
104	5734	48881
105	5793	48859
106	5846	48794
107	5896	48699
108	5950	48640
109	6003	48574
110	6060	48537
111	6119	48517
112	6175	48471
113	6233	48442
114	6286	48381
115	6341	48324
116	6393	48249
117	6448	48203
118	6499	48116
119	6551	48044
120	6608	48008
121	6633	47737
122	6690	47705
123	6747	47664
124	6800	47605
125	6857	47568
126	6912	47515
127	6963	47437
128	7018	47387
129	7072	47329
130	7125	47268
131	7176	47192
132	7233	47151
133	7289	47112
134	7347	47078
135	7404	47042
136	7457	46976
137	7506	46888
138	7562	46846
139	7619	46802
140	7672	46745
141	7727	46692
142	7782	46638
143	7839	46599
144	7893	46542
145	7946	46483
146	7996	46403
147	8048	46332
148	8102	46279
149	8157	46226
150	8206	46143
151	8258	46073
152	8314	46030
153	8367	45964
154	8417	45889
155	8467	45811
156	8522	45762
157	8576	45706
158	8627	45635
159	8684	45594
160	8740	45548
161	8798	45513
162	8851	45454
163	8902	45381
164	8957	45329
165	9015	45292
166	9066	45225
167	9122	45180
168	9173	45108
169	9229	45060
170	9281	44997
171	9337	44949
172	9394	44908
173	9444	44833
174	9499	44783
175	9555	44735
176	9606	44668
177	9662	44620
178	9716	44565
179	9769	44507
180	9823	44450
181	9874	44379
182	9931	44337
183	9985	44284
184	10041	44238
185	10097	44190
186	10152	44138
187	10208	44092
188	10259	44022
189	10312	43963
190	10366	43909
191	10401	43773
192	10453	43708
193	10505	43648
194	10561	43599
195	10611	43528
196	10665	43472
197	10719	43418
198	10775	43373
199	10830	43321
200	10882	43258
201	10940	43218
202	11000	43187
203	11052	43127
204	11108	43080
205	11164	43030
206	11216	42969
207	11274	42930
208	11330	42883
209	11385	42831
210	11438	42772
211	11488	42704
212	11542	42648
213	11587	42558
214	11640	42500
215	11691	42437
216	11744	42376
217	11798	42323
218	11849	42256
219	11900	42191
220	11954	42139
221	12005	42073
222	12057	42012
223	12113	41963
224	12161	41889
225	12212	41824
226	12274	41796
227	12326	41737
228	12382	41688
229	12435	41632
230	12490	41580
231	12540	41513
232	12590	41447
233	12648	41405
234	12705	41361
235	12756	41297
236	12813	41250
237	12862	41181
238	12922	41147
239	12980	41104
240	13037	41060
241	13095	41019
242	13151	40969
243	13205	40914
244	13261	40866
245	13316	40815
246	13369	40756
247	13423	40704
248	13479	40655
249	13535	40607
250	13590	40553
251	13642	40494
252	13693	40431
253	13744	40368
254	13801	40322
255	13857	40273
256	13912	40221
257	13967	40169
258	14018	40108
259	14073	40055
260	14127	39999
261	14180	39943
262	14235	39892
263	14288	39833
264	14339	39771
265	14393	39718
266	14449	39668
267	14504	39616
268	14557	39560
269	14612	39507
270	14663	39446
271	14720	39397
272	14774	39344
273	14828	39290
274	14879	39228
275	14931	39166
276	14983	39108
277	15040	39062
278	15097	39014
279	15153	38966
280	15212	38925
281	15268	38873
282	15324	38825
283	15380	38777
284	15436	38727
285	15486	38662
286	15541	38608
287	15598	38563
