feature,description
bankruptcycount24month__ln,Total unique bankruptcy case filings on file showing the subject as debtor in the last 24 months
inquiryshortterm12month__ln,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
re01s__tu,Number of revolving trades
bankruptcystatus__ln,Indicates status of most recent bankruptcy filing on file showing the subject as debtor
bankruptcytimenewest__ln,Time (in months) since most recent bankruptcy case filing on file showing the subject as debtor
fltgrossmonthly__income_sum,Not in dictionary
linka006__tu,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
trv10__tu,Number of months non-mortgage balance decreases last 12 months
linka026__tu,Number of payday inquiries in the last 3 years
balmag01__tu,Non-mortgage balance magnitude algorithm over last 24 months
dealerstate__app,Not in dictionary
g001s__tu,Number of 30 days past due ratings in past 12 months
paymnt11__tu,Number of payments in last 12 months
addrinputtimenewest__ln,Time on file (in months) since the subject was most recently reported at the input address
derogseverityindex__ln,Index indicating severity of derogatory records on subject's file
g209s__tu,Months since most recent charged-off trade opened
strdealershiptrackertype__app,Not in dictionary
fltgrossmonthly__income_count,Not in dictionary
g225s__tu,Total past due amount of currently 90 or more days past due trades
bankruptcychapter__ln,"Indicates bankruptcy chapter of most recent bankruptcy case filing on file showing the subject as debtor, if the bankruptcy is a Chapter 7 or Chapter 13 bankruptcy"
cv21__tu,Total payment amount of trades verified in past 3 months
g106s__tu,Months on file
inquirytelcom12month__ln,Indicates subject has one or more LexisNexis telecommunications credit inquiries on file in the last 12 months
bkc320__tu,Number of months since Min Total Open-to-Buy for Bankcard accounts
addronfilecount__ln,Total number of addresses found on file in subject's address history
g230s__tu,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months
rev225__tu,Average total Payment Ratio for Revolving accounts over the past 24 months
aut223__tu,Average total Payment Ratio for Auto accounts over the past 6 months
bitdebtor__app,Not in dictionary
g213a__tu,Highest balance of third party collections verified in 24 months
inquirybanking12month__ln,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
s207s__tu,Months since most recent public record bankruptcy
aut201__tu,Total Payment Ratio for Auto accounts over the past 1 month
subjectactivityindex06month__ln,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported on file within the past six months
fi36s__tu,Months since most recent finance installment delinquency
rev84__tu,Months since a Revolving trade last exceeded 90% utilization
s004s__tu,Average number of months trades have been on file
s204a__tu,Total balance of non-medical third party collections verified in past 12 months
au01s__tu,Number of auto trades
bc97a__tu,Total open to buy of open credit cards verified in past 3 months
subjectwillingnessindex__ln,Modeled risk index indicating the subject's willingness to fulfill a credit obligation on the basis of recent or historical non-derogatory and derogatory public record activity on file
linka014__tu,Number of unpaid checking account closures for cause in the last 5 years
au21s__tu,Months since most recent auto trade opened
bkc321__tu,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
g207s__tu,Total monthly obligation for all accounts
trv01__tu,Number of months since overlimit on a bankcard
g960s__tu,Number of deduped inquiries
g213b__tu,Highest balance of non-medical third party collections verified in 24 months
at21s__tu,Months since most recent trade opened
g303s__tu,Worst rating on revolving trades
au202s__tu,Number of auto trades that are 60 days or more past due ever
bkc322__tu,Min Total Open-to-Buy for Bankcard accounts over the past 6 months
cv26__tu,Percent of trades from active to inactive status in the past 12 months
strname__app,Not in dictionary
at101b__tu,Total balance of all trades verified in past 12 months (excluding mortgage and home equity)
au34s__tu,Utilization for open auto trades verified in past 12 months
linka012__tu,Number of unpaid checking account closures for cause in the last 2 years
aggs911__tu,Current Utilization of top-of-wallet bankcard (highest annual spend).
g305s__tu,Worst rating on installment trades
linkf163__tu,Number of distinct email addresses
linka021__tu,"Number of credit inquiries in the last year.  
These include credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
g304s__tu,Worst rating on installment trades in past 12 months
linka020__tu,"Number of credit inquiries in the last 3 years.  
These include credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
g302s__tu,Worst rating on revolving trades in past 12 months
linkf139__tu,Number of distinct bank accounts within last 1 month
agg902__tu,Number of aggregate non-mortgage balance decreases over last 3 months
au204s__tu,Number of auto trades that are 90 days or more past due ever
g980s__tu,Number of deduped inquiries in past 6 months
cv15__tu,Number of deduped auto inquiries
g407s__tu,Number of deduped finance inquiries
linkf147__tu,Number of distinct cell phones within last 18 months
g250c__tu,Number of 30 days past due or worse items in the past 24 months (excluding medical collection items)
linka004__tu,Number of bank account closures identified as fraudulent
s064b__tu,Total placement amount of non-medical third party collections
linkf111__tu,Number of lenders / locations with inquiries within last 6 months
linka017__tu,Number of checking account closures for cause in the last 5 years
st32s__tu,Maximum balance owed on open student loan trades verified in past 12 months
g020s__tu,Number of trades with maximum delinquency of 30 days past due in past 24 months
trv02__tu,Number of months overlimit on a bankcard over last 12 months
linkf087__tu,Number of inquiries within last 9 months
au207s__tu,Number of auto charged-off trades
ret225__tu,Average total Payment Ratio for Retail accounts over the past 24 months
cv19__tu,Total balance of trades verified in past 3 months
std201__tu,Total Payment Ratio for Student Loan accounts over the past 1 month
g415s__tu,Number of deduped auto inquiries
mt20s__tu,Months since oldest mortgage trade opened
linkf165__tu,Number of distinct home phones within last 18 months
g099a__tu,Number of tradeline bankruptcies verified in past 24 months
au203s__tu,Number of auto trades that are 60 days or more past due in the past 12 months
g990s__tu,Number of deduped inquiries in past 12 months
aut225__tu,Average total Payment Ratio for Auto accounts over the past 24 months
linkf141__tu,Number of distinct bank accounts within last 2 months
g051s__tu,Percentage of trades ever delinquent
std205__tu,Total Payment Ratio for Student Loan accounts over the past 24 months
linkf110__tu,Number of lenders / locations with inquiries within last 3 months
linka009__tu,Number of days since most recent check order
s204s__tu,Total balance of third party collections verified in past 12 months
mt57s__tu,Total past due amount of open mortgage trades verified in past 12 months
trv18__tu,Number of months bankcard credit limit increases last 12 months
rt20s__tu,Months since oldest retail trade opened
co07s__tu,Total balance of trades that charged-off in the past 24 months
s073b__tu,Number of non-medical third party collections with balance > $100
criminalnonfelonycount__ln,Total non-felony criminal convictions or sexual offender registry records on subject's file
cv04__tu,Months since most recent third party collection occurrence
ret201__tu,Total Payment Ratio for Retail accounts over the past 1 month
g234s__tu,Number of days with inquiry occurring in past 30 days
fi34s__tu,Utilization for open finance installment trades verified in past 12 months
g002s__tu,Number of 60 days past due ratings in past 12 months
cv14__tu,Number of deduped inquiries
std223__tu,Average total Payment Ratio for Student Loan accounts over the past 6 months
au57s__tu,Total past due amount of open auto trades verified in past 12 months
au51a__tu,Terms in months of most recent auto trade
s208s__tu,Number of tax liens
g220d__tu,Number of credit card trades verified in the past 12 months that are currently 90 days or more past due
g219d__tu,Number of credit card trades verified in the past 12 months that are currently 60 days or more past due
mt01s__tu,Number of mortgage trades
bc97b__tu,Total open to buy of closed credit cards verified in past 3 months
evictioncount12month__ln,Total eviction records on subject's file in the last 12 months
linkf032__tu,Y / N indicator of lender-reported bankruptcy
rev224__tu,Average total Payment Ratio for Revolving accounts over the past 12 months
ret235__tu,Aggregate Excess Payment for Retail accounts over the past 24 months
g212s__tu,Number of charged-off trades opened in past 24 months
subjectabilityindex__ln,"Modeled risk index indicating the subject's ability to fulfill a credit obligation on the basis of their time on file, post-secondary education history, asset ownership, and outstanding financial obligations on file"
linka050__tu,Number of checking account inquiries in the last 6 months
ssnproblems__ln,Indicates problems on file associated with the input SSN
s114s__tu,Number of deduped inquiries in past 6 months (excluding auto and mortgage inquiries)
hi21s__tu,Months since most recent home equity loan trade opened
linka052__tu,Number of checking account inquiries in the last 2 years
fi01s__tu,Number of finance installment trades
at57s__tu,Total past due amount of open trades verified in past 12 months
bc108s__tu,Number of 90 or more days past due ratings on credit card trades
linka051__tu,Number of checking account inquiries in the last year
at01a__tu,Number of authorized user trades
g200s__tu,Percentage of contractually liable debt
fi06s__tu,Number of finance installment trades opened in past 6 months
rev202__tu,Total Payment Ratio for Revolving accounts over the past 3 months
g206s__tu,Total monthly obligation for joint account verified in past 12 months
ret231__tu,Aggregate Excess Payment for Retail accounts over the past 1 month
mt21s__tu,Months since most recent mortgage trade opened
ret255__tu,Average Aggregate Excess Payment for Retail accounts over the past 24 months
linkt009__tu,Number of tradeline bankruptcies
linka039__tu,Number of days since first (oldest) check order
criminalfelonycount__ln,Total felony criminal convictions on subject's file
g418s__tu,Months since most recent auto inquiry
co05s__tu,Total balance of trades that charged-off
fi20s__tu,Months since oldest finance installment trade opened
rvdex02__tu,Most recent quarter year-over-year revolving spend index
g404s__tu,Number of deduped finance inquiries in past 3 months
linka045__tu,Number of checking account closures for cause in the last year
linka015__tu,Number of checking account closures for cause in the last 6 months
g242s__tu,Number of inquiries (includes duplicates) in past 3 months
cv02__tu,Months since most recent foreclosure occurrence
sourcenonderogcount12month__ln,Total non-derogatory source types on file for subject reported within the last 12 months
assetproppurchasetimeoldest__ln,Time (in months) since earliest recorded real property purchase based on real property ownership records on subject's file
linkf133__tu,Average balance of open trades (including collection)
evictioncount__ln,Total eviction records on subject's file indicating the plaintiff has sought an eviction and does not necessarily mean the defendant has vacated the premises
linkf059__tu,"Number of open, collection or charge-off trade segments STOREFRONT LENDER"
rle904__tu,Amount of over-payments on Real-Estate accounts in the past 6 months
linkt008__tu,Number of public record bankruptcies in the last 24 months
fc04s__tu,Months since most recent foreclosure trade reported
rp01s__tu,Number of repossession trades
std202__tu,Total Payment Ratio for Student Loan accounts over the past 3 months
linkf171__tu,Number of distinct home phones within last 9 months
linkf142__tu,Number of distinct bank accounts within last 3 months
linkf144__tu,Number of distinct bank accounts within last 9 months
linkf143__tu,Number of distinct bank accounts within last 6 months
g226s__tu,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 12 months
re20s__tu,Months since oldest revolving trade opened
of34s__tu,Utilization for open credit union trades verified in past 12 months
g241s__tu,Number of mortgage inquiries in past 6 months
linkf003__tu,Number of NSF within last 18 months
bkc84__tu,Months since a Bankcard trade last exceeded 90% utilization
fr20s__tu,Months since oldest finance revolving trade opened
linka031__tu,Number of open (unpaid) non-sufficient funds in the last 3 years
assetindex__ln,Modeled risk index indicating the type and relative value of real property and personal property associated with the subject
bkc12__tu,Number of instances where a Bankcard trade was utilized more than 50% in the past 12 months
linka013__tu,Total dollar amount of unpaid checking account closures for cause in the last 4 years
rev320__tu,Number of months since Min Total Open-to-Buy for Revolving accounts
g406s__tu,Number of deduped finance inquiries in past 12 months
