feature,description
at101b__tu,Total balance of all trades verified in past 12 months (excluding mortgage and home equity)
g304s__tu,Worst rating on installment trades in past 12 months
linkf111__tu,Number of lenders / locations with inquiries within last 6 months
st32s__tu,Maximum balance owed on open student loan trades verified in past 12 months
hi21s__tu,Months since most recent home equity loan trade opened
at57s__tu,Total past due amount of open trades verified in past 12 months
g200s__tu,Percentage of contractually liable debt
mt21s__tu,Months since most recent mortgage trade opened
linka039__tu,Number of days since first (oldest) check order
g418s__tu,Months since most recent auto inquiry
rvdex02__tu,Most recent quarter year-over-year revolving spend index
rle904__tu,Amount of over-payments on Real-Estate accounts in the past 6 months
rp01s__tu,Number of repossession trades
linkf142__tu,Number of distinct bank accounts within last 3 months
g241s__tu,Number of mortgage inquiries in past 6 months
fr20s__tu,Months since oldest finance revolving trade opened
bkc12__tu,Number of instances where a Bankcard trade was utilized more than 50% in the past 12 months
rev320__tu,Number of months since Min Total Open-to-Buy for Revolving accounts
linkf177__tu,Number of distinct zip codes within last 2 monthss
g403s__tu,Number of deduped mortgage inquiries
g221d__tu,Number of credit card trades verified in the past 12 months that are currently 120 days or more past due
linka082__tu,Amount of largest open (unpaid) non-sufficient funds (single check)
g201a__tu,Total open to buy of open trades verified in past 3 months (excluding installments and mortgages)
agg908__tu,Max aggregate bankcard balance over last 12 months
g095s__tu,Months since most recent public record
linkt007__tu,Months since most recent derogatory public record
rev317__tu,Max Total Open-to-Buy for Revolving accounts over the past 6 months
indexq4__tu,Q4 (Oct - Dec) spend indexed to annual spend
jt28s__tu,Total credit line of open joint trade verified in the past 12 months
ret322__tu,Min Total Open-to-Buy for Retail accounts over the past 6 months
bc36s__tu,Months since most recent credit card delinquency
rtdexq1__tu,Q1 (Jan - March) retail spend indexed to annual retail spend
jt80s__tu,Number of non-Mortgage and non-Auto joint trades with greater than 75% utilization
linkf197__tu,Total Good ACH events
g208s__tu,Percentage of individual debt
us57s__tu,Total past due amount of open unsecured installment trades verified in past 12 months
of21s__tu,Months since most recent credit union trade opened
bi20s__tu,Months since oldest bank installment trade opened
walshr10__tu,Months since most recent wallet share shift > 50% in last 24 months
agg903__tu,Number of aggregate non-mortgage credit line increases over last 3 months
ret205__tu,Total Payment Ratio for Retail accounts over the past 24 months
at25s__tu,Number of currently open and satisfactory trades 12 months or older
rev315__tu,Number of months since Max Total Open-to-Buy for Revolving accounts
st25s__tu,Number of currently open and satisfactory student loan trades 12 months or older
g218d__tu,Number of credit card trades verified in the past 12 months that are currently 30 days or more past due
rev253__tu,Average Aggregate Excess Payment for Revolving accounts over the past 6 months
rev232__tu,Aggregate Excess Payment for Revolving accounts over the past 3 months
us01s__tu,Number of unsecured installment trades
in09s__tu,Number of installment trades opened in past 24 months
g105s__tu,Months since most recent mortgage inquiry
lm14s__tu,Months since oldest government loan modification on a mortgage trade
all254__tu,Average Aggregate Excess Payment for All accounts over the past 12 months
g202b__tu,Total open to buy of closed trades verified in past 12 months (excluding installments and mortgages)
jt02s__tu,Number of open joint trades
linkf185__tu,Age of newest inquiry ONLINE LENDER
jt51s__tu,Months since most recent 30+ days past due on a joint trade
std235__tu,Aggregate Excess Payment for Student Loan accounts over the past 24 months
all253__tu,Average Aggregate Excess Payment for All accounts over the past 6 months
bkc83__tu,Months since a Bankcard trade last exceeded 75% utilization
paymnt05__tu,Total amount of prepayments on installment loans last 12 months
fr101s__tu,Total balance of all finance revolving trades verified in past 12 months
cv05__tu,Months since most recent non-medical third party collection occurrence
bkc326__tu,Average Total Open-to-Buy for Bankcard accounts over the past 6 months
per222__tu,Average total Payment Ratio for Personal Loan accounts over the past 3 months
rev201__tu,Total Payment Ratio for Revolving accounts over the past 1 month
linka005__tu,Average number of checks ordered in the last 3 years
fr02s__tu,Number of open finance revolving trades
fr21s__tu,Months since most recent finance revolving trade opened
