feature,pricing_pd__model6,pricing_lgd__model6,pricing_pd__model3,pricing_lgd__model3,pricing_pd__model4,pricing_lgd__model4,pricing_pd__model5,pricing_lgd__model5,pricing_pd__noPTImodel7,pricing_lgd__noPTImodel7,pricing_pd__maybePTImodel7,pricing_lgd__maybePTImodel7,pricing_pd__yesPTImodel7,pricing_lgd__yesPTImodel7,eng,app,ln,tu,sum,description
inquiryshortterm12month__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
g240s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of mortgage inquiries
linkf147__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of distinct cell phones within last 18 months
s064b__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total placement amount of non-medical third party collections
g234s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of days with inquiry occurring in past 30 days
linka013__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total dollar amount of unpaid checking account closures for cause in the last 4 years
ssnproblems__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,1,0,8.0,Indicates problems on file associated with the input SSN
g228s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of 90 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months
g002s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of 60 days past due ratings in past 12 months
ret201__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total Payment Ratio for Retail accounts over the past 1 month
businessassociationtimeoldest__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,1,0,8.0,Time (in months) since a formal business association with the subject first seen on file
criminalnonfelonycount__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Total non-felony criminal convictions or sexual offender registry records on subject's file
linkf141__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of distinct bank accounts within last 2 months
std205__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total Payment Ratio for Student Loan accounts over the past 24 months
fi28s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total credit line of open finance installment trades verified in past 12 months
cv13__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Percentage of trades ever delinquent
evictioncount12month__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Total eviction records on subject's file in the last 12 months
fi01s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of finance installment trades
g206s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total monthly obligation for joint account verified in past 12 months
std201__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total Payment Ratio for Student Loan accounts over the past 1 month
std223__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Average total Payment Ratio for Student Loan accounts over the past 6 months
s004s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Average number of months trades have been on file
linka051__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of checking account inquiries in the last year
au202s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of auto trades that are 60 days or more past due ever
trv13__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of revolving high credit increases YOY
linka047__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of checking account closures for cause in the last 3 years
addrcurrentdwelltypeindex__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Index indicating the dwelling type for current address on subject's file
bkc122__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 100% was more than 25%
g980s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of deduped inquiries in past 6 months
subjectactivityindex03month__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported within the past three months
fltgrossmonthly__income_count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,8.0,Total income sources (max = 2)
trv10__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of months non-mortgage balance decreases last 12 months
g001s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of 30 days past due ratings in past 12 months
bitdebtor__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,8.0,Debtor or Codebtor
strdealershiptrackertype__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,8.0,"Franchise, Independent"
inquirytelcom12month__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Indicates subject has one or more LexisNexis telecommunications credit inquiries on file in the last 12 months
