feature,AD,PD,LGD,Sum,Eng,App,description
bankruptcycount24month__ln,1,1,1,3,0,0,Total unique bankruptcy case filings on file showing the subject as debtor in the last 24 months
rt36s__tu,1,1,1,3,0,0,Months since most recent retail delinquency
agg909__tu,1,1,1,3,0,0,Months since max aggregate bankcard balance over last 12 months
assetpropeversoldcount__ln,1,1,1,3,0,0,Total number of real properties identified as ever sold based on real property ownership records on subject's file
lm15s__tu,1,1,1,3,0,0,Total balance of mortgage trades with a government loan modification
cv05__tu,1,1,1,3,0,0,Months since most recent non-medical third party collection occurrence
bitdealerapplicantsamezip__app,1,1,1,3,0,1,Applicant and Dealer Same Zip
s209s__tu,1,1,1,3,0,0,Months since most recent third party collection
addrinputownershipindex__ln,1,1,1,3,0,0,Index indicating subject's ownership level at the input address based on the address property record on file
fi27s__tu,1,1,1,3,0,0,Number of currently open and satisfactory finance installment trades 24 months or older
addrcurrentdwelltypeindex__ln,1,1,1,3,0,0,Index indicating the dwelling type for current address on subject's file
linka039__tu,1,1,1,3,0,0,Number of days since first (oldest) check order
linkf212__tu,1,1,1,3,0,0,Total Bad ACH amount
at27s__tu,1,1,1,3,0,0,Number of currently open and satisfactory trades 24 months or older
addrinputproblems__ln,1,1,1,3,0,0,Indicates any problems on file associated with the input address
s071b__tu,1,1,1,3,0,0,Number of non-medical third party collections opened in past 36 months
inquiryauto12month__ln,1,1,1,3,0,0,Indicates subject has one or more LexisNexis auto financing credit inquiries on file in the last 12 months (multiple auto inquiries within a 14-day period are counted as one inquiry)
subjectactivityindex12month__ln,1,1,1,3,0,0,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported on file within the past 12 months
inputprovidedstreetaddress__ln,1,1,1,3,0,0,Indicates if the street address for the subject was provided on input
rvlr23__tu,1,1,1,3,0,0,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fourth highest balance    month 1 to 8
linka022__tu,1,1,1,3,0,0,Number of auto inquiries in the last 3 years
at34a__tu,1,1,1,3,0,0,Utilization for open trades verified in past 12 months
bc107s__tu,1,1,1,3,0,0,Number of 30 and 60 days past due ratings on credit card trades
of21s__tu,1,1,1,3,0,0,Months since most recent credit union trade opened
linkf125__tu,1,1,1,3,0,0,Number of trade segments (excluding new trades)
addrpreviousdwelltype__ln,1,1,1,3,0,0,Previous dwelling type
s207a__tu,1,1,1,3,0,0,Months since most recent tradeline bankruptcy
in27s__tu,1,1,1,3,0,0,Number of currently open and satisfactory installment trades 24 months or older
linka072__tu,1,1,1,3,0,0,Number of paid non-sufficient funds in the last 2 years
addrinputphonecount__ln,1,1,1,3,0,0,Total number of unique phone service listings on file currently reported with the input address
std231__tu,1,1,1,3,0,0,Aggregate Excess Payment for Student Loan accounts over the past 1 month
lm29s__tu,1,1,1,3,0,0,Utilization of mortgage trades with a bank-backed loan modification
linkf040__tu,1,1,1,3,0,0,Number of lenders / locations with inquiries or trades all time ONLINE LENDER
fr30s__tu,1,1,1,3,0,0,Percentage of open finance revolving trades > 50% of credit line verified in past 12 months
linkf020__tu,1,1,1,3,0,0,Number of satisfactory ACH transactions within last 24 months
assetpropsalepurchaseratio__ln,1,1,1,3,0,0,Ratio price comparison of subject's most recent property sale to its original purchase price based on real property ownership records on subject's file
g409s__tu,1,1,1,3,0,0,Number of deduped bank inquiries in past 6 months
addrcurrentownershipindex__ln,1,1,1,3,0,0,"Index indicating subject's ownership level at the current address on subject's file, based on the address property record"
rev_trd__tu,1,1,1,3,0,0,Number of revolving trades
linka079__tu,1,1,1,3,0,0,Total amount of paid non-sufficient funds in the last 3 years
linka060__tu,1,1,1,3,0,0,Total amount of open (unpaid) non-sufficient funds in the last month
ret324__tu,1,1,1,3,0,0,Min Total Open-to-Buy for Retail accounts over the past 24 months
criminalnonfelonytimenewest__ln,1,1,1,3,0,0,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records"
std222__tu,1,1,1,3,0,0,Average total Payment Ratio for Student Loan accounts over the past 3 months
assetindex__ln,1,1,1,3,0,0,Modeled risk index indicating the type and relative value of real property and personal property associated with the subject
addrinputdeedmailing__ln,1,1,1,3,0,0,Indicates for the input address that the property owner's mailing address is the same as the property address for the property record on file
at103s__tu,1,1,1,3,0,0,Percentage of satisfactory open trades to all open trades verified in 24 months
ENG-dealership_age,1,1,1,3,1,0,Dealership age
linkt008__tu,1,1,1,3,0,0,Number of public record bankruptcies in the last 24 months
bankruptcycount__ln,1,1,1,3,0,0,Number of bankruptcies
educationprogramattended__ln,1,1,1,3,0,0,Indicates the type of program most recently attended based on student directories and other college attendance sources on subject's file
bankruptcystatus__ln,1,1,1,3,0,0,Indicates status of most recent bankruptcy filing on file showing the subject as debtor
linkf170__tu,1,1,1,3,0,0,Number of distinct home phones within last 6 months
g216s__tu,1,1,1,3,0,0,Number of trades with a delinquency of 90 or more days past due since opening a new trade (within past 24 months)
linkf143__tu,1,1,1,3,0,0,Number of distinct bank accounts within last 6 months
std202__tu,1,1,1,3,0,0,Total Payment Ratio for Student Loan accounts over the past 3 months
addrinputdelivery__ln,1,1,1,3,0,0,Indicates the mail delivery status on file for the input address
linkf151__tu,1,1,1,3,0,0,Number of distinct cell phones within last 3 months
lienjudgmenttaxcount__ln,1,1,1,3,0,0,"Total federal, state, and county tax liens on subject's file"
of34s__tu,1,1,1,3,0,0,Utilization for open credit union trades verified in past 12 months
