feature,ad__noPTI_noDown_model1,pricing_pd__noPTI_noDown_model1,pricing_lgd__noPTI_noDown_model1,ad__noPTImodel7,pricing_pd__noPTImodel7,pricing_lgd__noPTImodel7,ad__noPTImodel10,pricing_pd__noPTImodel10,pricing_lgd__noPTImodel10,eng,app,ln,tu,sum,description
ENG-dealership_age,,,,1.0,1.0,1.0,,,,1,0,0,0,0.0,Dealership age
linkf204__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Total Bad ACH amount in last 3 Months
linkf152__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of distinct cell phones within last 6 months
linkf154__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of distinct cell phones
linkf156__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of distinct email addresses within last 18 months
linkf163__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of distinct email addresses
linkf164__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of distinct home phone within last 12 months
linkf165__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of distinct home phones within last 18 months
linkf167__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of distinct home phones within last 24 months
linkf170__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of distinct home phones within last 6 months
linkf171__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of distinct home phones within last 9 months
linkf172__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of distinct home phones
linkf177__tu,1.0,0.0,0.0,,,,1.0,0.0,0.0,0,0,0,1,0.0,Number of distinct zip codes within last 2 monthss
linkf178__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of distinct zip codes within last 3 months
linkf181__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of distinct zip codes
linkf185__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Age of newest inquiry ONLINE LENDER
linkf197__tu,0.0,1.0,0.0,,,,0.0,1.0,0.0,0,0,0,1,0.0,Total Good ACH events
linkf151__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of distinct cell phones within last 3 months
