feature,AD,PD,LGD,Sum,Eng,App,description
re20s__tu,1,1,1,3,0,0,Months since oldest revolving trade opened
strdealershiptrackertype__app,1,1,1,3,0,1,"Franchise, Independent"
bc97b__tu,1,1,1,3,0,0,Total open to buy of closed credit cards verified in past 3 months
fltgrossmonthly__income_sum,1,1,1,3,0,0,Total income
linka017__tu,1,1,1,3,0,0,Number of checking account closures for cause in the last 5 years
bkc321__tu,1,1,1,3,0,0,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
rev205__tu,1,1,1,3,0,0,Total Payment Ratio for Revolving accounts over the past 24 months
dealerstate__app,1,1,1,3,0,1,Dealer State
at57s__tu,1,1,1,3,0,0,Total past due amount of open trades verified in past 12 months
linka014__tu,1,1,1,3,0,0,Number of unpaid checking account closures for cause in the last 5 years
vehiclemake__app,0,1,1,2,0,1,Vehicle make
evictioncount__ln,1,1,0,2,0,0,Total eviction records on subject's file indicating the plaintiff has sought an eviction and does not necessarily mean the defendant has vacated the premises
linka004__tu,1,0,1,2,0,0,Number of bank account closures identified as fraudulent
bankruptcycount24month__ln,1,1,0,2,0,0,Total unique bankruptcy case filings on file showing the subject as debtor in the last 24 months
g980s__tu,1,1,0,2,0,0,Number of deduped inquiries in past 6 months
sourcenonderogcount__ln,0,1,1,2,0,0,Total non-derogatory source types on file for subject
g020s__tu,1,0,1,2,0,0,Number of trades with maximum delinquency of 30 days past due in past 24 months
linkt008__tu,1,1,0,2,0,0,Number of public record bankruptcies in the last 24 months
linka012__tu,1,1,0,2,0,0,Number of unpaid checking account closures for cause in the last 2 years
fc04s__tu,1,0,1,2,0,0,Months since most recent foreclosure trade reported
g302s__tu,1,1,0,2,0,0,Worst rating on revolving trades in past 12 months
addrinputavmvalue12month__ln,0,1,1,2,0,0,Indicates input address AVM value on file 12 months ago
ENG-loan_to_value,0,1,1,2,1,0,Loan to value
strname__app,1,1,0,2,0,1,State
cv26__tu,1,1,0,2,0,0,Percent of trades from active to inactive status in the past 12 months
g241s__tu,1,0,1,2,0,0,Number of mortgage inquiries in past 6 months
fltapproveddowntotal__app,0,1,1,2,0,1,Total down
jt20s__tu,0,1,1,2,0,0,Months since oldest joint trade opened
ret225__tu,1,1,0,2,0,0,Average total Payment Ratio for Retail accounts over the past 24 months
