max g232s__tu,count_approved_gen12,count_total_gen12,prop_approved_gen12,count_approved_gen13,count_total_gen13,prop_approved_gen13
1.00,283,396,0.7146464646464646,255,396,0.6439393939393939
2.00,735,1078,0.6818181818181818,747,1078,0.6929499072356216
3.00,1307,1970,0.6634517766497462,1340,1970,0.6802030456852792
4.00,1911,2981,0.641060046964106,1976,2981,0.6628648104662865
5.00,2545,4072,0.625,2643,4072,0.6490667976424361
6.00,3223,5204,0.6193312836279785,3333,5204,0.6404688700999231
7.00,3843,6330,0.6071090047393365,3983,6330,0.6292259083728278
8.00,4414,7375,0.5985084745762712,4568,7375,0.6193898305084746
9.00,4941,8355,0.5913824057450628,5103,8355,0.6107719928186714
10.00,5395,9243,0.5836849507735584,5568,9243,0.602401817591691
11.00,5801,10059,0.5766974848394473,5994,10059,0.5958842827318819
12.00,6199,10902,0.568611263988259,6401,10902,0.5871399743166391
13.00,6595,11712,0.5630976775956285,6754,11712,0.5766734972677595
14.00,6884,12400,0.5551612903225807,7068,12400,0.57
15.00,7218,13101,0.5509503091367072,7377,13101,0.5630867872681474
16.00,7452,13685,0.5445378151260504,7592,13685,0.5547679941541834
17.00,7693,14256,0.5396324354657688,7848,14256,0.5505050505050505
18.00,7893,14760,0.5347560975609756,8048,14760,0.5452574525745257
19.00,8057,15184,0.5306243414120126,8221,15184,0.5414251844046365
20.00,8233,15638,0.5264739736539199,8407,15638,0.5376007162041182
21.00,8391,16048,0.5228688933200398,8555,16048,0.5330882352941176
22.00,8544,16413,0.5205629683787242,8697,16413,0.5298848473770792
23.00,8671,16758,0.5174245136651152,8828,16758,0.5267931734097148
24.00,8801,17100,0.5146783625730994,8956,17100,0.5237426900584795
25.00,8894,17399,0.5111788033795046,9052,17399,0.5202597850451175
26.00,9033,17723,0.5096766913050838,9185,17723,0.5182531174180444
27.00,9109,17965,0.5070414695240746,9276,17965,0.5163373225716671
28.00,9188,18196,0.5049461420092328,9351,18196,0.5139041547592877
29.00,9272,18417,0.5034479013954498,9434,18417,0.5122441222783298
30.00,9350,18630,0.5018786902844874,9518,18630,0.5108964036500269
31.00,9409,18806,0.5003190471126236,9572,18806,0.5089864936722323
32.00,9462,18960,0.4990506329113924,9628,18960,0.5078059071729958
33.00,9516,19113,0.49788102338722334,9670,19113,0.5059383665567938
34.00,9557,19242,0.4966739424176281,9709,19242,0.5045733291757614
35.00,9596,19373,0.4953285500438755,9754,19373,0.5034842306302586
36.00,9629,19488,0.4940989326765189,9793,19488,0.5025143678160919
37.00,9665,19612,0.4928105241688762,9829,19612,0.5011727513767081
38.00,9696,19717,0.4917583810924583,9862,19717,0.5001775117918548
39.00,9723,19809,0.4908374981069211,9894,19809,0.49946993790701194
40.00,9740,19883,0.48986571442941207,9918,19883,0.49881808580194137
41.00,9759,19958,0.48897685138791463,9948,19958,0.49844673815011525
42.00,9785,20044,0.4881760127719018,9984,20044,0.4981041708241868
43.00,9807,20124,0.48732856290995824,10009,20124,0.4973663287616776
44.00,9826,20183,0.4868453649110638,10024,20183,0.49665560124857555
