max ENG-wtd_avg,count_approved_gen12,count_total_gen12,prop_approved_gen12,count_approved_gen13,count_total_gen13,prop_approved_gen13
0.01,2255,5873,0.38396049719053293,1854,5873,0.31568193427549807
0.02,2343,6139,0.38165825052940217,1949,6139,0.31747841668024107
0.03,2406,6329,0.38015484278717016,2010,6329,0.31758571654289774
0.04,2475,6528,0.3791360294117647,2078,6528,0.31832107843137253
0.05,2522,6657,0.37884933153071954,2118,6657,0.3181613339342046
0.06,2574,6781,0.37959003096888366,2164,6781,0.31912697242294646
0.07,2615,6893,0.3793703757435079,2205,6893,0.31988974321775715
0.08,2635,6987,0.3771289537712895,2236,6987,0.3200228996708172
0.09,2671,7087,0.3768872583603782,2272,7087,0.3205869902638634
0.10,2714,7213,0.3762650769444059,2306,7213,0.3197005406904201
0.11,2756,7331,0.3759377983903969,2353,7331,0.3209657618333106
0.12,2791,7431,0.37558874983178575,2389,7431,0.32149105100255687
0.13,2829,7536,0.37539808917197454,2424,7536,0.321656050955414
0.14,2852,7618,0.37437647676555524,2451,7618,0.3217379889734839
0.15,2896,7723,0.3749838145798265,2488,7723,0.32215460313349736
0.16,2921,7805,0.3742472773862908,2513,7805,0.3219730941704036
0.17,2946,7909,0.3724870400809205,2551,7909,0.3225439372866355
0.18,2970,7984,0.3719939879759519,2568,7984,0.3216432865731463
0.19,3012,8083,0.3726339230483731,2602,8083,0.3219101818631696
0.20,3058,8207,0.37260874862921894,2647,8207,0.3225295479468746
0.21,3086,8285,0.37248038624019314,2674,8285,0.32275196137598067
0.22,3118,8367,0.3726544759172941,2706,8367,0.32341340982430977
0.23,3145,8451,0.37214530824754466,2729,8451,0.32292036445391076
0.24,3177,8544,0.37183988764044945,2762,8544,0.3232677902621723
0.25,3225,8639,0.3733070957286723,2795,8639,0.32353281629818265
0.26,3248,8705,0.37311889718552554,2821,8705,0.3240666283744974
0.27,3284,8797,0.37330908264180973,2848,8797,0.32374673184040015
0.28,3324,8885,0.3741136747326956,2887,8885,0.3249296567248171
0.29,3362,8971,0.3747631256270204,2926,8971,0.3261620778062646
0.30,3394,9061,0.37457234300849795,2954,9061,0.3260125813927823
0.31,3419,9128,0.37456178790534617,2977,9128,0.3261393514460999
0.32,3460,9208,0.37576020851433534,3014,9208,0.3273240660295395
0.33,3485,9277,0.37566023498975964,3034,9277,0.3270453810499084
0.34,3520,9354,0.3763096001710498,3069,9354,0.3280949326491341
0.35,3550,9422,0.37677775419231585,3091,9422,0.3280619825939291
0.36,3584,9513,0.376747608535688,3121,9513,0.32807736781246716
0.37,3622,9586,0.37784268725224285,3155,9586,0.3291258084706864
0.38,3647,9655,0.3777317452097359,3183,9655,0.3296737441740031
0.39,3697,9760,0.3787909836065574,3226,9760,0.3305327868852459
0.40,3733,9852,0.3789078359723914,3256,9852,0.33049127080795776
0.41,3759,9922,0.378855069542431,3283,9922,0.330880870792179
0.42,3788,9994,0.3790274164498699,3308,9994,0.3309985991594957
0.43,3831,10089,0.3797204876598275,3354,10089,0.33244127267320844
0.44,3866,10176,0.3799135220125786,3387,10176,0.33284198113207547
0.45,3902,10256,0.38046021840873634,3419,10256,0.3333658346333853
0.46,3942,10336,0.3813854489164087,3451,10336,0.3338815789473684
0.47,3980,10421,0.38192112081374147,3487,10421,0.3346128010747529
0.48,4032,10527,0.3830151040182388,3534,10527,0.3357081789683671
0.49,4070,10617,0.3833474616181596,3569,10617,0.33615899029857776
0.50,4321,11352,0.38063777307963353,3849,11352,0.33905919661733613
0.51,4370,11444,0.38185948968892,3892,11444,0.34009087731562393
0.52,4405,11519,0.3824116676794861,3929,11519,0.3410886361663339
0.53,4444,11606,0.38290539376184735,3968,11606,0.3418921247630536
0.54,4475,11681,0.3831007619210684,3997,11681,0.3421796079102817
0.55,4514,11761,0.3838109004336366,4034,11761,0.34299804438398096
0.56,4550,11835,0.3844528939585974,4066,11835,0.3435572454583861
0.57,4588,11919,0.3849316217803507,4104,11919,0.3443241882708281
0.58,4622,11998,0.38523087181196863,4143,11998,0.34530755125854307
0.59,4652,12066,0.38554616277142384,4175,12066,0.3460135919111553
0.60,4689,12163,0.38551344240730084,4214,12163,0.3464605771602401
0.61,4728,12237,0.3863692081392498,4246,12237,0.3469804690692163
0.62,4763,12313,0.3868269308860554,4276,12313,0.3472752375538049
0.63,4792,12383,0.38698215295162725,4299,12383,0.34716950658160384
0.64,4823,12445,0.38754519887505023,4335,12445,0.34833266372036964
0.65,4857,12513,0.38815631742987294,4368,12513,0.3490769599616399
0.66,4881,12564,0.3884909264565425,4394,12564,0.34972938554600447
0.67,4926,12667,0.3888845030393937,4436,12667,0.3502013104918292
0.68,4957,12725,0.3895481335952849,4470,12725,0.3512770137524558
0.69,4994,12798,0.39021722144085014,4500,12798,0.35161744022503516
0.70,5020,12859,0.39038805505871377,4528,12859,0.3521269150011665
0.71,5053,12925,0.3909477756286267,4563,12925,0.353036750483559
0.72,5111,13024,0.39242936117936117,4614,13024,0.3542690417690418
0.73,5148,13100,0.3929770992366412,4653,13100,0.3551908396946565
0.74,5187,13168,0.39390947752126365,4688,13168,0.3560145808019441
0.75,5234,13250,0.3950188679245283,4731,13250,0.3570566037735849
0.76,5288,13335,0.3965504311961005,4780,13335,0.3584551931008624
0.77,5315,13406,0.3964642697299717,4810,13406,0.35879456959570344
0.78,5354,13486,0.3970043007563399,4858,13486,0.36022541895298826
0.79,5396,13559,0.3979644516557268,4896,13559,0.36108857585367654
0.80,5449,13672,0.39855178466939734,4958,13672,0.36263897015798713
0.81,5487,13741,0.39931591587220727,5002,13741,0.3640200858743905
