Dealer Name,Account Id,Days in Funding,Application Status Name,Open Bk Type,Apr Contract Approved,Tier,Acquisition Fee Amount
AUTONATION USA  AUSTIN,8674298,1,Received Originals (180),0,24.1,B,320
MCLEOD AUTO SALES,8674470,3,Received Originals (180),0,24.1,B,470
MCLEOD AUTO SALES,8650835,4,Received Originals (180),0,20.6,B,1485
PREMIER CHEVROLET GMC OF LITTLEFIELD,8658891,4,Audit Hold (179),0,20.6,B,1061
CENTRAL KIA OF PLANO,8657900,4,Received Originals (180),0,20.6,B,2271
JAKE SWEENEY CHRYSLER JEEP DODGE,8643654,12,Received Originals (180),0,24.48,B,320
"MCCLUSKEY CHEVROLET, INC. - KINGS",8619493,7,Received Originals (180),0,25,C,568
BOBB SAYS YES,8511986,6,Received Originals (180),7,23.54,B,320
TAYLOR KIA LIMA,8654092,7,Received Originals (180),7,22.47,B,250
"MCCLUSKEY CHEVROLET, INC. - KINGS",8611681,10,Received Originals (180),0,25,D,859
"MCCLUSKEY CHEVROLET, INC. - KINGS",8596767,1,Received Originals (180),0,25,D,0
"MCCLUSKEY CHEVROLET, INC. - KINGS",8658180,4,Received Originals (180),7,25,D,2766
"MCCLUSKEY CHEVROLET, INC. - KINGS",8620631,13,Received Originals (180),0,23.88,B,320
"MCCLUSKEY CHEVROLET, INC. - KINGS",8603185,4,Received Originals (180),7,25,D,2034
VAN DEVERE BUICK KIA,8667933,1,Received Originals (180),0,25,B,320
VAN DEVERE BUICK KIA,8637852,1,Received Originals (180),7,20.78,B,250
#1 RICART EXPRESS USED CAR NEWARK,8670406,3,Received Originals (180),0,22.4,B,450
TWINS BUICK GMC,8669132,1,Audit Hold (179),0,24.98,B,320
"MCCLUSKEY CHEVROLET, INC. - KINGS",8600464,14,Received Originals (180),0,23.84,B,320
"PRESTON CHEVROLET CADILLAC KIA, INC",8680393,1,Received Originals (180),0,18.31,A,260
CITY WIDE AUTO CREDIT,8660176,1,Received Originals (180),0,25,C,2918
RICART FORD USED,8557546,7,Received Originals (180),0,25,B,320
TWINS BUICK GMC,8671078,1,Received Originals (180),0,25,C,1211
"GANLEY FORD, INC",8654441,1,Received Originals (180),7,13.49,A1,0
TWINS BUICK GMC,8650560,8,Received Originals (180),13,23.94,B,250
"JAKE SWEENEY SMARTMART, LLC",8592982,4,Received Originals (180),7,21.41,B,250
CORWIN TOYOTA BOULDER,8648784,3,Received Originals (180),0,21,B,1226
"SOUTHWEST MOTORS, INC.",8652693,5,Received Originals (180),0,21,B,1435
SILL-TER HAR MOTORS,8629714,13,Received Originals (180),0,18.03,A,260
LEASE END,8669145,1,Received Originals (180),0,18.33,A,260
LEASE END,8669827,1,Received Originals (180),0,23.24,B,320
LEASE END,8659809,1,Received Originals (180),0,17.64,A,260
LEASE END,8649001,1,Received Originals (180),0,19.26,A,260
LARRY H MILLER CHEVROLET MURRAY,8658128,2,Received Originals (180),7,22.64,B,250
AXIO AUTO 90TH,8609550,1,Received Originals (180),7,26.25,D,1589
NATIONAL AUTO PLAZA,8674950,3,Received Originals (180),0,23.96,B,450
AXIO AUTO OGDEN,8651915,4,Received Originals (180),7,26.69,C,1350
NATIONAL AUTO PLAZA,8644826,11,Received Originals (180),0,26.9,C,1550
"SUPERIOR BROOKDALE FORD, LLC.",8652799,1,Received Originals (180),7,16.99,A1,0
"SUPERIOR BROOKDALE FORD, LLC.",8641282,1,Received Originals (180),13,21.49,B,250
"SUBURBAN CHEVROLET, LLC.",8670015,3,Received Originals (180),0,22.04,B,320
"SUBURBAN CHEVROLET, LLC.",8628409,1,Received Originals (180),7,23.25,C,786
JEFF BELZERS ROSEVILLE CHRYSLER DODGE JEEP RAM,8672300,3,Received Originals (180),13,19.1,A,125
KALIDY KIA,8587014,12,Received Originals (180),0,18.44,A,260
615 AUTO SALES.COM,8664414,1,Audit Hold (179),0,26.99,C,1550
GALLATIN CHRYSLER DODGE JEEP RAM,8655946,5,Received Originals (180),0,28.59,C,1350
VOLUNTEER AUTO GROUP,8657612,1,Received Originals (180),13,26,B,320
BETTEN BAKER CHEVROLET,8633149,7,Received Originals (180),0,25,C,617
LAFONTAINE FORD OF LANSING,8663374,1,Received Originals (180),7,25,B,250
KIA OF BEDFORD,8664984,1,Received Originals (180),0,25,B,801
NICK MAYER'S FORD & LINCOLN,8664794,4,Received Originals (180),0,25,C,1572
RIGHTWAY AUTOMOTIVE CREDIT - EUCLID ,8671707,3,Received Originals (180),7,25,B,431
KEN GANLEY CDJR OF BEDFORD,8667387,1,Received Originals (180),7,23.5,B,250
NORTH COAST MITSUBISHI - WEST CLEVELAND,8577885,13,Received Originals (180),0,25,D,1595
NORTH COAST MITSUBISHI - WEST CLEVELAND,8605449,18,Received Originals (180),7,22.95,B,250
NORTHWEST INDIANA AUTO FINANCE,8589736,11,Received Originals (180),0,24.64,B,566
HUBLER CHEVROLET,8673887,3,Received Originals (180),0,25,C,1598
KENNY KENT TOYOTA,8674897,1,Audit Hold (179),0,25,B,880
"DOBBS BLOSSOM AUTO, LLC DBA BLOSSOM CHEVROLE",8663208,1,Received Originals (180),7,25,B,250
HOBART AUTO SALES,8657076,4,Received Originals (180),0,25,B,753
SMART BUY AUTO FINANCE INC,8663417,1,Received Originals (180),0,25,C,2840
"ANDY MOHR NISSAN, INC.",8627117,5,Received Originals (180),0,19.53,A,260
RIDE TIME AUTO FINANCE,8658268,1,Received Originals (180),0,25,D,2671
INDY AUTO MAN,8594731,1,Received Originals (180),0,25,C,1039
HUBLER CHEVROLET,8677061,1,Received Originals (180),7,24.57,B,250
HOBART AUTO SALES,8665273,2,Received Originals (180),0,23.6,B,450
NORTHWEST INDIANA AUTO FINANCE,8662381,1,Received Originals (180),0,24.65,B,450
RIDE TIME AUTO FINANCE,8668009,1,Received Originals (180),0,25,B,450
RAY SKILLMAN SHADELAND KIA,8268533,5,Received Originals (180),13,18.96,A,190
RAY SKILLMAN CHEVROLET INC,8636404,5,Received Originals (180),7,24.75,C,314
NORTHWEST INDIANA AUTO FINANCE,8658247,5,Received Originals (180),0,25,B,1193
"EDDY'S CHEVROLET CADILLAC, LLC. ",8673767,3,Audit Hold (179),0,27.01,D,1600
DREAM NISSAN LEGENDS,8668834,1,Received Originals (180),0,29.66,D,1600
CLEMENT PRE-OWNED FLORISSANT,8654737,7,Received Originals (180),0,29.43,B,450
RANDY CURNOW CHEVROLET GMC,8627122,7,Received Originals (180),0,25.55,C,596
OAKES BUICK GMC,8656414,5,Received Originals (180),0,20.44,B,320
SUNTRUP NISSAN VOLKSWAGEN,8669472,1,Received Originals (180),0,24.53,B,320
CLEMENT PRE-OWNED FLORISSANT,8673356,1,Received Originals (180),0,27.6,B,450
CLEMENT PRE-OWNED FLORISSANT,8670308,3,Received Originals (180),0,26.95,C,1550
CLEMENT CHRYSLER DODGE JEEP RAM FLORISSANT,8651179,6,Received Originals (180),7,24.58,B,250
CLEMENT PRE-OWNED FLORISSANT,8675404,1,Audit Hold (179),0,26.4,B,450
SUNTRUP KIA SUZUKI,8669039,1,Received Originals (180),0,26.77,C,1350
JIM BUTLER KIA,8661222,5,Received Originals (180),13,22.69,B,250
CONICELLI TOYOTA OF CONSHOHOCKEN,8657631,2,Received Originals (180),0,21,B,2172
"ROYAL CAR CENTER, INC.",8673696,3,Received Originals (180),0,20.49,A,360
"ROYAL CAR CENTER, INC.",8671206,3,Received Originals (180),0,19.32,A,360
BRISTOL AUTO MALL,8670465,1,Received Originals (180),0,21,B,4075
BUCHANAN AUTO PARK INC,8663492,1,Audit Hold (179),0,20.47,B,320
NARYAN AUTO GROUP INC,8629940,1,Received Originals (180),0,21,B,3630
NARYAN AUTO GROUP INC,8659343,4,Received Originals (180),0,21,B,3003
CONICELLI TOYOTA OF CONSHOHOCKEN,8663868,1,Received Originals (180),0,21,B,952
ALLENTOWN KIA/ISUZU TRUCK OF LEHIGH VALLEY,8654013,4,Received Originals (180),0,20.67,B,342
KARGAR MOTORS,8663147,1,Received Originals (180),0,25.9,B,450
KARGAR MOTORS,8654601,7,Received Originals (180),0,28.54,C,1550
R.K. CHEVROLET,8669090,1,Audit Hold (179),0,18.37,A,260
KOONS AUTOMOTIVE - CULPEPER,8663616,1,Audit Hold (179),0,25.59,B,450
AUTOPLEX 2000 PRE-OWNED SUPER STORES - SULPHUR,8664861,2,Received Originals (180),0,21.11,B,450
INTERSTATE HYUNDAI,8670288,3,Audit Hold (179),0,18.56,A,260
AUTOPLEX 2000 PRE-OWNED SUPER STORES - SULPHUR,8667923,1,Received Originals (180),0,20.06,A,360
TAMERON KIA WESTBANK,8651399,1,Audit Hold (179),0,27,C,1350
BARNES CROSSING AUTO SALES & SERVICE,8604674,4,Received Originals (180),0,24.99,C,859
DIRECT AUTO CDJR LLC,8661960,4,Received Originals (180),0,24.6,B,320
KIA OF BILLINGS,8638022,13,Received Originals (180),0,19,A,260
YOUNG MAZDA MISSOULA,8651863,8,Received Originals (180),0,28.24,C,1350
MINI OF LAS VEGAS,8643123,12,Received Originals (180),0,23.23,B,320
AUTONATION USA HENDERSON,8592375,1,Received Originals (180),0,18.92,A,260
777 NISSAN,8659575,1,Received Originals (180),0,19.83,A,260
AUTONATION USA HENDERSON,8675417,1,Audit Hold (179),0,21.67,B,320
TEAM CHEVROLET,8638257,2,Received Originals (180),0,25.5,C,1089
FINDLAY LINCOLN,8662852,1,Received Originals (180),0,23.49,B,320
SAITTA TRUDEAU CHRYSLER JEEP DODGE,8625901,4,Received Originals (180),0,16.13,A,125
CORWIN BUICK GMC RENO,8637563,5,Audit Hold (179),0,24.86,B,320
TWINS AUTO SALES INC - REDFORD,8676567,1,Received Originals (180),0,25,D,4730
GOLLING KIA OF MADISON HEIGHTS,8644052,1,Received Originals (180),0,20.04,A,260
SUMMIT PLACE KIA,8557514,4,Received Originals (180),13,20.31,A,190
VICTORY TOYOTA,8639893,11,Received Originals (180),13,15.65,A1,0
VICTORY MOTORS - ROYAL OAK,8663294,4,Received Originals (180),7,21.66,B,320
TWINS AUTO SALES INC - REDFORD,8658015,4,Received Originals (180),7,20.91,B,320
SUBURBAN CDJR OF FARMINGTON HILLS,8656673,4,Received Originals (180),0,16.48,A,260
GARBER CHEVROLET OF HIGHLAND,8646330,4,Received Originals (180),0,17.9,A,260
BIG CITY CARS OF GOSHEN,8667940,2,Received Originals (180),0,25,B,450
S&H AUTO GROUP,8671142,1,Received Originals (180),13,21.84,B,320
SMART CHOICE AUTO GROUP - HOUSTON,8658586,2,Received Originals (180),0,24.1,B,972
BIG STAR FORD,8660798,5,Received Originals (180),0,20.6,B,1330
CLEAR LAKE CHRYSLER JEEP DODGE,8672494,1,Received Originals (180),0,18,C,5260
PAISANOS AUTO SALES,8618177,1,Received Originals (180),0,17.6,A,467
PAISANOS AUTO SALES,8650599,4,Received Originals (180),0,20.6,B,2417
DENNIS DILLON MAZDA KIA,8653574,1,Received Originals (180),0,23.81,B,320
CITY AUTO WHOLESALE,8634682,15,Audit Hold (179),0,24.73,B,450
ROGER KEHDI MITSUBISHI ,8607986,4,Audit Hold (179),13,16.34,A,190
ZAG MOTORS ,8675528,1,Received Originals (180),0,24.14,B,450
CORTES NISSAN,8659004,5,Audit Hold (179),0,25.63,C,1350
PIERRE FORD OF LYNNWOOD,8607676,18,Received Originals (180),0,18.89,A,467
VOLKSWAGEN OF OLYMPIA,8674912,2,Received Originals (180),0,27.22,B,320
