accountid,applicationdate__app,request_datetime,ENG-bk,ENG-loan_to_value,rp01s__tu,g232s__tu,ENG-wtd_avg,tag_policy_decline,tag_policy_approval,pd_gen12,lgd_gen12,pd_gen13,lgd_gen13,has_inst_tag,ecnl_gen12,tag_approved_gen12,ecnl_gen13,tag_approved_gen13,ecnl_policy,tag_approved_policy
8545898,01/06/2025 12:06:50,2025-02-27 22:16:41-07:00,0.0,0.8308853410740203,999.0,999.0,,1.0,0.0,0.16190851069453702,0.6632172350516162,0.7573750305716629,0.27775640912627786,0,0.25341801491420785,1,0.4964632144942364,0,1.0,0
8546774,01/06/2025 15:25:51,2025-01-06 22:26:21-07:00,0.0,0.946834846162914,0.0,5.0,0.680952380952381,0.0,0.0,0.22150868769618165,0.6218813168857542,0.31006182059517234,0.27775640912627786,0,0.32509498999848263,1,0.20324711263378414,1,0.32509498999848263,1
8547741,01/07/2025 08:49:58,2025-01-07 15:59:25-07:00,0.0,1.2081609195402299,0.0,4.0,0.2597707904789891,1.0,0.0,0.13482117100095653,0.7583602743000796,0.4707894020652737,0.3501845945669622,0,0.24129352772331422,1,0.38907714229721496,0,1.0,0
8580820,01/20/2025 10:55:47,2025-01-20 17:56:27-07:00,0.0,1.2017412935323384,0.0,12.0,1.0,0.0,0.0,0.12843113584571475,0.6025517908126937,0.20915411507224238,0.3501845945669622,0,0.18263192972386727,1,0.17285241561306047,1,0.18263192972386727,1
8583688,01/21/2025 11:28:16,2025-01-23 16:43:59-07:00,1.0,1.3192317541613316,0.0,25.0,0.7285714285714285,0.0,0.0,0.19233376071139788,0.6401808494702672,0.3440094964880602,0.3232454576829602,0,0.29058300114111973,1,0.2624308368493798,1,0.29058300114111973,1
8585468,01/22/2025 08:13:59,2025-01-22 15:14:14-07:00,0.0,1.149869451697128,0.0,24.0,0.15151515151515152,1.0,0.0,0.25381216627890796,0.7460337421584285,0.6049623840958176,0.3501845945669622,1,0.44687175890596276,0,0.4999624769987419,0,1.0,0
8588257,01/23/2025 09:29:48,2025-02-06 17:00:29-07:00,1.0,1.3973993127147768,0.0,8.0,1.0,0.0,0.0,0.06223435628948417,0.5916013969890668,0.16370830043463613,0.33346304982454933,0,0.08689031980691499,1,0.12883397918108455,1,0.08689031980691499,1
8598916,01/27/2025 11:49:30,2025-01-29 22:58:21-07:00,1.0,1.2357423376623378,0.0,5.0,0.5850951374207188,0.0,0.0,0.07419896103843111,0.6820410396427419,0.24245427303377226,0.2938038635922092,0,0.11943189820386833,1,0.1681122451017599,1,0.11943189820386833,1
8599681,01/27/2025 14:05:39,2025-01-27 21:05:52-07:00,0.0,1.2338909090909091,999.0,999.0,,1.0,0.0,0.19929669249790125,0.6930058019512045,0.8471332153591511,0.3501845945669622,0,0.3259484835373243,1,0.7001010836928133,0,1.0,0
8601341,01/28/2025 09:17:48,2025-01-28 16:18:45-07:00,1.0,1.09924,0.0,9.0,1.0,0.0,0.0,0.1426129585904263,0.6281696219938435,0.2705195600353878,0.2596410016840132,0,0.21142090276244532,1,0.16576160812078766,1,0.21142090276244532,1
8602514,01/28/2025 13:35:48,2025-01-29 17:27:37-07:00,1.0,0.9193429629629629,0.0,6.0,0.9042518662771827,0.0,0.0,0.11169131991841676,0.6292977918151458,0.31806645030326913,0.1617987878136479,1,0.16587755833540566,1,0.12145212800369082,1,0.16587755833540566,1
8604146,01/29/2025 09:28:01,2025-01-29 20:11:49-07:00,1.0,1.27,0.0,5.0,0.8817204301075269,0.0,0.0,0.18180999692627892,0.6646171789702151,0.23039021751705843,0.31672530923551634,0,0.2851683515471156,1,0.17221017441551054,1,0.2851683515471156,1
8604434,01/29/2025 10:34:32,2025-01-29 21:54:01-07:00,1.0,1.1501298701298701,0.0,4.0,0.5745967741935484,0.0,0.0,0.05328732980678527,0.6670634577984532,0.19986251381222647,0.2596410016840132,0,0.0838886319275154,1,0.12246630775328772,1,0.0838886319275154,1
