feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero,mean_target_25,mean_target_50,mean_target_75,description,auto_flag
linkf011__tu,float64,0.992677196,0,12213,12213,591.9384219,457.4360658,300,0,1798,0.116882273,0,0.105831112,6.50E-05,0.105831112,0.433766234,0.441871982,0.442326025,Amount of NSF within last 3 months,0
fltmaintenanceagreement__app,float64,0.989808626,0,2800,2800,148.4418508,71.34761269,0,0,346,0.016161427,0,0.532953431,4.67E-05,0.532953431,0.226643295,0.226643295,0.197431129,Maintenance Agreement,0
linkf012__tu,float64,0.987165218,0,17040,17040,743.8539694,536.4237816,312,0,2484,0.092129664,0,0.097433425,3.71E-05,0.097433425,0.430518519,0.4346151,0.435765775,Amount of NSF within last 6 months,0
linkf080__tu,float64,0.986475448,0,67431,67431,2247.876352,700.8664602,0,0,3413,0.120129527,0,0.564464468,7.04E-05,0.564464468,0.384548232,0.384548232,0.394546649,Total amount past due within last 12 months (excluding collection),0
defaultamount__app,float64,0.985922774,0,34994.63,34994.63,6321.649059,14734.52325,15425.55,30000,23808,0.805085892,0,3.38E-05,3.38E-05,3.38E-05,0.63235493,0.659339916,0.708643311,Default Amount,0
chargeoffamount__app,float64,0.985922774,-5312.41,34578.72,39891.13,5142.937801,10123.25445,9872.47,30000,23814,0.805288787,0.001690789,3.38E-05,3.38E-05,0,0.708913837,0.722845935,0.726047162,Charge off amount,0
linkf013__tu,float64,0.982001697,0,25480,25480,875.5614961,587.7902616,335,0,2999,0.079319739,0,0.097754503,2.64E-05,0.097754503,0.435016338,0.433046326,0.432336258,Amount of NSF within last 9 months,0
linkf008__tu,float64,0.977203768,0,67080,67080,983.6332129,628.560015,350,0,3398,0.070957234,0,0.093885733,2.09E-05,0.093885733,0.432232913,0.431317765,0.432011134,Amount of NSF within last 12 months,0
linkf009__tu,float64,0.968599485,0,129290,129290,1302.089213,699.259115,377,0,4102,0.062186377,0,0.090080803,1.52E-05,0.090080803,0.429072439,0.430440313,0.430527783,Amount of NSF within last 18 months,0
linkf010__tu,float64,0.961030572,0,307320,307320,1882.946048,756.139367,405,0,4601,0.056203657,0,0.086278294,1.22E-05,0.086278294,0.42856446,0.429614842,0.426459093,Amount of NSF within last 24 months,0
