,feature,median__pd,median__parse,median_diff
83,revs905__tu,-1.0,1.0,inf
321,s071b__tu,1.0,-1.0,inf
55,rev225__tu,-1.0,1.0,inf
569,jt41s__tu,1.0,-1.0,inf
703,bankruptcytimenewest__ln,1.0,-1.0,inf
4,rev315__tu,-1.0,1.0,inf
272,rev11__tu,-1.0,1.0,inf
343,s073b__tu,1.0,-1.0,inf
276,rev51__tu,-1.0,1.0,inf
1454,g215b__tu,1.0,-1.0,inf
248,rev122__tu,-1.0,1.0,inf
51,rev205__tu,-1.0,0.95,7799.999999999993
838,addrcurrentavmratio12monthprior__ln,-1.0,0.75,1400.0
854,addrinputavmratio12monthprior__ln,-1.0,0.52,633.3333333333334
70,bkc328__tu,-1.0,2.0,600.0
1754,cv05__tu,4.0,-1.0,333.33333333333337
1391,g095s__tu,1.0,-4.0,333.33333333333337
542,s209a__tu,4.0,-1.0,333.33333333333337
950,linkt007__tu,1.0,-4.0,333.33333333333337
16,rev327__tu,-1.0,6.0,280.0
556,jt21s__tu,8.0,-1.0,257.14285714285717
1838,agg905__tu,-1.0,14.945,228.68411617067048
1843,agg910__tu,-1.0,21.055,219.94515083520318
563,jt20s__tu,24.0,-1.0,217.39130434782606
1839,agg906__tu,-1.0,32.31,212.77547109549664
37,rev328__tu,-1.0,45.0,209.0909090909091
1844,agg911__tu,-1.0,55.25,207.37327188940094
1919,bc103s__tu,-1.0,101.0,204.0
15,rev326__tu,-1.0,0.0,200.0
841,addrcurrentcountyratio__ln,0.0,0.21,200.0
1921,bc106s__tu,0.0,1.0,200.0
1452,g213b__tu,238.7850848563968,0.0,200.0
904,linkf195__tu,0.0,1233.0,200.0
1841,agg908__tu,0.0,269.33,200.0
1390,g093s__tu,1.0,0.0,200.0
951,linkt006__tu,1.0,0.0,200.0
1840,agg907__tu,0.0,158.0,200.0
273,rev12__tu,-1.0,0.0,200.0
900,linkf181__tu,0.0,1.0,200.0
417,re09s__tu,0.0,1.0,200.0
247,rev112__tu,-1.0,0.0,200.0
1012,linkf145__tu,0.0,1.0,200.0
1750,cv22__tu,0.0,68.0,200.0
61,bkc319__tu,0.0,8.0,200.0
1069,agg406__tu,0.0,37.0,200.0
921,linkf172__tu,0.0,1.0,200.0
8,rev320__tu,-1.0,0.0,200.0
701,bankruptcycount__ln,1.0,0.0,200.0
861,addrcurrenttractratio__ln,0.0,0.36,200.0
7,rev318__tu,0.0,23.0,200.0
1073,agg410__tu,0.0,21.0,200.0
1199,linka021__tu,0.0,2.0,200.0
260,rev83__tu,-1.0,0.0,200.0
246,rev102__tu,-1.0,0.0,200.0
1271,linkf068__tu,0.0,3.0,200.0
544,s204a__tu,241.1729357049608,0.0,200.0
1241,linkf038__tu,0.0,2.0,200.0
244,rev84__tu,-1.0,0.0,200.0
1853,au101s__tu,574.9208053654896,0.0,200.0
974,linkf107__tu,0.0,2.0,200.0
243,rev152__tu,-1.0,0.0,200.0
1021,linkf154__tu,0.0,1.0,200.0
1987,at27s__tu,-3.0,0.0,200.0
274,rev13__tu,-1.0,0.0,200.0
250,rev142__tu,-1.0,0.0,200.0
568,jt40s__tu,0.0,-1.0,200.0
902,linkf193__tu,0.0,94.0,200.0
1848,trv04__tu,0.0,1.0,200.0
912,linkf163__tu,0.0,1.0,200.0
1456,g217s__tu,358.17762728459525,0.0,200.0
297,s064b__tu,546.8178443211488,0.0,200.0
1749,cv21__tu,0.0,99.91,200.0
207,bkc81__tu,-1.0,0.0,200.0
1421,g202a__tu,-2.0,0.0,200.0
695,inquirynonshortterm12month__ln,0.0,1.0,200.0
858,addrinputtractratio__ln,0.0,0.25,200.0
206,bkc83__tu,-1.0,0.0,200.0
1981,at36s__tu,0.0,1.0,200.0
972,linkf105__tu,0.0,83.0,200.0
143,rev255__tu,-1.0,0.0,200.0
1399,g201a__tu,-2.0,0.0,200.0
1038,linkf132__tu,0.0,1834.6685,200.0
1121,agg403__tu,0.0,48.0,200.0
894,linkf185__tu,0.0,96.0,200.0
165,bkc84__tu,-1.0,0.0,200.0
415,re36s__tu,0.0,1.0,200.0
182,bkc82__tu,-1.0,0.0,200.0
1067,agg404__tu,0.0,45.0,200.0
1071,agg408__tu,0.0,30.0,200.0
438,s208s__tu,0.0,-4.0,200.0
1819,trv14__tu,-1.0,0.0,200.0
1049,agg501__tu,0.0,3.88,200.0
560,jt01s__tu,1.0,0.0,200.0
1084,agg402__tu,0.0,50.0,200.0
1070,agg407__tu,0.0,31.0,200.0
1068,agg405__tu,0.0,40.0,200.0
704,bankruptcychapter__ln,1.0,0.0,200.0
399,re101s__tu,0.0,263.0,200.0
