,feature,mean__pd,mean__parse,mean_diff
418,re06s__tu,-0.1511422136422136,0.1537318000961917,23546.15450432733
1746,cv17__tu,-0.1745897683397683,0.1615801670237418,5168.028246175128
1661,hr20s__tu,0.6115267052767053,-0.5655196537099384,5116.8084843623465
473,g405s__tu,-0.3802686615186615,0.4118971623453281,5009.189832962933
1662,hr21s__tu,0.6451898326898327,-0.5858073542914608,4145.99464415431
1744,cv16__tu,-0.2953265765765765,0.2606138778365616,3203.09555057602
351,st12s__tu,-0.3371138996138996,0.2846399370381706,2369.761329744335
654,purchaseactivitycount__ln,1.1785312097812095,-0.9862052380744174,2251.111931108135
1581,lm39s__tu,0.1571750321750321,-0.1891915526212234,2163.6741280388537
155,rvlr70__tu,-0.1936132561132561,0.2343360587643741,2101.7674964268767
342,st29s__tu,-0.3446750321750321,0.2807048227012373,1955.2221573776606
319,s068b__tu,0.8565797940797941,-0.6334440995146692,1335.531633787602
1466,co02s__tu,0.054054054054054,-0.0734991911153863,1311.9295047098103
1623,g309s__tu,0.2527750965250965,-0.3607625377115124,1136.3129406455237
549,g242b__tu,-0.5943532818532818,0.8515806042586682,1124.2459569152456
457,g409s__tu,-0.5118645431145431,0.7381837261160421,1104.677255062648
167,bkc102__tu,-0.540661196911197,0.3734204888286476,1093.1330011932948
40,rev202__tu,-0.6111981177606178,0.4057953303309868,990.2430836680019
458,g408s__tu,-0.634009009009009,0.4167286082812295,967.1720171454015
52,rev222__tu,-0.6231652187902188,0.3731058982991561,796.8278208010105
347,st03s__tu,-0.4425675675675675,0.2643959599492807,793.5759652923382
1431,g221a__tu,-0.0255389317889317,0.0149752962266625,767.0508467804667
157,rvlr72__tu,-0.1689189189189189,0.2913514931572734,751.8757404873762
257,bkc51__tu,-0.4902670527670528,0.2820602509728477,741.8847963509676
53,rev223__tu,-0.3739973455598455,0.658069389182808,726.6232337262124
48,rev203__tu,-0.3670028957528958,0.6911894976170696,652.8291960772161
263,rev54__tu,-0.201496138996139,0.3803943859035459,650.526804995307
1455,g215b__tu,0.4916344916344916,-0.9742250010930872,607.4961956347149
1723,rvlr09__tu,-0.2765444015444015,0.136089370818941,587.5670956491325
258,bkc52__tu,-0.5044642857142857,0.2439770888898605,574.6473406204406
159,rvlr74__tu,-0.1547619047619047,0.3220672467316689,570.0106713624808
176,ret13__tu,0.4107545045045045,-0.1838572865200472,524.1243557823466
173,bkc162__tu,-0.3747184684684684,0.1642035765816973,512.0037259312123
472,g404s__tu,-0.5220398970398971,0.2287175899610861,511.8993468159698
180,rvlr76__tu,-0.1436212998712998,0.3339381749814175,501.8572048079294
855,addrinputavmratio12monthprior__ln,-0.0360364382239382,0.0884635564688907,474.94502410425855
354,st24s__tu,-0.5305260617760618,0.206833981898474,455.5935035255647
343,s073b__tu,0.3855775418275418,-1.0094442744086398,447.21788913623124
550,g243b__tu,-0.4621541184041184,1.2191858685671813,444.19272682001593
1458,g218a__tu,-0.0614140926640926,0.0228236631542127,436.5733001066433
1818,trv12__tu,-0.126729407979408,0.3436229285995365,433.71727770764403
259,bkc53__tu,-0.5278716216216216,0.1907000131170478,426.23495965492697
168,bkc112__tu,-0.2844272844272844,0.8539853963534607,399.7529512592742
471,g403s__tu,-0.0903716216216216,0.2718945389357702,399.14096348555694
1722,rvlr08__tu,-0.2983832046332046,0.0957107253727427,388.89732976472106
374,pb01s__tu,-0.0688947876447876,0.0213589261510209,379.72894972206757
1989,at25s__tu,-0.2091779279279279,0.700625245944646,370.2546094031686
1568,in24s__tu,-0.4173101673101673,0.112434961304709,347.5160447159433
699,lienjudgmentothercount__ln,0.0089285714285714,-0.0023610686021599,343.8031266718156
251,rev162__tu,-0.4097892535392535,0.1082156442656639,343.5346342490996
321,s071b__tu,0.2590894465894466,-1.024987976039526,335.3126747875987
313,rt09s__tu,0.0224018661518661,-0.090704385466311,331.1920343595786
441,g412s__tu,-0.3020431145431145,1.2248043373704691,330.9301288659052
278,rev53__tu,-0.1192889317889318,0.4870359844344366,329.7510676763162
648,criminalnonfelonytimenewest__ln,-0.5622184684684685,0.1344060163525862,325.66816668176773
683,addronfilecorrectional__ln,0.0004826254826254,-0.0020550041537318,322.77589145515486
242,bkc54__tu,-0.5624597812097812,0.1199116785448821,308.3829557264469
320,s071a__tu,1.823399292149292,-0.387127803768965,307.81465952666827
355,st25s__tu,-0.6248391248391248,0.1250929124218442,300.1251509775473
456,g410s__tu,-0.2453748391248391,1.3810065148004025,286.42761359359616
331,s073a__tu,2.120817245817246,-0.3621179659831227,282.36040581475123
839,addrcurrentavmratio12monthprior__ln,-0.0177469433719433,0.1136526605745267,274.01829167058355
552,st102s__tu,-0.0565878378378378,0.4717546237593459,254.52058281804491
1645,g240s__tu,-0.0343468468468468,0.3340256219666827,245.8448841872263
442,g413s__tu,-0.1382722007722007,1.4050544357483277,243.66092196574147
520,us09s__tu,-0.2815717503217503,0.0259280311311267,240.56900942173064
474,g406s__tu,-0.0724340411840411,0.8106991386471951,239.24554550008708
708,shorttermloanrequest__ln,0.0160070785070785,-0.0014210135105592,238.9690711209171
551,g244b__tu,-0.1694417631917631,1.9422631279786629,238.23098402520225
277,rev52__tu,-0.0462516087516087,0.5819159634471601,234.53775361095
1695,br02s__tu,-0.037001287001287,0.4773949543089502,233.60746509139747
1454,g215a__tu,2.662725225225225,-0.1921866118665559,231.11655261364734
166,bkc92__tu,-0.689229407979408,0.0427615757946744,226.4585946373616
1679,hi21s__tu,2.3896798584298584,-0.1412487429495868,225.12840922314234
156,rvlr71__tu,-0.4059282496782497,0.0225613221984172,223.5401862614809
697,inquirytelcom12month__ln,0.0548584298584298,-0.0027764417821695,221.32362365356818
1667,hi20s__tu,2.3933397683397684,-0.1185125267806392,220.83894980955344
1641,g234s__tu,-0.0596846846846846,1.6676795942459883,214.84698348975942
92,rvlr61__tu,-0.3340974903474903,0.009684753618119,211.9412742122984
1434,g221d__tu,-0.0155646718146718,0.5794455861134188,211.041105609349
54,rev224__tu,-0.026117277992278,1.0088395785055309,210.63058321914036
50,rev204__tu,-0.0228599581724581,1.037040794018626,209.01612705130051
1721,rvlr07__tu,-0.3392454954954955,0.0067990031043679,208.18056831397547
1858,bc06s__tu,-0.3433478120978121,0.0045691049801058,205.3947959350566
1856,bc02s__tu,-0.0079633204633204,0.6373573521052862,205.06094437695612
148,ret102__tu,0.0015685328185328,-0.1381443749726728,204.5938807150464
646,purchaseactivityindex__ln,0.6732223294723295,-0.0029731974990162,201.774383498424
1832,trv07__tu,-0.0008848133848133,0.3284508766560273,201.08047015124478
732,fltapprovedservicecontract__app,100.7681788931789,0.0,200.0
656,linkc051__tu,0.0004826254826254,0.0,200.0
824,linkc038__tu,0.0139559202059202,0.0,200.0
795,linkc012__tu,0.0101351351351351,0.0,200.0
735,fltinsureddisabilityamount__app,1.2887369659343726,0.0,200.0
737,fltinsuredlifeamount__app,2.382076831979615,0.0,200.0
1310,linka054__tu,0.0003619691119691,0.0,200.0
792,linkc008__tu,0.0015685328185328,0.0,200.0
1318,linka060__tu,0.0221507282985549,0.0,200.0
638,purchaseactivitydollartotal__ln,167.7813353328464,0.0,200.0
1226,linka033__tu,0.0,8.744698526518299e-05,200.0
42,ret324__tu,96266.44257276588,114.56239779670707,199.52454366778312
804,linkc005__tu,0.0365588803088803,4.372349263259149e-05,199.5221816145136
41,ret323__tu,96286.96843829392,115.32696382464056,199.5214762746319
56,ret322__tu,96290.40744904666,117.2928039434992,199.513346740413
57,ret321__tu,96291.8283168764,120.36497312626862,199.50062344183283
66,bkc324__tu,96169.23300208728,158.32566928061843,199.342552966298
